S Low Q Fit Demo Data
S Channel 2;   11:12:01 AM 1/16/2007
S DAQ: PCI-6221; 16 bits; Max ADC Rate 250kHz, Max ETS 20MHz
S Sampling: Eff. Rate 1.00MHz;  ADC Rate 250kHz; Frames 4; Samples 1000
S Trigger Delays: Ch1 0.0000S, Ch2 0.0000S; Sweeps averaged: 11
S Voltage Offsets: Ch1 0.000V, Ch2 0.000V
S Voltage Resolution: Ch1 32uV, Ch2 160uV
S Time (ms)         	Amplitude (V)       	sig Amplitude (V)   
0.000000            	-0.0007524083       	0.0000365           
0.001000            	0.05126972          	0.000114            
0.002000            	0.08738933          	0.000345            
0.003000            	0.1699662           	0.000469            
0.004000            	0.2779963           	0.000602            
0.005000            	0.3979471           	0.000529            
0.006000            	0.5236762           	0.000588            
0.007000            	0.6463633           	0.000617            
0.008000            	0.7654519           	0.000619            
0.009000            	0.8777372           	0.000485            
0.010000            	0.9823946           	0.000473            
0.011000            	1.075115            	0.000449            
0.012000            	1.157374            	0.000391            
0.013000            	1.227741            	0.000307            
0.014000            	1.285779            	0.000241            
0.015000            	1.329508            	0.000175            
0.016000            	1.359744            	0.000135            
0.017000            	1.375949            	0.0000763           
0.018000            	1.378032            	0.0000802           
0.019000            	1.366047            	0.000113            
0.020000            	1.340071            	0.000189            
0.021000            	1.300556            	0.000204            
0.022000            	1.247369            	0.000310            
0.023000            	1.182793            	0.000371            
0.024000            	1.105943            	0.000458            
0.025000            	1.018400            	0.000419            
0.026000            	0.9196660           	0.000492            
0.027000            	0.8140084           	0.000564            
0.028000            	0.6998709           	0.000628            
0.029000            	0.5793421           	0.000554            
0.030000            	0.4519670           	0.000616            
0.031000            	0.3233023           	0.000649            
0.032000            	0.1909349           	0.000707            
0.033000            	0.05758591          	0.000573            
0.034000            	-0.07731896         	0.000640            
0.035000            	-0.2080564          	0.000652            
0.036000            	-0.3367630          	0.000686            
0.037000            	-0.4613410          	0.000538            
0.038000            	-0.5817911          	0.000556            
0.039000            	-0.6933164          	0.000541            
0.040000            	-0.7980593          	0.000525            
0.041000            	-0.8938110          	0.000410            
0.042000            	-0.9808292          	0.000387            
0.043000            	-1.055785           	0.000339            
0.044000            	-1.120004           	0.000313            
0.045000            	-1.172385           	0.000221            
0.046000            	-1.212747           	0.000171            
0.047000            	-1.239777           	0.000111            
0.048000            	-1.254227           	0.0000564           
0.049000            	-1.255650           	0.0000481           
0.050000            	-1.243964           	0.000112            
0.051000            	-1.219847           	0.000170            
0.052000            	-1.183197           	0.000240            
0.053000            	-1.134647           	0.000229            
0.054000            	-1.073939           	0.000313            
0.055000            	-1.003785           	0.000389            
0.056000            	-0.9232197          	0.000468            
0.057000            	-0.8336238          	0.000422            
0.058000            	-0.7347568          	0.000482            
0.059000            	-0.6308570          	0.000547            
0.060000            	-0.5203186          	0.000604            
0.061000            	-0.4049495          	0.000505            
0.062000            	-0.2849909          	0.000584            
0.063000            	-0.1647922          	0.000612            
0.064000            	-0.04268214         	0.000639            
0.065000            	0.07923433          	0.000536            
0.066000            	0.2008764           	0.000574            
0.067000            	0.3176076           	0.000580            
0.068000            	0.4311972           	0.000575            
0.069000            	0.5397898           	0.000469            
0.070000            	0.6433840           	0.000467            
0.071000            	0.7379274           	0.000461            
0.072000            	0.8250295           	0.000433            
0.073000            	0.9033555           	0.000317            
0.074000            	0.9725440           	0.000312            
0.075000            	1.030261            	0.000266            
0.076000            	1.077401            	0.000214            
0.077000            	1.113346            	0.000154            
0.078000            	1.137841            	0.000112            
0.079000            	1.150249            	0.0000486           
0.080000            	1.150774            	0.0000540           
0.081000            	1.139630            	0.0000929           
0.082000            	1.116528            	0.000148            
0.083000            	1.082665            	0.000215            
0.084000            	1.037524            	0.000283            
0.085000            	0.9822840           	0.000257            
0.086000            	0.9162874           	0.000335            
0.087000            	0.8425844           	0.000400            
0.088000            	0.7601586           	0.000472            
0.089000            	0.6704927           	0.000413            
0.090000            	0.5732781           	0.000476            
0.091000            	0.4726066           	0.000533            
0.092000            	0.3669586           	0.000573            
0.093000            	0.2582048           	0.000483            
0.094000            	0.1459947           	0.000542            
0.095000            	0.03519708          	0.000558            
0.096000            	-0.07629846         	0.000590            
0.097000            	-0.1862528          	0.000479            
0.098000            	-0.2947599          	0.000495            
0.099000            	-0.3977355          	0.000490            
0.100000            	-0.4968162          	0.000525            
0.101000            	-0.5901135          	0.000399            
0.102000            	-0.6778765          	0.000397            
0.103000            	-0.7565597          	0.000363            
0.104000            	-0.8276664          	0.000342            
0.105000            	-0.8898834          	0.000256            
0.106000            	-0.9431229          	0.000231            
0.107000            	-0.9853809          	0.000185            
0.108000            	-1.017690           	0.000143            
0.109000            	-1.039253           	0.000104            
0.110000            	-1.050279           	0.0000420           
0.111000            	-1.050161           	0.0000568           
0.112000            	-1.039365           	0.000103            
0.113000            	-1.017899           	0.000119            
0.114000            	-0.9858071          	0.000182            
0.115000            	-0.9444067          	0.000232            
0.116000            	-0.8931677          	0.000306            
0.117000            	-0.8331368          	0.000285            
0.118000            	-0.7639762          	0.000361            
0.119000            	-0.6887383          	0.000402            
0.120000            	-0.6064077          	0.000477            
0.121000            	-0.5181904          	0.000391            
0.122000            	-0.4241456          	0.000460            
0.123000            	-0.3279971          	0.000491            
0.124000            	-0.2283554          	0.000530            
0.125000            	-0.1269011          	0.000455            
0.126000            	-0.02360295         	0.000493            
0.127000            	0.07759865          	0.000496            
0.128000            	0.1780712           	0.000523            
0.129000            	0.2761741           	0.000421            
0.130000            	0.3718342           	0.000440            
0.131000            	0.4615121           	0.000448            
0.132000            	0.5466291           	0.000441            
0.133000            	0.6256758           	0.000332            
0.134000            	0.6986137           	0.000335            
0.135000            	0.7626956           	0.000313            
0.136000            	0.8190276           	0.000274            
0.137000            	0.8667335           	0.000195            
0.138000            	0.9056632           	0.000170            
0.139000            	0.9344363           	0.000120            
0.140000            	0.9536118           	0.0000707           
0.141000            	0.9630231           	0.0000630           
0.142000            	0.9623741           	0.0000517           
0.143000            	0.9520097           	0.0000838           
0.144000            	0.9317952           	0.000165            
0.145000            	0.9022279           	0.000153            
0.146000            	0.8629970           	0.000208            
0.147000            	0.8160162           	0.000273            
0.148000            	0.7606336           	0.000353            
0.149000            	0.6978094           	0.000285            
0.150000            	0.6272753           	0.000364            
0.151000            	0.5521040           	0.000401            
0.152000            	0.4711371           	0.000459            
0.153000            	0.3858746           	0.000378            
0.154000            	0.2961358           	0.000438            
0.155000            	0.2055239           	0.000478            
0.156000            	0.1125475           	0.000502            
0.157000            	0.01902148          	0.000411            
0.158000            	-0.07514165         	0.000457            
0.159000            	-0.1663620          	0.000456            
0.160000            	-0.2558659          	0.000464            
0.161000            	-0.3421509          	0.000382            
0.162000            	-0.4254740          	0.000398            
0.163000            	-0.5025834          	0.000365            
0.164000            	-0.5744540          	0.000363            
