S Sample CurveFit data file: diode I-V Characteristic 
S Note that the uncertainty is in the X-value (voltage), not the Y-value (Current) 
S 
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V) 
S ------------------------------------------------------------------------------------- 
0.000775         	0.00000018329    	0.0              	0.0017
0.000859         	0.00000018329    	0.0              	0.0017
0.001207         	0.00000033732    	0.0              	0.0017
0.006520         	0.00000079939    	0.0              	0.0015
0.010447         	0.0000012615     	0.0              	0.0014
0.018231         	0.0000023396     	0.0              	0.0012
0.029611         	0.0000040339     	0.0              	0.00098
0.043741         	0.0000071143     	0.0              	0.00074
0.060746         	0.000012197      	0.0              	0.00057
0.081115         	0.000021130      	0.0              	0.00040
0.103932         	0.000036533      	0.0              	0.00026
0.128873         	0.000063333      	0.0              	0.00017
0.154962         	0.00010939       	0.0              	0.00015
0.181702         	0.00018917       	0.0              	0.00013
0.208607         	0.00032717       	0.0              	0.00015
0.236330         	0.00056545       	0.0              	0.00011
0.263452         	0.00097730       	0.0              	0.00011
0.290799         	0.0016893        	0.0              	0.000062
0.309463         	0.0025070        	0.0              	0.00017
0.317798         	0.0029198        	0.0              	0.00011
0.329473         	0.0037314        	0.0              	0.00012
0.344485         	0.0050469        	0.0              	0.000052
0.351774         	0.0058741        	0.0              	0.00013
0.372172         	0.0089350        	0.0              	0.00014
0.394103         	0.014139         	0.0              	0.000091
0.413565         	0.021791         	0.0              	0.000087
0.434165         	0.033729         	0.0              	0.000060
0.454440         	0.052401         	0.0              	0.000045
0.474538         	0.081174         	0.0              	0.000037
0.494974         	0.12586          	0.0              	0.000029
0.515617         	0.19504          	0.0              	0.000023
0.536562         	0.30218          	0.0              	0.000020
0.557818         	0.46808          	0.0              	0.000017
0.579498         	0.72521          	0.0              	0.000011
0.601595         	1.1237           	0.0              	0.000013
0.624279         	1.7408           	0.0              	0.000011
0.647674         	2.6971           	0.0              	0.000011
0.672035         	4.1786           	0.0              	0.000011
0.697785         	6.4740           	0.0              	0.0000090
0.725369         	10.030           	0.0              	0.000016
