Spectrum Name: Sample Gamma Ray Spectrum of Sodium 22	
Detector Used: NaI	
Acquisition Mode:	PHA
High Voltage:	790
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.498
ULD:	106.2%
LLD:	0.8%
Real Time Elapsed:	32.04
Live Time Elapsed:	30.09
Start Time:	04/12/2007 15:06:20
Stop Time:	04/12/2007 15:06:51

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	2
12	246
13	443
14	467
15	468
16	514
17	507
18	494
19	466
20	500
21	486
22	520
23	506
24	478
25	491
26	481
27	447
28	471
29	470
30	494
31	442
32	463
33	483
34	485
35	418
36	473
37	455
38	464
39	431
40	429
41	436
42	449
43	442
44	448
45	441
46	464
47	479
48	460
49	466
50	439
51	487
52	467
53	440
54	481
55	475
56	471
57	472
58	424
59	505
60	426
61	498
62	464
63	430
64	445
65	443
66	474
67	429
68	416
69	447
70	450
71	423
72	431
73	416
74	477
75	469
76	460
77	406
78	414
79	402
80	426
81	456
82	435
83	437
84	478
85	432
86	475
87	443
88	446
89	468
90	400
91	445
92	475
93	477
94	465
95	472
96	467
97	474
98	447
99	436
100	426
101	463
102	457
103	447
104	444
105	448
106	437
107	451
108	450
109	468
110	456
111	441
112	464
113	431
114	467
115	423
116	460
117	458
118	503
119	505
120	490
121	508
122	531
123	516
124	512
125	523
126	513
127	543
128	517
129	577
130	584
131	597
132	591
133	598
134	646
135	593
136	562
137	570
138	584
139	553
140	565
141	559
142	604
143	558
144	546
145	606
146	546
147	510
148	584
149	536
150	534
151	535
152	585
153	527
154	536
155	490
156	600
157	539
158	518
159	484
160	531
161	517
162	542
163	528
164	488
165	482
166	484
167	526
168	516
169	537
170	517
171	480
172	481
173	484
174	521
175	444
176	493
177	471
178	509
179	447
180	477
181	496
182	472
183	476
184	466
185	483
186	486
187	470
188	431
189	458
190	445
191	485
192	415
193	471
194	482
195	498
196	481
197	438
198	463
199	461
200	487
201	432
202	457
203	486
204	472
205	461
206	448
207	421
208	440
209	448
210	475
211	433
212	445
213	418
214	464
215	457
216	447
217	445
218	478
219	399
220	428
221	451
222	483
223	441
224	456
225	436
226	434
227	428
228	422
229	418
230	428
231	415
232	434
233	431
234	426
235	401
236	402
237	379
238	398
239	400
240	336
241	359
242	341
243	330
244	316
245	321
246	335
247	281
248	279
249	284
250	275
251	291
