# CurveFit Sample Data File
# Load using: "Load Frequency Response File" Data I/O menu choice
#
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
1000.000            	0.05000000          	0.000000            	0.05001387          	0.000003223373      	0.6236283           	0.02499125          	0.05051740          	0.00004453078       	0.4460626           	0.1344158           
1048.113            	0.05000000          	0.000000            	0.05001741          	0.000002794183      	0.5918751           	0.01502616          	0.05060762          	0.00002412314       	0.6422188           	0.06502101          
1098.541            	0.05000000          	0.000000            	0.05001040          	0.000001789254      	0.5630090           	0.01092091          	0.05065195          	0.00001697618       	0.5157718           	0.07239894          
1151.395            	0.05000000          	0.000000            	0.05001249          	0.000002494121      	0.5414673           	0.01007579          	0.05070058          	0.00002565742       	0.4642600           	0.06091863          
1206.793            	0.05000000          	0.000000            	0.05001244          	0.000002306757      	0.5145476           	0.006232695         	0.05076734          	0.00001030387       	0.4410683           	0.04281426          
1264.855            	0.05000000          	0.000000            	0.05000840          	0.000001691030      	0.4961185           	0.005094593         	0.05085129          	0.00001367889       	0.3801708           	0.05872882          
1325.711            	0.05000000          	0.000000            	0.05000900          	0.000001862688      	0.4832237           	0.01414054          	0.05093526          	0.00001578254       	0.4291211           	0.03329423          
1389.495            	0.05000000          	0.000000            	0.05000657          	0.000003050138      	0.4543836           	0.005707188         	0.05099112          	0.00002789752       	0.4111023           	0.1041868           
1456.348            	0.05000000          	0.000000            	0.05000563          	0.000001859012      	0.4415738           	0.008531249         	0.05103863          	0.0001264388        	0.2363667           	0.1615861           
1526.418            	0.05000000          	0.000000            	0.05000604          	0.000002145971      	0.4151162           	0.008173875         	0.05118484          	0.00001691404       	0.4046510           	0.09067486          
1599.859            	0.05000000          	0.000000            	0.05000401          	0.000002563524      	0.3726893           	0.01801953          	0.05134990          	0.00002931168       	0.2150190           	0.08206646          
1676.833            	0.05000000          	0.000000            	0.05000706          	0.000001644287      	0.3638651           	0.009242170         	0.05145487          	0.00002421516       	0.3613548           	0.1049408           
1757.511            	0.05000000          	0.000000            	0.05000025          	0.000001857436      	0.3371614           	0.006832076         	0.05160922          	0.00003294146       	0.2497029           	0.09013609          
1842.070            	0.05000000          	0.000000            	0.05000062          	0.000001832403      	0.2898649           	0.01066466          	0.05178143          	0.00001886979       	0.1829579           	0.05041411          
