# CurveFit Sample Data File
# Load using: "Load Frequency Response File" Data I/O menu choice
#
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
10000.00            	0.05000000          	0.000000            	0.05006057          	0.00001116324       	-1.097966           	0.03178798          	0.08074763          	0.000009514987      	-6.639305           	0.04902621          
10500.00            	0.05000000          	0.000000            	0.05008922          	0.000003299794      	-1.331391           	0.04657988          	0.08613366          	0.00001069784       	-7.376582           	0.03634571          
10500.00            	0.05000000          	0.000000            	0.05009722          	0.000002016208      	-1.347202           	0.02099170          	0.08615641          	0.000008759709      	-7.444396           	0.03020965          
10850.00            	0.05000000          	0.000000            	0.05009829          	0.000001342179      	-1.372182           	0.03818589          	0.09056465          	0.000006677592      	-8.011328           	0.03519840          
11000.00            	0.05000000          	0.000000            	0.05010745          	0.000001564592      	-1.423839           	0.02945439          	0.09263140          	0.000005815897      	-8.341067           	0.02900258          
11200.00            	0.05000000          	0.000000            	0.05011499          	0.000002364983      	-1.460492           	0.002634487         	0.09562022          	0.00001946326       	-8.647713           	0.01938953          
11500.00            	0.05000000          	0.000000            	0.05011598          	0.00001221871       	-1.472133           	0.03146006          	0.1005334           	0.000008700987      	-9.371768           	0.01084064          
11550.00            	0.05000000          	0.000000            	0.05012950          	0.000005287511      	-1.514024           	0.05317097          	0.1014305           	0.000006319986      	-9.563212           	0.02740212          
11900.00            	0.05000000          	0.000000            	0.05014651          	0.000002589662      	-1.503143           	0.01357169          	0.1082160           	0.000009975892      	-10.32479           	0.01609913          
12000.00            	0.05000000          	0.000000            	0.05014414          	0.000003194770      	-1.558537           	0.01152969          	0.1103347           	0.000001380561      	-10.66085           	0.04209687          
12250.00            	0.05000000          	0.000000            	0.05016358          	0.0000006519576     	-1.659477           	0.07082735          	0.1161773           	0.000003958915      	-11.44735           	0.05829520          
12500.00            	0.05000000          	0.000000            	0.05017797          	0.000003486097      	-1.774390           	0.04259548          	0.1227580           	0.000004557493      	-12.26724           	0.009508317         
12600.00            	0.05000000          	0.000000            	0.05017690          	0.000001985613      	-1.787953           	0.05029339          	0.1256801           	0.000002312424      	-12.61675           	0.03891056          
