S Germanium Dry Ice calibrated
S IV Data Set #00208	4:20:52 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 50;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.050776         	0.000000083446   	0.0              	0.0016
0.056492         	0.000000083446   	0.0              	0.0016
0.064444         	0.00000023762    	0.0              	0.0014
0.085736         	0.00000070013    	0.0              	0.0012
0.098316         	0.0000011626     	0.0              	0.00096
0.113195         	0.0000022418     	0.0              	0.00063
0.125117         	0.0000039377     	0.0              	0.00041
0.140638         	0.0000070211     	0.0              	0.00024
0.154271         	0.000012109      	0.0              	0.00018
0.167873         	0.000021051      	0.0              	0.00016
0.180606         	0.000036468      	0.0              	0.00015
0.193738         	0.000063293      	0.0              	0.00015
0.206631         	0.00010939       	0.0              	0.00014
0.219559         	0.00018925       	0.0              	0.00014
0.233112         	0.00032739       	0.0              	0.00017
0.246911         	0.00056589       	0.0              	0.00012
0.261451         	0.00097814       	0.0              	0.00011
0.276409         	0.0016909        	0.0              	0.00011
0.289884         	0.0023084        	0.0              	0.000078
0.291773         	0.0029225        	0.0              	0.000089
0.298178         	0.0035328        	0.0              	0.000076
0.307090         	0.0050516        	0.0              	0.000071
0.309168         	0.0056755        	0.0              	0.000069
0.321948         	0.0087364        	0.0              	0.000072
0.335285         	0.013940         	0.0              	0.000053
0.347569         	0.021593         	0.0              	0.000051
0.359353         	0.033530         	0.0              	0.000054
0.371603         	0.052202         	0.0              	0.000052
0.383414         	0.080976         	0.0              	0.000051
0.395598         	0.12567          	0.0              	0.000052
0.407558         	0.19484          	0.0              	0.000044
0.419754         	0.30198          	0.0              	0.000042
0.432223         	0.46788          	0.0              	0.000039
0.445176         	0.72501          	0.0              	0.000023
0.458954         	1.1235           	0.0              	0.000023
0.473942         	1.7406           	0.0              	0.000026
0.490490         	2.6969           	0.0              	0.000023
0.509036         	4.1784           	0.0              	0.000021
0.530158         	6.4738           	0.0              	0.000017
0.554684         	10.029           	0.0              	0.000019
