S Germanium RTP
S IV Data Set #00009	1:47:10 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.000589         	0.00000015259    	0.0              	0.00013
0.000657         	0.00000015259    	0.0              	0.00013
0.000609         	0.00000030518    	0.0              	0.00012
0.000515         	0.00000076295    	0.0              	0.00018
0.000550         	0.0000012207     	0.0              	0.00013
0.000755         	0.0000022889     	0.0              	0.00017
0.000680         	0.0000039673     	0.0              	0.00019
0.000842         	0.0000070192     	0.0              	0.00014
0.001063         	0.000012055      	0.0              	0.00013
0.001517         	0.000020905      	0.0              	0.00022
0.002126         	0.000036164      	0.0              	0.00013
0.003378         	0.000062715      	0.0              	0.00013
0.005129         	0.00010834       	0.0              	0.00010
0.007706         	0.00018738       	0.0              	0.000080
0.012635         	0.00032410       	0.0              	0.00019
0.019496         	0.00056016       	0.0              	0.00014
0.028757         	0.00096818       	0.0              	0.00013
0.040627         	0.0016736        	0.0              	0.00017
0.052978         	0.0024414        	0.0              	0.00012
0.054009         	0.0028927        	0.0              	0.00015
0.060961         	0.0036622        	0.0              	0.00020
0.069320         	0.0049999        	0.0              	0.00011
0.071548         	0.0057984        	0.0              	0.00017
0.085062         	0.0088502        	0.0              	0.00011
0.100150         	0.014038         	0.0              	0.00012
0.114206         	0.021668         	0.0              	0.00013
0.129371         	0.033570         	0.0              	0.00013
0.145586         	0.052186         	0.0              	0.00011
0.162561         	0.080873         	0.0              	0.00015
0.180540         	0.12543          	0.0              	0.00016
0.199356         	0.19440          	0.0              	0.000080
0.219317         	0.30121          	0.0              	0.00011
0.240053         	0.46662          	0.0              	0.000080
0.261508         	0.72297          	0.0              	0.000099
0.283729         	1.1203           	0.0              	0.000056
0.306566         	1.7356           	0.0              	0.000045
0.330482         	2.6889           	0.0              	0.000039
0.355566         	4.1660           	0.0              	0.000056
0.382586         	6.4546           	0.0              	0.000031
0.412148         	9.9995           	0.0              	0.000058
