S Germanium RTP calibrated
S IV Data Set #00136	3:51:58 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
-0.000183        	0.000000083446   	0.0              	0.00012
-0.000102        	0.000000083446   	0.0              	0.00012
-0.000031        	0.00000023762    	0.0              	0.000099
-0.000154        	0.00000070013    	0.0              	0.00014
-0.000102        	0.0000011626     	0.0              	0.00014
-0.000018        	0.0000022418     	0.0              	0.00011
0.000092         	0.0000039377     	0.0              	0.00010
0.000293         	0.0000070211     	0.0              	0.00015
0.000345         	0.000012109      	0.0              	0.00011
0.000749         	0.000021051      	0.0              	0.00014
0.001459         	0.000036468      	0.0              	0.00011
0.002554         	0.000063293      	0.0              	0.00012
0.004283         	0.00010939       	0.0              	0.00012
0.006822         	0.00018925       	0.0              	0.000091
0.010993         	0.00032739       	0.0              	0.00016
0.017523         	0.00056589       	0.0              	0.00012
0.026906         	0.00097814       	0.0              	0.00016
0.038101         	0.0016909        	0.0              	0.00016
0.050670         	0.0023084        	0.0              	0.00011
0.051685         	0.0029225        	0.0              	0.000080
0.058516         	0.0035328        	0.0              	0.00014
0.066554         	0.0050516        	0.0              	0.00011
0.069216         	0.0056755        	0.0              	0.00016
0.082024         	0.0087364        	0.0              	0.00012
0.096984         	0.013940         	0.0              	0.00013
0.111432         	0.021593         	0.0              	0.00015
0.126382         	0.033530         	0.0              	0.000077
0.142645         	0.052202         	0.0              	0.00013
0.159532         	0.080976         	0.0              	0.000097
0.177638         	0.12567          	0.0              	0.00012
0.196633         	0.19484          	0.0              	0.00011
0.216873         	0.30198          	0.0              	0.000079
0.237378         	0.46788          	0.0              	0.000075
0.258902         	0.72501          	0.0              	0.000072
0.281047         	1.1235           	0.0              	0.000058
0.304001         	1.7406           	0.0              	0.000043
0.327924         	2.6969           	0.0              	0.000031
0.353067         	4.1784           	0.0              	0.000059
0.379923         	6.4738           	0.0              	0.000026
0.409340         	10.029           	0.0              	0.000032
