S LED Glove Temp calibrated
S IV Data Set #00233	4:36:46 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -5.0 to 5.0 V
S Sampling: samples/point 50;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
1.245402         	0.000000083446   	0.0              	0.00066
1.245839         	0.000000083446   	0.0              	0.0013
1.261245         	0.00000023762    	0.0              	0.00085
1.298597         	0.00000070013    	0.0              	0.00075
1.321648         	0.0000011626     	0.0              	0.00065
1.351534         	0.0000022418     	0.0              	0.00044
1.375794         	0.0000039377     	0.0              	0.00034
1.403703         	0.0000070211     	0.0              	0.00021
1.428487         	0.000012109      	0.0              	0.00013
1.453556         	0.000021051      	0.0              	0.00010
1.477987         	0.000036468      	0.0              	0.00010
1.502314         	0.000063293      	0.0              	0.00010
1.525689         	0.00010939       	0.0              	0.000087
1.548914         	0.00018925       	0.0              	0.000095
1.571560         	0.00032739       	0.0              	0.000099
1.593333         	0.00056589       	0.0              	0.000088
1.614612         	0.00097814       	0.0              	0.000077
1.635834         	0.0016909        	0.0              	0.000081
1.653579         	0.0023084        	0.0              	0.000080
1.656145         	0.0029225        	0.0              	0.000074
1.664443         	0.0035328        	0.0              	0.000073
1.675557         	0.0050516        	0.0              	0.000075
1.678321         	0.0056755        	0.0              	0.000070
1.694461         	0.0087364        	0.0              	0.000067
1.711510         	0.013940         	0.0              	0.000057
1.727248         	0.021593         	0.0              	0.000051
1.742620         	0.033530         	0.0              	0.000056
1.758788         	0.052202         	0.0              	0.000055
1.774621         	0.080976         	0.0              	0.000052
1.790764         	0.12567          	0.0              	0.000048
1.807341         	0.19484          	0.0              	0.000052
1.824572         	0.30198          	0.0              	0.000047
1.842756         	0.46788          	0.0              	0.000036
1.862637         	0.72501          	0.0              	0.000029
1.884663         	1.1235           	0.0              	0.000028
1.909832         	1.7406           	0.0              	0.000032
1.939408         	2.6969           	0.0              	0.000027
1.975736         	4.1784           	0.0              	0.000030
2.022491         	6.4738           	0.0              	0.000023
2.085489         	10.029           	0.0              	0.000038
