S LED Glove Temp calibrated
S IV Data Set #00238	4:40:07 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -5.0 to 5.0 V
S Sampling: samples/point 50;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.849692         	0.000000083446   	0.0              	0.0012
0.851756         	0.000000083446   	0.0              	0.00075
0.883431         	0.00000023762    	0.0              	0.00065
0.934966         	0.00000070013    	0.0              	0.00079
0.967220         	0.0000011626     	0.0              	0.00072
1.004444         	0.0000022418     	0.0              	0.00058
1.036517         	0.0000039377     	0.0              	0.00037
1.070692         	0.0000070211     	0.0              	0.00023
1.099692         	0.000012109      	0.0              	0.00015
1.128461         	0.000021051      	0.0              	0.00011
1.157490         	0.000036468      	0.0              	0.000096
1.185796         	0.000063293      	0.0              	0.000080
1.213490         	0.00010939       	0.0              	0.000075
1.241833         	0.00018925       	0.0              	0.000087
1.270102         	0.00032739       	0.0              	0.000071
1.298334         	0.00056589       	0.0              	0.000090
1.326198         	0.00097814       	0.0              	0.000079
1.354207         	0.0016909        	0.0              	0.000076
1.377730         	0.0023084        	0.0              	0.000077
1.382113         	0.0029225        	0.0              	0.000077
1.392721         	0.0035328        	0.0              	0.000071
1.409860         	0.0050516        	0.0              	0.000071
1.412449         	0.0056755        	0.0              	0.000073
1.435182         	0.0087364        	0.0              	0.000073
1.459005         	0.013940         	0.0              	0.000052
1.480773         	0.021593         	0.0              	0.000070
1.501312         	0.033530         	0.0              	0.000059
1.521892         	0.052202         	0.0              	0.000061
1.540951         	0.080976         	0.0              	0.000057
1.559976         	0.12567          	0.0              	0.000047
1.578026         	0.19484          	0.0              	0.000051
1.595118         	0.30198          	0.0              	0.000043
1.612033         	0.46788          	0.0              	0.000034
1.628604         	0.72501          	0.0              	0.000032
1.645387         	1.1235           	0.0              	0.000031
1.662940         	1.7406           	0.0              	0.000025
1.681898         	2.6969           	0.0              	0.000027
1.703633         	4.1784           	0.0              	0.000025
1.729773         	6.4738           	0.0              	0.000030
1.762652         	10.029           	0.0              	0.000025
