S Silicon Dry Ice calibrated
S IV Data Set #00169	4:09:30 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.324924         	0.000000083446   	0.0              	0.00026
0.325394         	0.000000083446   	0.0              	0.00053
0.335147         	0.00000023762    	0.0              	0.00029
0.363655         	0.00000070013    	0.0              	0.00024
0.377744         	0.0000011626     	0.0              	0.00018
0.397413         	0.0000022418     	0.0              	0.00027
0.413038         	0.0000039377     	0.0              	0.00015
0.431952         	0.0000070211     	0.0              	0.00018
0.449454         	0.000012109      	0.0              	0.00022
0.466487         	0.000021051      	0.0              	0.00014
0.483934         	0.000036468      	0.0              	0.00020
0.501316         	0.000063293      	0.0              	0.000099
0.518992         	0.00010939       	0.0              	0.000098
0.537114         	0.00018925       	0.0              	0.00014
0.555234         	0.00032739       	0.0              	0.00016
0.574099         	0.00056589       	0.0              	0.00013
0.592389         	0.00097814       	0.0              	0.00014
0.611191         	0.0016909        	0.0              	0.00013
0.627174         	0.0023084        	0.0              	0.00013
0.629587         	0.0029225        	0.0              	0.000087
0.637300         	0.0035328        	0.0              	0.00018
0.647617         	0.0050516        	0.0              	0.00014
0.650400         	0.0056755        	0.0              	0.00013
0.665588         	0.0087364        	0.0              	0.00011
0.681955         	0.013940         	0.0              	0.00015
0.697065         	0.021593         	0.0              	0.000093
0.711379         	0.033530         	0.0              	0.00011
0.726446         	0.052202         	0.0              	0.00015
0.740678         	0.080976         	0.0              	0.000097
0.755201         	0.12567          	0.0              	0.00011
0.769682         	0.19484          	0.0              	0.00010
0.783506         	0.30198          	0.0              	0.00010
0.797412         	0.46788          	0.0              	0.000084
0.811112         	0.72501          	0.0              	0.000072
0.824688         	1.1235           	0.0              	0.000057
0.838248         	1.7406           	0.0              	0.000051
0.852389         	2.6969           	0.0              	0.000035
0.866981         	4.1784           	0.0              	0.000038
0.882763         	6.4738           	0.0              	0.000032
0.899837         	10.029           	0.0              	0.000046
