S Silicon RTP
S IV Data Set #00003	1:19:01 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.004704         	0.00000015259    	0.0              	0.00017
0.005301         	0.00000015259    	0.0              	0.00023
0.007278         	0.00000030518    	0.0              	0.00018
0.012084         	0.00000076295    	0.0              	0.00012
0.017502         	0.0000012207     	0.0              	0.00018
0.025297         	0.0000022889     	0.0              	0.00014
0.035715         	0.0000039673     	0.0              	0.00020
0.052112         	0.0000070192     	0.0              	0.00020
0.070050         	0.000012055      	0.0              	0.00019
0.091002         	0.000020905      	0.0              	0.00013
0.114465         	0.000036164      	0.0              	0.00017
0.139695         	0.000062715      	0.0              	0.00016
0.166222         	0.00010834       	0.0              	0.00011
0.193280         	0.00018738       	0.0              	0.00019
0.220812         	0.00032410       	0.0              	0.00015
0.248480         	0.00056016       	0.0              	0.00017
0.276002         	0.00096818       	0.0              	0.00013
0.304037         	0.0016736        	0.0              	0.00021
0.326822         	0.0024414        	0.0              	0.00019
0.331040         	0.0028927        	0.0              	0.00013
0.341419         	0.0036622        	0.0              	0.00018
0.358725         	0.0049999        	0.0              	0.00013
0.360534         	0.0057984        	0.0              	0.00011
0.383299         	0.0088502        	0.0              	0.00012
0.407021         	0.014038         	0.0              	0.00018
0.428821         	0.021668         	0.0              	0.000099
0.450208         	0.033570         	0.0              	0.000092
0.472011         	0.052186         	0.0              	0.00017
0.493239         	0.080873         	0.0              	0.000088
0.514795         	0.12543          	0.0              	0.00015
0.536679         	0.19440          	0.0              	0.00012
0.558478         	0.30121          	0.0              	0.000084
0.580375         	0.46662          	0.0              	0.000092
0.602560         	0.72297          	0.0              	0.000079
0.624959         	1.1203           	0.0              	0.000053
0.647219         	1.7356           	0.0              	0.000041
0.669806         	2.6889           	0.0              	0.000072
0.692912         	4.1660           	0.0              	0.000043
0.717144         	6.4546           	0.0              	0.000041
0.742575         	9.9995           	0.0              	0.000043
