S Silicon RTP calibrated
S IV Data Set #00139	3:57:07 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.003909         	0.000000083446   	0.0              	0.00017
0.004236         	0.000000083446   	0.0              	0.00021
0.005689         	0.00000023762    	0.0              	0.00011
0.011188         	0.00000070013    	0.0              	0.00015
0.015766         	0.0000011626     	0.0              	0.00019
0.023723         	0.0000022418     	0.0              	0.00014
0.033992         	0.0000039377     	0.0              	0.00015
0.050003         	0.0000070211     	0.0              	0.00015
0.067697         	0.000012109      	0.0              	0.00018
0.088637         	0.000021051      	0.0              	0.00013
0.111950         	0.000036468      	0.0              	0.00012
0.137117         	0.000063293      	0.0              	0.00012
0.163324         	0.00010939       	0.0              	0.000091
0.190554         	0.00018925       	0.0              	0.00013
0.218155         	0.00032739       	0.0              	0.00017
0.245725         	0.00056589       	0.0              	0.00023
0.273671         	0.00097814       	0.0              	0.00011
0.301371         	0.0016909        	0.0              	0.00014
0.325869         	0.0023084        	0.0              	0.00019
0.328729         	0.0029225        	0.0              	0.00013
0.340379         	0.0035328        	0.0              	0.00021
0.356166         	0.0050516        	0.0              	0.00012
0.359966         	0.0056755        	0.0              	0.00018
0.382197         	0.0087364        	0.0              	0.00015
0.405558         	0.013940         	0.0              	0.00021
0.427885         	0.021593         	0.0              	0.00013
0.449165         	0.033530         	0.0              	0.00016
0.471002         	0.052202         	0.0              	0.00014
0.492276         	0.080976         	0.0              	0.00014
0.513812         	0.12567          	0.0              	0.00012
0.535606         	0.19484          	0.0              	0.00011
0.557325         	0.30198          	0.0              	0.00011
0.579224         	0.46788          	0.0              	0.000078
0.601238         	0.72501          	0.0              	0.000090
0.623535         	1.1235           	0.0              	0.000063
0.645866         	1.7406           	0.0              	0.000060
0.668292         	2.6969           	0.0              	0.000036
0.691448         	4.1784           	0.0              	0.000049
0.715320         	6.4738           	0.0              	0.000058
0.740503         	10.029           	0.0              	0.000056
