S Transistor Dry Ice calibrated
S IV Data Set #00220	4:27:49 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 50;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.560176         	0.000000083446   	0.0              	0.00063
0.561218         	0.000000083446   	0.0              	0.00063
0.570957         	0.00000023762    	0.0              	0.00057
0.586252         	0.00000070013    	0.0              	0.00045
0.597252         	0.0000011626     	0.0              	0.00039
0.608142         	0.0000022418     	0.0              	0.00026
0.617853         	0.0000039377     	0.0              	0.00019
0.628863         	0.0000070211     	0.0              	0.00014
0.638798         	0.000012109      	0.0              	0.000091
0.648578         	0.000021051      	0.0              	0.000075
0.658244         	0.000036468      	0.0              	0.000087
0.667803         	0.000063293      	0.0              	0.000085
0.677236         	0.00010939       	0.0              	0.000095
0.686713         	0.00018925       	0.0              	0.000085
0.696149         	0.00032739       	0.0              	0.000076
0.705386         	0.00056589       	0.0              	0.000090
0.714725         	0.00097814       	0.0              	0.000088
0.723948         	0.0016909        	0.0              	0.000072
0.732157         	0.0023084        	0.0              	0.000053
0.733180         	0.0029225        	0.0              	0.000071
0.737092         	0.0035328        	0.0              	0.000065
0.742408         	0.0050516        	0.0              	0.000067
0.743579         	0.0056755        	0.0              	0.000063
0.751444         	0.0087364        	0.0              	0.000058
0.759561         	0.013940         	0.0              	0.000055
0.767049         	0.021593         	0.0              	0.000061
0.774476         	0.033530         	0.0              	0.000058
0.782131         	0.052202         	0.0              	0.000057
0.789498         	0.080976         	0.0              	0.000063
0.797009         	0.12567          	0.0              	0.000067
0.804301         	0.19484          	0.0              	0.000058
0.811785         	0.30198          	0.0              	0.000045
0.819240         	0.46788          	0.0              	0.000037
0.826818         	0.72501          	0.0              	0.000032
0.834468         	1.1235           	0.0              	0.000024
0.842035         	1.7406           	0.0              	0.000022
0.849952         	2.6969           	0.0              	0.000028
0.857947         	4.1784           	0.0              	0.000023
0.866317         	6.4738           	0.0              	0.000020
0.875062         	10.029           	0.0              	0.000018
