S Transistor RTP
S IV Data Set #00012	1:59:57 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.227459         	0.00000015259    	0.0              	0.00062
0.228159         	0.00000015259    	0.0              	0.000092
0.238886         	0.00000030518    	0.0              	0.00041
0.259835         	0.00000076295    	0.0              	0.00045
0.273486         	0.0000012207     	0.0              	0.00017
0.288933         	0.0000022889     	0.0              	0.00014
0.302435         	0.0000039673     	0.0              	0.00013
0.318125         	0.0000070192     	0.0              	0.000085
0.332642         	0.000012055      	0.0              	0.00010
0.347090         	0.000020905      	0.0              	0.00014
0.361293         	0.000036164      	0.0              	0.00012
0.375475         	0.000062715      	0.0              	0.00012
0.389609         	0.00010834       	0.0              	0.00013
0.403798         	0.00018738       	0.0              	0.00017
0.417838         	0.00032410       	0.0              	0.000090
0.431820         	0.00056016       	0.0              	0.00014
0.445873         	0.00096818       	0.0              	0.000077
0.459968         	0.0016736        	0.0              	0.00012
0.472636         	0.0024414        	0.0              	0.00013
0.473937         	0.0028927        	0.0              	0.000093
0.479939         	0.0036622        	0.0              	0.00010
0.488038         	0.0049999        	0.0              	0.00010
0.489763         	0.0057984        	0.0              	0.00014
0.501456         	0.0088502        	0.0              	0.00011
0.513806         	0.014038         	0.0              	0.00012
0.525038         	0.021668         	0.0              	0.000089
0.536374         	0.033570         	0.0              	0.00010
0.547817         	0.052186         	0.0              	0.000071
0.559055         	0.080873         	0.0              	0.00013
0.570427         	0.12543          	0.0              	0.00012
0.581581         	0.19440          	0.0              	0.00013
0.592975         	0.30121          	0.0              	0.000089
0.604068         	0.46662          	0.0              	0.000059
0.615449         	0.72297          	0.0              	0.000041
0.626901         	1.1203           	0.0              	0.000055
0.638500         	1.7356           	0.0              	0.000048
0.650179         	2.6889           	0.0              	0.000042
0.662109         	4.1660           	0.0              	0.000024
0.674527         	6.4546           	0.0              	0.000050
0.687462         	9.9995           	0.0              	0.000041
