S Transistor RTP calibrated
S IV Data Set #00142	3:58:53 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -1.0 to 1.0 V
S Sampling: samples/point 10;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
0.225639         	0.000000083446   	0.0              	0.00023
0.226433         	0.000000083446   	0.0              	0.00080
0.236647         	0.00000023762    	0.0              	0.00030
0.256546         	0.00000070013    	0.0              	0.00037
0.270842         	0.0000011626     	0.0              	0.00022
0.285943         	0.0000022418     	0.0              	0.00021
0.299551         	0.0000039377     	0.0              	0.00016
0.315598         	0.0000070211     	0.0              	0.00011
0.329693         	0.000012109      	0.0              	0.00015
0.344255         	0.000021051      	0.0              	0.00014
0.358596         	0.000036468      	0.0              	0.00012
0.372803         	0.000063293      	0.0              	0.00015
0.386812         	0.00010939       	0.0              	0.00014
0.401150         	0.00018925       	0.0              	0.00011
0.415142         	0.00032739       	0.0              	0.00016
0.429179         	0.00056589       	0.0              	0.00011
0.443286         	0.00097814       	0.0              	0.00017
0.457215         	0.0016909        	0.0              	0.00015
0.469822         	0.0023084        	0.0              	0.00011
0.471288         	0.0029225        	0.0              	0.000092
0.477309         	0.0035328        	0.0              	0.00011
0.485421         	0.0050516        	0.0              	0.000090
0.487160         	0.0056755        	0.0              	0.00012
0.498926         	0.0087364        	0.0              	0.00013
0.511257         	0.013940         	0.0              	0.000098
0.522891         	0.021593         	0.0              	0.000084
0.533869         	0.033530         	0.0              	0.00011
0.545264         	0.052202         	0.0              	0.00014
0.556539         	0.080976         	0.0              	0.00017
0.568021         	0.12567          	0.0              	0.000078
0.579136         	0.19484          	0.0              	0.000092
0.590434         	0.30198          	0.0              	0.000071
0.601733         	0.46788          	0.0              	0.000056
0.613024         	0.72501          	0.0              	0.000054
0.624495         	1.1235           	0.0              	0.000037
0.636116         	1.7406           	0.0              	0.000040
0.647744         	2.6969           	0.0              	0.000039
0.659503         	4.1784           	0.0              	0.000043
0.671699         	6.4738           	0.0              	0.000063
0.684479         	10.029           	0.0              	0.000039
