S LED Glove Temp calibrated
S IV Data Set #00225	4:33:05 PM 5/10/2018
S DAQ: PCI-6221; 16 DAC bits, -10 to 10 V; 16 ADC bits, -5.0 to 5.0 V
S Sampling: samples/point 50;  settling time 8.0ms
S Current calibration: Transfer resistance 0.0000Ohm; Offset 0.00V
S Voltage calibration: Series resistance 0.00Ohm; Offset 0.00V
S Voltage (V)    	Current (mA)     	sig I (mA)       	sig Voltage (V)
1.117964         	0.000000083446   	0.0              	0.00039
1.119304         	0.000000083446   	0.0              	0.00041
1.139103         	0.00000023762    	0.0              	0.00039
1.177423         	0.00000070013    	0.0              	0.00077
1.203860         	0.0000011626     	0.0              	0.00035
1.235341         	0.0000022418     	0.0              	0.00022
1.263551         	0.0000039377     	0.0              	0.00013
1.293673         	0.0000070211     	0.0              	0.000089
1.321874         	0.000012109      	0.0              	0.000092
1.349524         	0.000021051      	0.0              	0.000092
1.376993         	0.000036468      	0.0              	0.000090
1.404464         	0.000063293      	0.0              	0.000092
1.431705         	0.00010939       	0.0              	0.000086
1.458686         	0.00018925       	0.0              	0.000077
1.485386         	0.00032739       	0.0              	0.000074
1.511976         	0.00056589       	0.0              	0.000083
1.538529         	0.00097814       	0.0              	0.000076
1.564331         	0.0016909        	0.0              	0.000080
1.585425         	0.0023084        	0.0              	0.000071
1.590132         	0.0029225        	0.0              	0.000075
1.599116         	0.0035328        	0.0              	0.000067
1.615452         	0.0050516        	0.0              	0.000080
1.617038         	0.0056755        	0.0              	0.000068
1.638118         	0.0087364        	0.0              	0.000067
1.660090         	0.013940         	0.0              	0.000054
1.680067         	0.021593         	0.0              	0.000055
1.699515         	0.033530         	0.0              	0.000048
1.719251         	0.052202         	0.0              	0.000058
1.738055         	0.080976         	0.0              	0.000062
1.756850         	0.12567          	0.0              	0.000048
1.775440         	0.19484          	0.0              	0.000048
1.793725         	0.30198          	0.0              	0.000043
1.811996         	0.46788          	0.0              	0.000034
1.830111         	0.72501          	0.0              	0.000032
1.848682         	1.1235           	0.0              	0.000029
1.867737         	1.7406           	0.0              	0.000028
1.888115         	2.6969           	0.0              	0.000027
1.910290         	4.1784           	0.0              	0.000024
1.935388         	6.4738           	0.0              	0.000027
1.964793         	10.029           	0.0              	0.000032
