# 1st order Ha
# Spectrum #00050	4:05:09 PM 4/26/2018
# Narrow scan: start 655.9nm, end 657.14nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
655.9                0.05812
655.908268           0.057266
655.916535           0.056776
655.924803           0.062689
655.93307            0.063734
655.941338           0.060781
655.949605           0.062949
655.957873           0.062621
655.96614            0.059931
655.974408           0.062154
655.982675           0.062141
655.990943           0.06315
655.99921            0.063212
656.007478           0.066289
656.015745           0.067512
656.024013           0.064935
656.03228            0.06464
656.040547           0.065208
656.048815           0.065536
656.057082           0.065854
656.06535            0.067687
656.073617           0.069294
656.081884           0.067444
656.090152           0.067288
656.098419           0.068749
656.106686           0.071403
656.114953           0.072718
656.123221           0.07214
656.131488           0.075918
656.139755           0.074759
656.148022           0.07607
656.15629            0.079715
656.164557           0.081477
656.172824           0.082113
656.181091           0.083658
656.189358           0.082765
656.197626           0.087082
656.205893           0.091999
656.21416            0.094936
656.222427           0.099567
656.230694           0.105477
656.238961           0.116027
656.247228           0.121347
656.255495           0.137866
656.263762           0.160892
656.27203            0.189944
656.280297           0.279446
656.288564           0.438538
656.296831           0.788768
656.305098           1.256699
656.313365           1.881434
656.321632           2.58785
656.329899           3.176782
656.338165           3.647313
656.346432           4.001639
656.354699           4.209471
656.362966           4.317296
656.371233           4.314181
656.3795             4.139046
656.387767           3.886944
656.396034           3.571699
656.404301           3.175867
656.412567           2.764594
656.420834           2.30701
656.429101           1.885209
656.437368           1.528118
656.445635           1.249582
656.453901           1.039988
656.462168           0.925373
656.470435           0.919256
656.478702           0.986053
656.486968           1.14658
656.495235           1.357436
656.503502           1.547574
656.511768           1.704638
656.520035           1.799547
656.528302           1.866619
656.536568           1.895308
656.544835           1.87569
656.553102           1.81233
656.561368           1.715247
656.569635           1.579288
656.577902           1.394735
656.586168           1.205032
656.594435           1.001254
656.602701           0.811635
656.610968           0.661426
656.619234           0.536176
656.627501           0.436562
656.635767           0.361308
656.644034           0.300278
656.6523             0.256112
656.660567           0.21841
656.668833           0.189055
656.6771             0.158088
656.685366           0.141854
656.693632           0.127682
656.701899           0.115576
656.710165           0.102971
656.718432           0.092528
656.726698           0.08592
656.734964           0.083392
656.743231           0.078816
656.751497           0.073039
656.759763           0.071887
656.76803            0.069647
656.776296           0.068083
656.784562           0.068515
656.792828           0.067343
656.801095           0.065802
656.809361           0.062339
656.817627           0.062796
656.825893           0.060028
656.834159           0.058847
656.842426           0.057662
656.850692           0.057146
656.858958           0.056935
656.867224           0.056328
656.87549            0.056741
656.883756           0.057312
656.892023           0.057334
656.900289           0.057354
656.908555           0.056027
656.916821           0.057873
656.925087           0.058519
656.933353           0.060836
656.941619           0.058795
656.949885           0.059937
656.958151           0.058295
656.966417           0.0569
656.974683           0.057341
656.982949           0.055371
656.991215           0.055806
656.999481           0.055822
657.007747           0.056455
657.016013           0.054907
657.024279           0.05564
657.032544           0.053167
657.04081            0.054027
657.049076           0.054092
657.057342           0.055072
657.065608           0.051538
657.073874           0.053437
657.08214            0.053618
657.090405           0.050766
657.098671           0.049948
657.106937           0.050928
657.115203           0.049458
657.123469           0.049146
657.131734           0.04755
657.14               0.051765
