# 2nd order Ha
# Spectrum #00052	4:07:51 PM 4/26/2018
# Narrow scan: start 1312.1nm, end 1313.35nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
1312.1               0.046897
1312.111068          0.046647
1312.122135          0.048309
1312.133202          0.049818
1312.14427           0.047391
1312.155337          0.046849
1312.166404          0.046946
1312.177471          0.046573
1312.188538          0.046852
1312.199604          0.048192
1312.210671          0.048215
1312.221737          0.046816
1312.232804          0.049455
1312.24387           0.04594
1312.254937          0.04949
1312.266003          0.048621
1312.277069          0.050039
1312.288135          0.048121
1312.299201          0.049799
1312.310266          0.049461
1312.321332          0.050172
1312.332397          0.056864
1312.343463          0.064851
1312.354528          0.075635
1312.365593          0.089555
1312.376659          0.107434
1312.387724          0.124842
1312.398789          0.138346
1312.409853          0.159775
1312.420918          0.177797
1312.431983          0.192161
1312.443047          0.198908
1312.454112          0.205642
1312.465176          0.199794
1312.47624           0.191905
1312.487305          0.176911
1312.498369          0.161856
1312.509433          0.14434
1312.520496          0.127084
1312.53156           0.110556
1312.542624          0.092268
1312.553687          0.079205
1312.564751          0.065805
1312.575814          0.062151
1312.586877          0.056465
1312.597941          0.053833
1312.609004          0.052732
1312.620067          0.048319
1312.631129          0.050328
1312.642192          0.050672
1312.653255          0.049231
1312.664317          0.049085
1312.67538           0.049458
1312.686442          0.053128
1312.697504          0.053021
1312.708567          0.055806
1312.719629          0.059691
1312.730691          0.066827
1312.741752          0.076979
1312.752814          0.080588
1312.763876          0.09058
1312.774937          0.092216
1312.785999          0.097529
1312.79706           0.102491
1312.808121          0.109468
1312.819183          0.110118
1312.830244          0.105626
1312.841305          0.104114
1312.852365          0.100161
1312.863426          0.094377
1312.874487          0.083129
1312.885547          0.074149
1312.896608          0.065818
1312.907668          0.05921
1312.918728          0.055147
1312.929788          0.054092
1312.940849          0.050668
1312.951908          0.046157
1312.962968          0.04706
1312.974028          0.048218
1312.985088          0.045735
1312.996147          0.04826
1313.007207          0.046725
1313.018266          0.044931
1313.029325          0.044629
1313.040384          0.046261
1313.051444          0.045537
1313.062502          0.045352
1313.073561          0.048319
1313.08462           0.047741
1313.095679          0.046271
1313.106737          0.04469
1313.117796          0.044307
1313.128854          0.046985
1313.139912          0.043603
1313.15097           0.042383
1313.162028          0.044759
1313.173086          0.04669
1313.184144          0.048027
1313.195202          0.049078
1313.20626           0.048118
1313.217317          0.047212
1313.228375          0.049146
1313.239432          0.048173
1313.250489          0.048361
1313.261546          0.050565
1313.272603          0.045726
1313.28366           0.046868
1313.294717          0.045576
1313.305774          0.04642
1313.316831          0.048919
1313.327887          0.046806
1313.338944          0.048225
1313.35              0.046579
