# 365.588
# Spectrum #00023	3:11:50 PM 4/26/2018
# Narrow scan: start 731nm, end 732.24nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
731                  0.05282
731.008053           0.044535
731.016106           0.036992
731.024159           0.03328
731.032212           0.031495
731.040265           0.028327
731.048318           0.027418
731.056371           0.029739
731.064424           0.032705
731.072477           0.041036
731.08053            0.051567
731.088582           0.07115
731.096635           0.090291
731.104688           0.111841
731.112741           0.13268
731.120794           0.155793
731.128847           0.179553
731.136899           0.203812
731.144952           0.231265
731.153005           0.266831
731.161058           0.305906
731.16911            0.336458
731.177163           0.372196
731.185216           0.403806
731.193268           0.426232
731.201321           0.44426
731.209374           0.460919
731.217426           0.480164
731.225479           0.486113
731.233532           0.490607
731.241584           0.492107
731.249637           0.474037
731.25769            0.443728
731.265742           0.404059
731.273795           0.354392
731.281847           0.298753
731.2899             0.243033
731.297952           0.198473
731.306005           0.158688
731.314057           0.124037
731.32211            0.09906
731.330162           0.079601
731.338215           0.064504
731.346267           0.05269
731.354319           0.045972
731.362372           0.040533
731.370424           0.036054
731.378477           0.032254
731.386529           0.02957
731.394581           0.028272
731.402634           0.026162
731.410686           0.025091
731.418738           0.025491
731.426791           0.024631
731.434843           0.023524
731.442895           0.022537
731.450947           0.022271
731.459              0.020662
731.467052           0.021745
731.475104           0.021492
731.483156           0.019789
731.491208           0.019117
731.499261           0.019415
731.507313           0.020223
731.515365           0.020227
731.523417           0.020993
731.531469           0.020954
731.539521           0.020795
731.547573           0.019646
731.555625           0.020749
731.563677           0.021019
731.571729           0.020756
731.579781           0.020262
731.587833           0.020308
731.595885           0.019701
731.603937           0.018633
731.611989           0.019091
731.620041           0.019633
731.628093           0.017799
731.636145           0.018971
731.644197           0.018396
731.652249           0.019263
731.660301           0.019032
731.668353           0.019399
731.676405           0.018731
731.684456           0.018425
731.692508           0.018828
731.70056            0.017744
731.708612           0.017546
731.716664           0.016972
731.724715           0.017874
731.732767           0.018198
731.740819           0.01814
731.748871           0.019081
731.756922           0.017556
731.764974           0.01765
731.773026           0.017585
731.781077           0.018124
731.789129           0.018568
731.797181           0.017338
731.805232           0.01864
731.813284           0.01739
731.821336           0.018685
731.829387           0.017981
731.837439           0.016881
731.84549            0.017111
731.853542           0.016215
731.861593           0.016767
731.869645           0.015943
731.877697           0.017234
731.885748           0.018137
731.893799           0.018059
731.901851           0.016589
731.909902           0.016004
731.917954           0.015423
731.926005           0.017841
731.934057           0.016459
731.942108           0.016316
731.950159           0.017092
731.958211           0.016968
731.966262           0.016572
731.974314           0.017455
731.982365           0.017111
731.990416           0.017348
731.998467           0.017608
732.006519           0.019023
732.01457            0.017445
732.022621           0.016897
732.030673           0.018289
732.038724           0.01714
732.046775           0.018208
732.054826           0.016105
732.062877           0.017711
732.070929           0.017698
732.07898            0.017728
732.087031           0.016897
732.095082           0.017114
732.103133           0.017075
732.111184           0.017776
732.119235           0.017523
732.127286           0.017627
732.135337           0.016634
732.143388           0.018072
732.15144            0.017234
732.159491           0.017981
732.167542           0.016488
732.175593           0.017439
732.183644           0.017634
732.191694           0.016679
732.199745           0.017987
732.207796           0.01752
732.215847           0.017075
732.223898           0.01837
732.231949           0.017828
732.24               0.017397
