# 546.226
# Spectrum #00036	3:27:59 PM 4/26/2018
# Narrow scan: start 1092.11nm, end 1093.36nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
1092.11              0.044431
1092.116832          0.044755
1092.123665          0.043623
1092.130497          0.043821
1092.13733           0.04359
1092.144162          0.044379
1092.150995          0.043733
1092.157827          0.04323
1092.164659          0.042279
1092.171492          0.042711
1092.178324          0.043149
1092.185156          0.041195
1092.191989          0.040368
1092.198821          0.040452
1092.205653          0.041059
1092.212485          0.045044
1092.219317          0.045956
1092.22615           0.046858
1092.232982          0.045645
1092.239814          0.047787
1092.246646          0.045917
1092.253478          0.048737
1092.26031           0.046589
1092.267142          0.048955
1092.273974          0.049111
1092.280806          0.047631
1092.287638          0.048364
1092.29447           0.048225
1092.301302          0.049114
1092.308134          0.047073
1092.314966          0.048309
1092.321798          0.045992
1092.328629          0.046573
1092.335461          0.04655
1092.342293          0.050321
1092.349125          0.050237
1092.355957          0.05158
1092.362788          0.055627
1092.36962           0.061748
1092.376452          0.064731
1092.383284          0.076333
1092.390115          0.091291
1092.396947          0.108524
1092.403778          0.12788
1092.41061           0.15245
1092.417442          0.173938
1092.424273          0.205149
1092.431105          0.239726
1092.437936          0.268133
1092.444768          0.300911
1092.451599          0.349352
1092.458431          0.398828
1092.465262          0.457307
1092.472094          0.510447
1092.478925          0.566826
1092.485756          0.62226
1092.492588          0.658174
1092.499419          0.698748
1092.50625           0.74012
1092.513082          0.767534
1092.519913          0.816484
1092.526744          0.880418
1092.533575          0.926467
1092.540407          0.975933
1092.547238          0.999063
1092.554069          1.020012
1092.5609            1.021758
1092.567731          1.007897
1092.574562          0.976466
1092.581393          0.908394
1092.588224          0.82006
1092.595055          0.720962
1092.601886          0.620693
1092.608717          0.503193
1092.615548          0.404004
1092.622379          0.321574
1092.62921           0.255774
1092.636041          0.208962
1092.642872          0.173341
1092.649703          0.147044
1092.656534          0.125572
1092.663365          0.109777
1092.670195          0.100151
1092.677026          0.09034
1092.683857          0.081753
1092.690688          0.073221
1092.697518          0.073169
1092.704349          0.072513
1092.71118           0.06708
1092.718011          0.062803
1092.724841          0.059876
1092.731672          0.060573
1092.738502          0.061028
1092.745333          0.058211
1092.752164          0.055595
1092.758994          0.055215
1092.765825          0.05478
1092.772655          0.054232
1092.779486          0.057899
1092.786316          0.052681
1092.793146          0.052742
1092.799977          0.053469
1092.806807          0.051733
1092.813638          0.050441
1092.820468          0.050324
1092.827298          0.04888
1092.834129          0.049338
1092.840959          0.048793
1092.847789          0.053054
1092.854619          0.055614
1092.86145           0.053057
1092.86828           0.053937
1092.87511           0.053443
1092.88194           0.051632
1092.88877           0.049094
1092.8956            0.047871
1092.902431          0.045226
1092.909261          0.044538
1092.916091          0.044415
1092.922921          0.043542
1092.929751          0.044317
1092.936581          0.045888
1092.943411          0.044463
1092.950241          0.044671
1092.957071          0.043029
1092.963901          0.044577
1092.97073           0.046346
1092.97756           0.047754
1092.98439           0.048445
1092.99122           0.04912
1092.99805           0.048277
1093.00488           0.04876
1093.011709          0.049555
1093.018539          0.049351
1093.025369          0.047511
1093.032199          0.045846
1093.039028          0.046417
1093.045858          0.045859
1093.052688          0.043817
1093.059517          0.045992
1093.066347          0.043649
1093.073176          0.047913
1093.080006          0.044038
1093.086835          0.042935
1093.093665          0.043714
1093.100494          0.043347
1093.107324          0.045083
1093.114153          0.046352
1093.120983          0.044901
1093.127812          0.044006
1093.134642          0.045807
1093.141471          0.043399
1093.1483            0.045255
1093.15513           0.044145
1093.161959          0.047894
1093.168788          0.047329
1093.175618          0.04878
1093.182447          0.0484
1093.189276          0.048023
1093.196105          0.04878
1093.202934          0.048786
1093.209764          0.048926
1093.216593          0.046875
1093.223422          0.04605
1093.230251          0.044593
1093.23708           0.044736
1093.243909          0.0436
1093.250738          0.043603
1093.257567          0.04287
1093.264396          0.041477
1093.271225          0.042785
1093.278054          0.045395
1093.284883          0.044833
1093.291712          0.046313
1093.298541          0.047644
1093.30537           0.046722
1093.312199          0.046232
1093.319027          0.045826
1093.325856          0.042597
1093.332685          0.044723
1093.339514          0.044333
1093.346343          0.044434
1093.353171          0.047102
1093.36              0.047488
