# H794
# Spectrum #00109	5:45:23 PM 4/26/2018
# Not a single scan: start 793.5nm, end 794.75nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 45um, exit 45um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 1V max, -1V min. Sampling: 400 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.137582
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.146169
793.5                0.154682
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.12936
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.137378
793.507963           0.14016
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.130588
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.134496
793.515926           0.146567
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.129223
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135328
793.523889           0.135815
793.531852           0.126738
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.129127
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.531852           0.138243
793.539815           0.118979
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.125142
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.539815           0.13539
793.547778           0.129013
793.547778           0.130035
793.547778           0.130035
793.547778           0.130035
793.547778           0.130035
793.547778           0.130035
