# H972
# Spectrum #00080	5:23:34 PM 4/26/2018
# Narrow scan: start 971.8nm, end 973.05nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
971.8                0.016212
971.807355           0.01025
971.814709           0.008832
971.822063           0.008946
971.829418           0.008212
971.836772           0.006086
971.844127           0.00927
971.851481           0.008102
971.858836           0.011493
971.86619            0.012649
971.873544           0.008326
971.880899           0.007735
971.888253           0.010241
971.895607           0.013161
971.902961           0.007443
971.910316           0.01126
971.91767            0.008261
971.925024           0.009776
971.932378           0.009234
971.939732           0.011081
971.947087           0.008761
971.954441           0.008949
971.961795           0.00963
971.969149           0.009897
971.976503           0.010705
971.983857           0.009257
971.991211           0.009702
971.998565           0.009092
972.005919           0.008277
972.013273           0.010588
972.020627           0.006768
972.027981           0.007401
972.035335           0.012529
972.042689           0.006765
972.050043           0.009929
972.057397           0.006554
972.064751           0.007352
972.072104           0.008521
972.079458           0.011224
972.086812           0.012915
972.094166           0.01136
972.10152            0.012321
972.108873           0.016553
972.116227           0.016864
972.123581           0.020441
972.130934           0.019113
972.138288           0.019805
972.145642           0.024407
972.152995           0.027022
972.160349           0.038537
972.167703           0.042844
972.175056           0.046884
972.18241            0.056302
972.189763           0.062855
972.197117           0.087666
972.20447            0.093475
972.211824           0.092855
972.219177           0.100527
972.226531           0.100274
972.233884           0.116407
972.241238           0.098642
972.248591           0.08603
972.255944           0.079682
972.263298           0.074211
972.270651           0.064925
972.278004           0.049743
972.285358           0.045096
972.292711           0.041448
972.300064           0.029531
972.307417           0.025549
972.314771           0.021392
972.322124           0.015368
972.329477           0.015316
972.33683            0.008884
972.344183           0.01286
972.351537           0.009939
972.35889            0.015449
972.366243           0.012937
972.373596           0.011094
972.380949           0.011759
972.388302           0.009569
972.395655           0.014927
972.403008           0.014771
972.410361           0.017241
972.417714           0.015102
972.425067           0.01999
972.43242            0.021557
972.439773           0.025822
972.447126           0.029577
972.454478           0.035902
972.461831           0.035146
972.469184           0.045875
972.476537           0.041348
972.48389            0.050474
972.491243           0.039323
972.498595           0.043249
972.505948           0.052372
972.513301           0.045735
972.520654           0.040471
972.528006           0.044012
972.535359           0.036616
972.542712           0.027883
972.550064           0.031203
972.557417           0.024991
972.564769           0.021989
972.572122           0.027866
972.579475           0.015505
972.586827           0.015378
972.59418            0.018153
972.601532           0.014583
972.608885           0.010867
972.616237           0.012383
972.62359            0.013145
972.630942           0.010023
972.638294           0.011996
972.645647           0.012717
972.652999           0.011993
972.660352           0.014378
972.667704           0.011422
972.675056           0.013684
972.682408           0.015261
972.689761           0.016443
972.697113           0.012032
972.704465           0.008215
972.711818           0.00976
972.71917            0.010422
972.726522           0.009673
972.733874           0.008689
972.741226           0.009815
972.748578           0.011256
972.75593            0.00954
972.763283           0.00277
972.770635           0.005652
972.777987           0.006713
972.785339           0.007505
972.792691           0.011026
972.800043           0.011522
972.807395           0.008099
972.814747           0.007294
972.822099           0.008001
972.829451           0.005817
972.836803           0.010396
972.844154           0.006275
972.851506           0.007255
972.858858           0.005431
972.86621            0.006641
972.873562           0.009637
972.880914           0.006557
972.888265           0.009929
972.895617           0.006908
972.902969           0.006914
972.910321           0.010377
972.917672           0.009929
972.925024           0.015576
972.932376           0.010679
972.939727           0.010948
972.947079           0.012804
972.954431           0.012068
972.961782           0.012357
972.969134           0.010023
972.976485           0.009679
972.983837           0.010244
972.991188           0.008741
972.99854            0.009971
973.005891           0.006852
973.013243           0.007845
973.020594           0.010594
973.027946           0.008082
973.035297           0.007923
973.042649           0.006768
973.05               0.008592
