# first order
# Spectrum #00082	5:28:51 PM 4/26/2018
# Narrow scan: start 433.7nm, end 434.94nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 30um, exit 30um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
433.7                0.400376
433.708672           0.397835
433.717344           0.393781
433.726016           0.391068
433.734688           0.423064
433.743359           0.426988
433.752031           0.42322
433.760703           0.422509
433.769375           0.41941
433.778047           0.40452
433.786719           0.408071
433.795391           0.39713
433.804062           0.41425
433.812734           0.407863
433.821406           0.400723
433.830078           0.380138
433.83875            0.389027
433.847421           0.401353
433.856093           0.399334
433.864765           0.39321
433.873437           0.385239
433.882108           0.380498
433.89078            0.368743
433.899452           0.373231
433.908124           0.377914
433.916795           0.388254
433.925467           0.392019
433.934139           0.384064
433.942811           0.385729
433.951482           0.383253
433.960154           0.398088
433.968826           0.399464
433.977497           0.4097
433.986169           0.406393
433.99484            0.414776
434.003512           0.424375
434.012184           0.438022
434.020855           0.472125
434.029527           0.514309
434.038199           0.582342
434.04687            0.664473
434.055542           0.811463
434.064213           1.023621
434.072885           1.299301
434.081556           1.776394
434.090228           2.465537
434.0989             3.30309
434.107571           4.481286
434.116243           5.614771
434.124914           6.659326
434.133586           7.469755
434.142257           7.969531
434.150929           7.827191
434.1596             7.390288
434.168272           6.806415
434.176943           6.003934
434.185615           5.25754
434.194286           4.591043
434.202957           4.112298
434.211629           3.823937
434.2203             3.721185
434.228972           3.758877
434.237643           3.899523
434.246315           3.962334
434.254986           4.041149
434.263657           3.941249
434.272329           3.657465
434.281              3.286009
434.289671           2.882921
434.298343           2.476523
434.307014           2.067532
434.315685           1.722881
434.324357           1.442323
434.333028           1.220844
434.341699           1.038096
434.350371           0.896759
434.359042           0.769987
434.367713           0.673521
434.376385           0.598932
434.385056           0.558306
434.393727           0.525388
434.402398           0.502547
434.41107            0.492827
434.419741           0.46393
434.428412           0.436643
434.437083           0.445646
434.445755           0.431256
434.454426           0.423113
434.463097           0.411115
434.471768           0.398627
434.480439           0.382594
434.48911            0.379946
434.497782           0.379563
434.506453           0.387735
434.515124           0.388806
434.523795           0.374646
434.532466           0.38103
434.541137           0.385512
434.549808           0.384733
434.55848            0.377872
434.567151           0.377123
434.575822           0.373669
434.584493           0.36467
434.593164           0.371411
434.601835           0.375724
434.610506           0.381199
434.619177           0.392233
434.627848           0.407107
434.636519           0.40033
434.64519            0.401291
434.653861           0.400223
434.662532           0.404215
434.671203           0.409904
434.679874           0.39495
434.688545           0.395722
434.697216           0.394674
434.705887           0.405465
434.714558           0.39062
434.723229           0.375471
434.7319             0.386404
434.740571           0.386606
434.749242           0.380641
434.757913           0.386125
434.766584           0.380157
434.775254           0.385032
434.783925           0.402261
434.792596           0.420069
434.801267           0.421072
434.809938           0.399857
434.818609           0.396816
434.82728            0.400635
434.835951           0.394226
434.844621           0.393291
434.853292           0.382357
434.861963           0.381111
434.870634           0.372917
434.879305           0.39012
434.887975           0.384616
434.896646           0.37539
434.905317           0.38976
434.913988           0.400042
434.922659           0.390266
434.931329           0.383714
434.94               0.388391
