# H868
# Spectrum #00070	4:46:03 PM 4/26/2018
# Narrow scan: start 867.68nm, end 868.93nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
867.68               0.923511
867.695435           0.91097
867.710869           0.875492
867.726304           0.880402
867.741739           0.883566
867.757173           0.875002
867.772607           0.887526
867.788042           0.872133
867.803476           0.858694
867.81891            0.872964
867.834344           0.886977
867.849779           0.89253
867.865213           0.920551
867.880647           0.913148
867.89608            0.897713
867.911514           0.876702
867.926948           0.840007
867.942382           0.862267
867.957815           0.893887
867.973249           0.889713
867.988682           0.912158
868.004116           0.886085
868.019549           0.901403
868.034982           0.884147
868.050416           0.869624
868.065849           0.948883
868.081282           1.039326
868.096715           1.111847
868.112148           1.256595
868.127581           1.389682
868.143014           1.458433
868.158446           1.435537
868.173879           1.392123
868.189312           1.314224
868.204744           1.197321
868.220177           1.096542
868.235609           1.008965
868.251041           0.983466
868.266474           0.971176
868.281906           0.938572
868.297338           0.936233
868.31277            0.961456
868.328202           0.985819
868.343634           1.008514
868.359066           1.057046
868.374498           1.10191
868.38993            1.109027
868.405361           1.113619
868.420793           1.015644
868.436225           0.970971
868.451656           0.927119
868.467088           0.962994
868.482519           0.907618
868.49795            0.882226
868.513382           0.902954
868.528813           0.887165
868.544244           0.872454
868.559675           0.873249
868.575106           0.909559
868.590537           0.869793
868.605968           0.871591
868.621398           0.829222
868.636829           0.842142
868.65226            0.856412
868.66769            0.863192
868.683121           0.879639
868.698551           0.857931
868.713982           0.897203
868.729412           0.883372
868.744842           0.871773
868.760272           0.84985
868.775702           0.870163
868.791133           0.862854
868.806563           0.879607
868.821992           0.890554
868.837422           0.862439
868.852852           0.864584
868.868282           0.865327
868.883711           0.852667
868.899141           0.874405
868.914571           0.894708
868.93               0.890054
