# Photomultiplier 600V, Amplifier 1uA x3
# Spectrum #00013	2:47:35 PM 4/26/2018
# Wide scan: start 750nm, end 1249.79nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 20um, exit 20um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
750                  0.022333
750.41               0.022138
750.82               0.029869
751.23               0.035386
751.64               0.029096
752.05               0.026257
752.46               0.02354
752.87               0.022524
753.28               0.022012
753.69               0.021483
754.1                0.022343
754.51               0.0217
754.92               0.021411
755.33               0.021142
755.74               0.020668
756.15               0.020064
756.56               0.019831
756.97               0.01961
757.38               0.01926
757.79               0.019652
758.2                0.019951
758.61               0.019604
759.02               0.020441
759.43               0.020876
759.84               0.021694
760.25               0.020999
760.66               0.021216
761.07               0.021087
761.48               0.019389
761.89               0.020253
762.3                0.021252
762.71               0.021346
763.12               0.020519
763.53               0.020649
763.94               0.035178
764.35               0.036947
764.76               0.030985
765.17               0.026665
765.58               0.022485
765.99               0.022102
766.4                0.021346
766.81               0.020856
767.22               0.020655
767.63               0.021174
768.04               0.020749
768.45               0.019899
768.86               0.020739
769.27               0.019896
769.68               0.018903
770.09               0.019237
770.5                0.018604
770.91               0.019889
771.32               0.019535
771.73               0.018997
772.14               0.021109
772.55               0.02295
772.96               0.03006
773.37               0.026218
773.78               0.023913
774.19               0.022563
774.6                0.022077
775.01               0.021161
775.42               0.021022
775.83               0.021564
776.24               0.02121
776.65               0.019737
777.06               0.020996
777.47               0.0195
777.88               0.018932
778.29               0.019175
778.7                0.019776
779.11               0.020973
779.52               0.019961
779.93               0.019665
780.34               0.020499
780.75               0.020386
781.16               0.019597
781.57               0.019766
781.98               0.021041
782.39               0.020048
782.8                0.021025
783.21               0.019818
783.62               0.018883
784.03               0.019857
784.44               0.018403
784.85               0.018597
785.26               0.018737
785.67               0.020438
786.08               0.020136
786.49               0.019782
786.9                0.020048
787.31               0.018769
787.72               0.018756
788.13               0.019175
788.54               0.018341
788.95               0.019328
789.36               0.018779
789.77               0.019704
790.18               0.018218
790.59               0.020032
791                  0.021041
791.41               0.019292
791.82               0.020249
792.23               0.020142
792.64               0.020272
793.05               0.020639
793.46               0.020292
793.87               0.020223
794.28               0.020824
794.69               0.019931
795.1                0.022748
795.51               0.025121
795.92               0.023612
796.33               0.022398
796.74               0.02181
797.15               0.02072
797.56               0.020308
797.97               0.01863
798.38               0.019425
798.79               0.019175
799.2                0.019279
799.61               0.019318
800.02               0.020081
800.43               0.01912
800.84               0.019503
801.25               0.019162
801.66               0.019516
802.07               0.020801
802.48               0.020262
802.89               0.020171
803.3                0.020593
803.71               0.020434
804.12               0.019542
804.53               0.019691
804.94               0.019263
805.35               0.019023
805.76               0.019763
806.17               0.019756
806.58               0.019853
806.99               0.020275
807.4                0.021165
807.81               0.021139
808.22               0.0207
808.63               0.021233
809.04               0.019224
809.45               0.02047
809.86               0.127467
810.27               0.089331
810.68               0.062504
811.09               0.047907
811.5                0.036632
811.91               0.046547
812.32               0.0505
812.73               0.038628
813.14               0.031433
813.55               0.025952
813.96               0.023514
814.37               0.021103
814.78               0.019704
815.19               0.019217
815.6                0.020814
816.01               0.026834
816.42               0.024816
816.83               0.022339
817.24               0.02108
817.65               0.019571
818.06               0.019948
818.47               0.01987
818.88               0.021703
819.29               0.019678
819.7                0.020259
820.11               0.01973
820.52               0.019753
820.93               0.019091
821.34               0.018185
821.75               0.017221
822.16               0.018078
822.57               0.017906
822.98               0.018429
823.39               0.018211
823.8                0.017705
824.21               0.018117
824.62               0.019389
825.03               0.019535
825.44               0.019493
825.85               0.019019
826.26               0.017835
826.67               0.023358
827.08               0.028042
827.49               0.024439
827.9                0.021655
828.31               0.021327
828.72               0.018951
829.13               0.018656
829.54               0.018189
829.95               0.017562
830.36               0.017909
830.77               0.018331
831.18               0.017471
831.59               0.017919
832                  0.01923
832.41               0.019503
832.82               0.018539
833.23               0.018695
833.64               0.018825
834.05               0.017893
834.46               0.018036
834.87               0.017543
835.28               0.016881
835.69               0.018218
836.1                0.016972
836.51               0.017711
836.92               0.018279
837.33               0.018004
837.74               0.016997
838.15               0.017838
838.56               0.018818
838.97               0.01887
839.38               0.019756
839.79               0.018322
840.2                0.018724
840.61               0.01874
841.02               0.018834
841.43               0.019188
841.84               0.018935
842.25               0.018351
842.66               0.019785
843.07               0.019558
843.48               0.018017
843.89               0.018841
844.3                0.017965
844.71               0.017841
845.12               0.017604
845.53               0.01778
845.94               0.018315
846.35               0.017617
846.76               0.017698
847.17               0.017488
847.58               0.017481
847.99               0.017432
848.4                0.018474
848.81               0.019918
