# possible higher order 508
# Spectrum #00121	6:33:51 PM 4/26/2018
# Narrow scan: start 708.02nm, end 709.28nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 400 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
708.02               0.009176
708.028236           0.009486
708.036473           0.008826
708.044709           0.008617
708.052945           0.008317
708.061181           0.008867
708.069418           0.008979
708.077654           0.00912
708.08589            0.008632
708.094126           0.008378
708.102363           0.009095
708.110599           0.008984
708.118835           0.008816
708.127071           0.009233
708.135307           0.008899
708.143543           0.008125
708.151779           0.009091
708.160016           0.009097
708.168252           0.008346
708.176488           0.008601
708.184724           0.008674
708.19296            0.008876
708.201196           0.008919
708.209432           0.008726
708.217668           0.008308
708.225904           0.008167
708.23414            0.008499
708.242376           0.008387
708.250612           0.008567
708.258848           0.008386
708.267084           0.008447
708.27532            0.008554
708.283556           0.008795
708.291791           0.00834
708.300027           0.008705
708.308263           0.00853
708.316499           0.00854
708.324735           0.008323
708.332971           0.008231
708.341206           0.008572
708.349442           0.008761
708.357678           0.008638
708.365914           0.009442
708.37415            0.009722
708.382385           0.010142
708.390621           0.010398
708.398857           0.010876
708.407092           0.011515
708.415328           0.011165
708.423564           0.011939
708.431799           0.013523
708.440035           0.014024
708.448271           0.014279
708.456506           0.015203
708.464742           0.016603
708.472978           0.017131
708.481213           0.01799
708.489449           0.017795
708.497684           0.018688
708.50592            0.018738
708.514155           0.018697
708.522391           0.018498
708.530626           0.018452
708.538862           0.017591
708.547097           0.017109
708.555333           0.015428
708.563568           0.014832
708.571804           0.014229
708.580039           0.013339
708.588274           0.011549
708.59651            0.01117
708.604745           0.010338
708.612981           0.010047
708.621216           0.009718
708.629451           0.009225
708.637687           0.009453
708.645922           0.008934
708.654157           0.008832
708.662392           0.00946
708.670628           0.008953
708.678863           0.0088
708.687098           0.008608
708.695333           0.008728
708.703569           0.008573
708.711804           0.008432
708.720039           0.008324
708.728274           0.008655
708.736509           0.008124
708.744744           0.008865
708.75298            0.008192
708.761215           0.00825
708.76945            0.00865
708.777685           0.008787
708.78592            0.008284
708.794155           0.008748
708.80239            0.008746
708.810625           0.008622
708.81886            0.00855
708.827095           0.008183
708.83533            0.009497
708.843565           0.008941
708.8518             0.008663
708.860035           0.009037
708.86827            0.008753
708.876505           0.008619
708.88474            0.009028
708.892975           0.008624
708.90121            0.009431
708.909445           0.008789
708.917679           0.008781
708.925914           0.008351
708.934149           0.008824
708.942384           0.008848
708.950619           0.008713
708.958854           0.00852
708.967088           0.008155
708.975323           0.008641
708.983558           0.008284
708.991793           0.008691
709.000027           0.009125
709.008262           0.008984
709.016497           0.009243
709.024731           0.008697
709.032966           0.00913
709.041201           0.009502
709.049435           0.009444
709.05767            0.009134
709.065905           0.009174
709.074139           0.009554
709.082374           0.009308
709.090608           0.00889
709.098843           0.008845
709.107078           0.00871
709.115312           0.008869
709.123547           0.008939
709.131781           0.008774
709.140016           0.008409
709.14825            0.008351
709.156485           0.009126
709.164719           0.009368
709.172953           0.009233
709.181188           0.009407
709.189422           0.009772
709.197657           0.010577
709.205891           0.010227
709.214125           0.009868
709.22236            0.010113
709.230594           0.010459
709.238829           0.009935
709.247063           0.009878
709.255297           0.009633
709.263531           0.009696
709.271766           0.008871
709.28               0.009402
