# spikey boi UV passthrough
# Spectrum #00119	6:26:18 PM 4/26/2018
# Wide scan: start 400nm, end 800nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 200um, exit 200um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 400 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
400                  0.076305
400.4                0.076167
400.8                0.077208
401.2                0.078031
401.6                0.077729
402                  0.079062
402.4                0.080955
402.8                0.083272
403.2                0.091211
403.6                0.105208
404                  0.112707
404.4                4.826375
404.8                10.357762
405.2                0.120513
405.6                0.092502
406                  0.083808
406.4                0.081126
406.8                0.078533
407.2                0.076642
407.6                0.776381
408                  0.639442
408.4                0.073105
408.8                0.070039
409.2                0.06891
409.6                0.069443
410                  0.068355
410.4                0.066293
410.8                0.070654
411.2                0.06642
411.6                0.064692
412                  0.06442
412.4                0.063481
412.8                0.062809
413.2                0.061829
413.6                0.061609
414                  0.060894
414.4                0.059791
414.8                0.059053
415.2                0.058639
415.6                0.058596
416                  0.061376
416.4                0.061465
416.8                0.056887
417.2                0.05602
417.6                0.055012
418                  0.055076
418.4                0.055205
418.8                0.053744
419.2                0.054598
419.6                0.05401
420                  0.054747
420.4                0.052427
420.8                0.051443
421.2                0.050986
421.6                0.050426
422                  0.049464
422.4                0.049068
422.8                0.048894
423.2                0.04736
423.6                0.047258
424                  0.047129
424.4                0.046476
424.8                0.045884
425.2                0.045463
425.6                0.044687
426                  0.04558
426.4                0.044456
426.8                0.044782
427.2                0.043362
427.6                0.042885
428                  0.042123
428.4                0.042888
428.8                0.04248
429.2                0.04184
429.6                0.042496
430                  0.041366
430.4                0.041375
430.8                0.040544
431.2                0.041388
431.6                0.040879
432                  0.041488
432.4                0.043159
432.8                0.043435
433.2                0.045593
433.6                0.052119
434                  0.110043
434.4                0.083079
434.8                0.216343
435.2                0.15782
435.6                0.183611
436                  10.632169
436.4                0.554311
436.8                0.089347
437.2                0.066501
437.6                0.053953
438                  0.048746
438.4                0.043454
438.8                0.039637
439.2                0.037348
439.6                0.036093
440                  0.034719
440.4                0.03325
440.8                0.032262
441.2                0.03161
441.6                0.030569
442                  0.029663
442.4                0.029427
442.8                0.029444
443.2                0.02766
443.6                0.027446
444                  0.027156
444.4                0.027126
444.8                0.025807
445.2                0.026546
445.6                0.026797
446                  0.025392
446.4                0.025218
446.8                0.024545
447.2                0.023724
447.6                0.023109
448                  0.023375
448.4                0.023237
448.8                0.022653
449.2                0.023022
449.6                0.022312
450                  0.022266
450.4                0.022724
450.8                0.021713
451.2                0.022717
451.6                0.021655
452                  0.021416
452.4                0.021393
452.8                0.021233
453.2                0.020756
453.6                0.021668
454                  0.021655
454.4                0.021359
454.8                0.02045
455.2                0.024587
455.6                0.022133
456                  0.020328
456.4                0.019175
456.8                0.019547
457.2                0.020705
457.6                0.01975
458                  0.019116
458.4                0.01892
458.8                0.020144
459.2                0.019595
459.6                0.019989
460                  0.018835
460.4                0.020894
460.8                0.019245
461.2                0.019907
461.6                0.01846
462                  0.020066
462.4                0.01873
462.8                0.01847
463.2                0.01913
463.6                0.019333
464                  0.019057
464.4                0.019146
464.8                0.017571
465.2                0.017832
465.6                0.018609
466                  0.017828
466.4                0.01762
466.8                0.017217
467.2                0.018446
467.6                0.019293
468                  0.018212
468.4                0.01909
468.8                0.01824
469.2                0.019355
469.6                0.017904
470                  0.017978
470.4                0.0177
470.8                0.019043
471.2                0.018202
471.6                0.018466
472                  0.018802
472.4                0.01831
472.8                0.018307
473.2                0.018618
473.6                0.017154
474                  0.016994
474.4                0.017024
474.8                0.016936
475.2                0.017916
475.6                0.017906
476                  0.023439
476.4                0.017591
476.8                0.017503
477.2                0.017397
477.6                0.01729
478                  0.018541
478.4                0.019544
478.8                0.016791
479.2                0.01735
479.6                0.016628
480                  0.018567
480.4                0.017601
480.8                0.018319
481.2                0.016206
481.6                0.019143
482                  0.022052
482.4                0.022809
482.8                0.016863
483.2                0.01757
483.6                0.018763
484                  0.017733
484.4                0.017092
484.8                0.01761
485.2                0.016763
485.6                0.017023
486                  0.017935
486.4                0.016795
486.8                0.017032
487.2                0.018374
487.6                0.018297
488                  0.018336
488.4                0.018667
