# Weird 508 smaller order
# Spectrum #00116	6:18:22 PM 4/26/2018
# Narrow scan: start 506.87nm, end 508.12nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 20um, exit 20um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 400 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
506.87               0.004014
506.878621           0.003677
506.887243           0.003781
506.895864           0.004125
506.904485           0.004117
506.913107           0.003977
506.921728           0.003873
506.930349           0.00442
506.938971           0.004416
506.947592           0.004682
506.956213           0.004729
506.964835           0.004802
506.973456           0.005006
506.982077           0.004962
506.990699           0.006013
506.99932            0.00579
507.007941           0.006103
507.016562           0.00598
507.025183           0.006739
507.033805           0.007316
507.042426           0.006672
507.051047           0.007063
507.059668           0.007526
507.068289           0.007303
507.076911           0.007583
507.085532           0.007388
507.094153           0.007128
507.102774           0.007724
507.111395           0.007124
507.120016           0.007682
507.128637           0.007264
507.137258           0.007501
507.14588            0.008207
507.154501           0.007999
507.163122           0.009016
507.171743           0.009498
507.180364           0.010388
507.188985           0.011952
507.197606           0.014075
507.206227           0.015323
507.214848           0.018559
507.223469           0.020079
507.23209            0.020795
507.240711           0.021569
507.249332           0.02384
507.257953           0.027971
507.266574           0.045192
507.275195           0.048479
507.283816           0.142365
507.292437           0.254411
507.301057           0.414682
507.309678           0.635667
507.318299           0.820846
507.32692            1.069362
507.335541           1.394336
507.344162           1.710073
507.352783           2.340506
507.361404           3.136708
507.370024           4.070313
507.378645           5.106914
507.387266           5.962155
507.395887           6.068486
507.404508           5.41385
507.413128           5.282651
507.421749           3.813993
507.43037            2.931925
507.438991           2.207911
507.447611           1.653846
507.456232           1.276378
507.464853           0.884148
507.473474           0.642201
507.482094           0.436917
507.490715           0.250125
507.499336           0.154761
507.507956           0.097249
507.516577           0.068413
507.525198           0.048457
507.533818           0.040183
507.542439           0.03355
507.55106            0.03202
507.55968            0.02791
507.568301           0.025333
507.576922           0.022508
507.585542           0.020483
507.594163           0.019163
507.602783           0.016976
507.611404           0.016012
507.620024           0.01452
507.628645           0.013595
507.637265           0.013346
507.645886           0.012339
507.654507           0.011956
507.663127           0.010719
507.671748           0.010043
507.680368           0.009233
507.688988           0.009237
507.697609           0.008547
507.706229           0.008533
507.71485            0.007566
507.72347            0.007445
507.732091           0.007009
507.740711           0.007694
507.749332           0.00679
507.757952           0.006782
507.766572           0.006629
507.775193           0.006609
507.783813           0.006478
507.792433           0.005645
507.801054           0.005893
507.809674           0.005568
507.818294           0.005531
507.826915           0.005134
507.835535           0.005089
507.844155           0.00479
507.852776           0.00508
507.861396           0.004996
507.870016           0.00465
507.878637           0.005009
507.887257           0.005148
507.895877           0.005002
507.904497           0.0051
507.913117           0.004581
507.921738           0.004474
507.930358           0.004089
507.938978           0.004117
507.947598           0.004155
507.956218           0.003785
507.964839           0.003814
507.973459           0.003946
507.982079           0.003703
507.990699           0.003867
507.999319           0.003321
508.007939           0.003833
508.016559           0.003767
508.02518            0.00341
508.0338             0.003691
508.04242            0.00334
508.05104            0.003298
508.05966            0.00303
508.06828            0.003105
508.0769             0.002758
508.08552            0.003121
508.09414            0.002878
508.10276            0.003228
508.11138            0.002853
508.12               0.002827
