# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:50:47.002 PM 5/24/2018 ; Start Temp: 298.9410 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  0.000000   298.9410   1128.727   2703.117   5.653136   39427.98   26.89273
  1.120000   298.9390   1128.727   2703.054   5.653896   39427.23   26.89267
  2.200000   298.9410   1128.729   2703.086   5.653643   39428.05   26.89286
  3.698000   298.9410   1128.727   2703.079   5.653199   39427.67   26.89241
  5.277000   298.9410   1128.727   2703.079   5.652820   39428.05   26.89286
  6.704000   298.9410   1128.727   2703.067   5.652503   39428.80   26.89273
  8.206000   298.9420   1128.728   2703.086   5.653326   39428.49   26.89292
  9.706000   298.9400   1128.727   2703.086   5.652756   39428.68   26.89222
  11.19800   298.9400   1128.729   2703.079   5.653073   39429.82   26.89248
  12.76800   298.9400   1128.725   2703.067   5.653263   39429.69   26.89172
  14.19700   298.9390   1128.729   2703.098   5.653833   39429.31   26.89248
  15.76900   298.9400   1128.727   2703.117   5.652630   39429.94   26.89203
  17.26900   298.9420   1128.727   2703.111   5.653453   39430.20   26.89330
  18.69700   298.9400   1128.724   2703.092   5.652630   39429.69   26.89267
  20.19600   298.9380   1128.722   2703.105   5.652756   39430.70   26.89241
  21.69500   298.9380   1128.715   2703.111   5.653390   39433.36   26.89222
  23.19500   298.9070   1128.667   2703.098   5.652503   39442.89   26.89298
  24.69600   298.7680   1128.425   2703.098   5.652439   39526.73   26.89216
  26.19500   298.7680   1127.749   2703.092   5.651110   39598.25   26.89267
  27.69600   298.7690   1128.209   2703.105   5.650413   39624.98   26.89216
  29.26700   298.7590   1128.019   2703.124   5.650793   39638.75   26.89292
  30.69600   298.7200   1128.140   2703.124   5.648957   39686.39   26.89216
  32.19600   298.7070   1127.791   2703.105   5.649082   39747.36   26.89229
  33.76900   298.7050   1127.575   2703.124   5.648829   39768.15   26.89210
  35.26700   298.6830   1127.575   2703.156   5.648830   39782.74   26.89279
  36.69500   298.6610   1127.488   2703.175   5.648196   39811.80   26.89254
  38.26700   298.6410   1127.533   2703.187   5.647942   39842.32   26.89311
  39.69700   298.5870   1127.586   2703.181   5.647372   39882.00   26.89260
  41.58500   298.6160   1127.324   2703.156   5.645789   39900.58   26.89191
  42.70500   298.6080   1127.399   2703.187   5.646929   39937.09   26.89191
  44.19700   298.6150   1127.306   2703.194   5.646550   39951.94   26.89286
  45.69400   298.5770   1127.275   2703.200   5.646676   40001.98   26.89267
  47.19400   298.5740   1127.048   2703.206   5.645346   40014.55   26.89267
  48.69400   298.5130   1127.190   2703.225   5.645726   40064.72   26.89235
  50.19500   298.5150   1126.819   2703.181   5.645156   40156.71   26.89254
  51.68800   298.5250   1126.755   2703.231   5.644460   40156.71   26.89229
  53.19400   298.4710   1126.788   2703.231   5.643953   40177.88   26.89279
  54.68800   298.4600   1126.495   2703.250   5.643319   40288.06   26.89254
  56.19600   298.3270   1126.768   2703.270   5.642876   40303.16   26.89324
  57.68800   298.2870   1126.648   2703.282   5.643509   40297.29   26.89298
  59.18600   298.3790   1126.620   2703.244   5.642053   40314.03   26.89355
  60.68600   298.3810   1126.397   2703.244   5.641925   40338.55   26.89298
  62.19500   298.3350   1126.364   2703.270   5.641672   40357.62   26.89368
  63.69500   298.3170   1126.324   2703.250   5.640913   40399.39   26.89267
  65.19200   298.3520   1126.297   2703.269   5.640279   40418.03   26.89305
  66.69300   298.3290   1126.307   2703.270   5.639203   40430.66   26.89324
  68.18700   298.3330   1126.308   2703.250   5.640469   40437.36   26.89298
  69.69500   298.3230   1126.255   2703.301   5.640595   40449.62   26.89203
  71.19400   298.3260   1126.237   2703.295   5.640279   40467.43   26.89336
  72.69400   298.2970   1126.159   2703.289   5.639582   40482.98   26.89222
  74.19400   298.2920   1126.104   2703.289   5.639202   40498.01   26.89235
  75.69400   298.2870   1126.077   2703.270   5.639709   40519.81   26.89222
  77.46300   298.2860   1125.927   2703.314   5.638696   40573.07   26.89235
  78.69400   298.2870   1126.064   2703.339   5.638442   40568.27   26.89317
  80.19400   298.2220   1125.953   2703.320   5.638126   40573.96   26.89273
  81.69400   298.2540   1126.033   2703.358   5.638569   40584.95   26.89229
  83.18700   298.2190   1125.940   2703.320   5.638378   40641.31   26.89292
  84.68800   298.2320   1125.913   2703.339   5.637238   40650.85   26.89298
  86.19500   298.1300   1125.586   2703.326   5.638696   40655.14   26.89330
  87.69500   298.0430   1125.301   2703.320   5.637808   40717.25   26.89279
  89.19200   298.0420   1125.512   2703.339   5.635908   40785.93   26.89241
  90.68700   298.1050   1125.113   2703.358   5.635972   40814.61   26.89336
  92.18600   298.0660   1125.181   2703.326   5.635782   40840.96   26.89197
  93.69300   298.0840   1124.632   2703.371   5.635592   40856.63   26.89229
  95.19300   298.0790   1125.143   2703.377   5.634072   40881.84   26.89241
  96.69300   298.0690   1125.106   2703.365   5.635022   40908.69   26.89279
  98.28300   298.0210   1124.755   2703.365   5.633375   40930.43   26.89279
  99.68500   297.9580   1124.886   2703.377   5.632741   40956.07   26.89273
  101.1930   297.9720   1124.717   2703.384   5.633122   41052.87   26.89235
  102.6930   297.9860   1124.329   2703.421   5.632299   41062.60   26.89203
  104.1870   297.9350   1124.760   2703.409   5.632678   41093.37   26.89260
  105.6860   297.9130   1124.533   2703.409   5.632932   41232.74   26.89229
  107.1910   297.9220   1121.440   2703.219   5.631349   41244.68   26.89317
  108.6930   297.8820   1124.264   2703.599   5.631348   41255.80   26.89349
  110.1870   297.7730   1124.288   2703.504   5.630525   41272.86   26.89222
  111.6860   297.7410   1123.949   2703.517   5.628688   41420.71   26.89330
  113.1930   297.7490   1123.734   2703.542   5.627928   41440.73   26.89286
  114.6910   297.6740   1123.543   2703.542   5.627675   41481.30   26.89235
  116.1910   297.7180   1123.726   2703.536   5.627865   41498.73   26.89254
  117.6930   297.7070   1123.502   2703.472   5.626978   41530.07   26.89229
  119.6920   297.5890   1123.545   2703.510   5.625902   41735.79   26.89317
  121.1910   297.6160   1123.367   2703.517   5.625711   41748.11   26.89343
  122.6930   297.6230   1123.288   2703.542   5.624255   41744.95   26.89248
  124.3890   297.5730   1123.144   2703.535   5.623685   41773.51   26.89254
  125.6850   297.5720   1123.007   2703.523   5.623747   41792.52   26.89254
  127.1940   297.5290   1122.938   2703.517   5.623241   41809.08   26.89248
  128.6840   297.5200   1123.035   2703.554   5.623811   41831.38   26.89254
  130.1910   297.4900   1123.007   2703.567   5.622354   41851.73   26.89286
  131.7190   297.4620   1122.822   2703.529   5.621721   41911.87   26.89336
  133.1850   297.4680   1122.728   2703.548   5.621531   41977.71   26.89235
  134.6860   297.5050   1122.312   2703.580   5.621405   41982.01   26.89235
  136.1920   297.5070   1122.597   2703.593   5.621468   41981.82   26.89298
  137.6920   297.4960   1122.695   2703.605   5.621214   41981.75   26.89317
  139.1840   297.4930   1122.698   2703.593   5.621785   41981.44   26.89260
  140.6930   297.4620   1122.713   2703.580   5.621214   41984.03   26.89235
  142.1910   297.4870   1122.679   2703.555   5.621847   41986.68   26.89229
  143.6920   297.4890   1122.679   2703.593   5.621404   41991.68   26.89273
  145.2250   297.4640   1122.301   2703.586   5.621848   42002.79   26.89279
  146.6840   297.3170   1122.348   2703.561   5.620708   42080.06   26.89279
  148.1840   297.3870   1122.136   2703.580   5.619884   42108.12   26.89178
  149.6840   297.3720   1122.299   2703.612   5.619758   42130.23   26.89311
  151.1900   297.2370   1122.165   2703.618   5.618807   42153.80   26.89336
  152.6920   297.3500   1122.079   2703.586   5.619378   42170.92   26.89197
  154.1900   297.3330   1122.119   2703.618   5.618807   42205.98   26.89241
  155.6900   297.3330   1121.980   2703.605   5.618934   42228.79   26.89197
  157.1900   297.3340   1121.858   2703.605   5.619251   42255.39   26.89267
  158.6920   297.2530   1121.864   2703.605   5.618300   42278.77   26.89260
  161.0570   297.3020   1121.782   2703.656   5.617794   42304.29   26.89317
  162.2020   297.2990   1121.697   2703.650   5.617984   42337.71   26.89248
  163.6850   297.2600   1121.752   2703.637   5.617604   42343.65   26.89260
  165.1910   297.2230   1120.917   2703.624   5.617540   42364.44   26.89298
  166.6920   297.2730   1121.731   2703.656   5.617287   42383.84   26.89292
  168.1900   297.2550   1121.516   2703.637   5.617224   42408.29   26.89286
  169.6840   297.2440   1121.663   2703.662   5.616147   42416.63   26.89235
  171.1970   297.2630   1121.503   2703.656   5.616717   42415.74   26.89298
  172.6840   297.2300   1121.367   2703.656   5.616908   42419.98   26.89324
  174.1910   297.2400   1121.622   2703.681   5.616654   42430.09   26.89292
  175.6910   297.2400   1121.636   2703.656   5.616780   42442.21   26.89343
  177.1830   297.2050   1121.410   2703.643   5.614880   42457.57   26.89286
  178.6910   297.2230   1121.549   2703.656   5.616084   42465.59   26.89248
  180.1900   297.2250   1121.560   2703.675   5.616464   42475.89   26.89336
  181.6910   297.2230   1121.547   2703.675   5.615451   42480.63   26.89368
  183.1890   297.1930   1121.505   2703.656   5.615387   42496.05   26.89305
  184.6810   297.2050   1121.452   2703.669   5.615134   42504.39   26.89197
  186.1910   297.2020   1121.486   2703.681   5.616021   42511.84   26.89260
  187.6890   297.1990   1121.412   2703.643   5.615578   42517.97   26.89241
  189.1890   297.2020   1121.426   2703.675   5.614564   42524.86   26.89279
  190.6910   297.1940   1121.395   2703.669   5.615577   42529.47   26.89222
  192.1910   297.1810   1121.401   2703.694   5.615387   42534.46   26.89241
  193.6850   297.1780   1121.162   2703.662   5.614564   42545.64   26.89229
  195.1890   297.0660   1120.652   2703.669   5.614374   42620.89   26.89216
  196.6890   297.0540   1120.792   2703.681   5.612980   42672.89   26.89298
  198.1820   297.0350   1120.384   2703.732   5.613424   42724.51   26.89292
  199.6890   297.0100   1120.604   2703.707   5.612474   42764.06   26.89336
  201.1820   297.0010   1120.553   2703.751   5.611397   42793.37   26.89330
  202.6900   296.9850   1120.614   2703.757   5.611460   42826.86   26.89260
  204.1880   296.9560   1120.516   2703.745   5.610701   42863.57   26.89286
