# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 4:31:11.273 PM 5/24/2018 ; Start Temp: 383.5050 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  0.000000   383.5050   262.6477   2791.589   7.498732   2059.327   26.80817
  59.28400   382.9960   266.3813   2790.455   7.488914   2088.866   26.80931
  115.4880   382.4870   270.1631   2789.314   7.476880   2118.697   26.81026
  171.4910   381.9720   274.0938   2788.111   7.466050   2149.453   26.81064
  227.5240   381.4600   278.0715   2786.932   7.454776   2180.810   26.81121
  282.8430   380.9470   282.0986   2785.754   7.443502   2212.434   26.81229
  338.4850   380.4350   286.1403   2784.581   7.432037   2244.362   26.81305
  394.9290   379.9220   290.2295   2783.371   7.421143   2277.519   26.81394
  451.3060   379.4100   294.5932   2782.193   7.410629   2311.056   26.81502
  507.7370   378.9000   298.9087   2781.040   7.398025   2345.309   26.81520
  564.5510   378.3880   303.1963   2779.848   7.387258   2379.619   26.81710
  621.0520   377.8820   307.4662   2778.733   7.376744   2414.247   26.81641
  678.7230   377.3750   312.0999   2777.555   7.364773   2450.172   26.81812
  735.4700   376.8670   316.4864   2776.420   7.354006   2486.130   26.81882
  793.4160   376.3580   321.0719   2775.292   7.342858   2522.766   26.81996
  851.4360   375.8490   325.6981   2774.152   7.331648   2560.396   26.82040
  909.7660   375.3430   330.4231   2773.069   7.319740   2598.343   26.82109
  968.4300   374.8250   335.4048   2771.947   7.309289   2637.215   26.82122
  1027.419   374.3130   340.1691   2770.838   7.298395   2676.328   26.82217
  1087.654   373.8030   345.1495   2769.742   7.287564   2717.089   26.82350
  1147.432   373.2980   350.2054   2768.665   7.276354   2757.653   26.82369
  1208.558   372.7860   355.3070   2767.569   7.264953   2799.801   26.82471
  1270.402   372.2640   360.6323   2766.485   7.253362   2842.754   26.82502
  1332.522   371.7590   366.0495   2765.415   7.242024   2886.428   26.82604
  1394.468   371.2530   371.3127   2764.356   7.231891   2930.154   26.82718
  1456.297   370.7460   376.5632   2763.324   7.218780   2974.501   26.82756
  1518.222   370.2370   382.0096   2762.303   7.208455   3019.678   26.82806
  1581.911   369.7320   387.6353   2761.290   7.197435   3065.589   26.82984
  1645.455   369.2150   393.3245   2760.289   7.186034   3112.375   26.82977
  1710.965   368.7060   399.1341   2759.262   7.174887   3161.354   26.83034
  1775.338   368.1990   404.9950   2758.274   7.164626   3210.066   26.83193
  1840.291   367.6890   410.9326   2757.247   7.153036   3259.602   26.83275
  1906.433   367.1770   416.9032   2756.297   7.141888   3310.602   26.83345
  1970.890   366.6710   423.0114   2755.372   7.131310   3361.133   26.83376
  2037.560   366.1640   429.2197   2754.402   7.119213   3413.399   26.83357
  2104.068   365.6540   435.3982   2753.433   7.108446   3466.680   26.83585
  2171.500   365.1470   441.7086   2752.508   7.097488   3521.221   26.83573
  2238.435   364.6480   448.0062   2751.583   7.087291   3575.377   26.83649
  2306.429   364.1390   454.5942   2750.689   7.075827   3631.787   26.83718
  2374.685   363.6290   461.0821   2749.764   7.064807   3688.363   26.83813
  2443.269   363.1220   467.8324   2748.890   7.053342   3746.376   26.83877
  2512.218   362.6160   474.4597   2748.003   7.042512   3805.188   26.83934
  2582.744   362.1060   481.3893   2747.097   7.030541   3866.085   26.83978
  2653.491   361.5910   488.2005   2746.216   7.018633   3927.654   26.84016
  2724.577   361.0850   495.4826   2745.348   7.008309   3990.508   26.84162
  2796.485   360.5780   502.4738   2744.505   6.997921   4054.902   26.84212
  2868.689   360.0660   509.5733   2743.650   6.985887   4119.214   26.84364
  2941.719   359.5560   516.9866   2742.814   6.975563   4185.566   26.84447
  3015.831   359.0430   524.4900   2741.977   6.964480   4253.179   26.84447
  3091.444   358.5300   531.8291   2741.160   6.952572   4322.966   26.84504
  3166.189   358.0230   539.4935   2740.343   6.941298   4393.094   26.84573
  3243.160   357.5080   547.3100   2739.531   6.930087   4465.180   26.84630
  3320.198   357.0000   554.9357   2738.740   6.919699   4538.635   26.84751
  3396.808   356.4920   562.8707   2737.954   6.907856   4612.147   26.84776
  3474.921   355.9770   570.6434   2737.175   6.897658   4688.232   26.84852
