# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 2:34:01.712 PM 5/24/2018 ; Start Temp: 229.2230 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  0.000000   229.2230   743.5125   2794.833   4.130498    1727889   26.81774
  114.3900   229.7460   745.7648   2793.870   4.138795    1674747   26.81805
  134.7970   230.2780   748.3986   2792.685   4.149563    1619086   26.81989
  151.8240   230.8120   752.0092   2791.386   4.162357    1562323   26.82046
  170.4320   231.3440   754.9536   2790.031   4.174075    1506940   26.82154
  189.3770   231.8740   757.6046   2788.643   4.187312    1451975   26.82344
  208.8110   232.4030   760.0349   2787.414   4.199602    1403821   26.82420
  227.9930   232.9340   762.6522   2786.045   4.211129    1358160   26.82572
  246.7870   233.4640   765.4222   2784.847   4.222719    1312145   26.82711
  266.1930   233.9980   768.3604   2783.587   4.234120    1267915   26.82901
  285.7290   234.5220   771.3073   2782.408   4.246154    1188230   26.83066
  304.3570   235.0410   774.0774   2781.204   4.255656    1151402   26.83269
  322.8640   235.5580   776.8741   2780.248   4.266486    1115747   26.83351
  343.8000   236.1080   780.0043   2779.044   4.279533    1075825   26.83554
  363.5280   236.6400   783.0558   2777.776   4.292011    1038869   26.83636
  384.1300   237.2000   786.2379   2776.579   4.303538    1002640   26.83699
  402.5390   237.7110   789.1595   2775.470   4.314623   971542.1   26.83807
  421.2990   238.2150   791.4789   2774.361   4.325897   941808.1   26.83908
  439.9630   238.7340   794.2357   2773.221   4.335904   912536.8   26.84105
  460.3690   239.2510   797.2137   2772.105   4.350662   882635.5   26.84193
  478.2360   239.7450   800.0060   2771.124   4.358959   856579.3   26.84320
  494.6950   240.2530   802.4744   2770.224   4.368079   833370.8   26.84390
  515.3670   240.7940   805.5722   2769.071   4.381190   805578.3   26.84421
  533.4330   241.2610   808.4031   2768.114   4.390691   782411.6   26.84529
  552.1250   241.7800   811.0509   2766.986   4.402979   758852.1   26.84561
  570.7540   242.3140   813.9021   2766.017   4.414063   734008.8   26.84694
  589.7910   242.8260   816.9682   2765.003   4.424767   711722.8   26.84903
  606.2410   243.3130   819.3656   2764.097   4.434964   693243.9   26.84928
  628.4500   243.8710   822.6200   2762.937   4.448012   668953.1   26.85029
  648.5250   244.3980   825.8211   2761.860   4.459982   647302.1   26.85093
  667.1410   244.9220   828.5577   2760.872   4.471509   627772.6   26.85162
  686.5360   245.4840   831.5800   2759.902   4.483861   608410.5   26.85384
  707.3600   246.0260   834.6448   2758.806   4.496085   588123.2   26.85467
  727.8570   246.5580   837.7350   2757.760   4.507233   569645.6   26.85587
  747.1500   247.0740   840.7556   2756.829   4.520280   552240.1   26.85606
  764.4440   247.6060   843.3425   2756.012   4.529463   537925.7   26.85637
  784.8870   248.1100   846.6089   2754.966   4.541878   520014.6   26.85764
  804.2820   248.6150   849.3873   2754.022   4.553342   505218.6   26.85884
  823.4760   249.1360   852.1497   2753.180   4.563919   490259.1   26.85954
  841.1160   249.6350   854.8215   2752.280   4.574877   476954.7   26.85935
  861.7430   250.1470   858.0639   2751.374   4.586278   461931.8   26.86068
  880.8820   250.6630   861.0090   2750.487   4.597489   448145.9   26.86131
  900.4580   251.1790   864.0174   2749.543   4.608826   434524.7   26.86296
  920.3900   251.7050   866.8851   2748.687   4.621177   421976.9   26.86315
  939.4300   252.2240   869.9575   2747.743   4.632324   409457.0   26.86397
  958.6420   252.7360   872.8138   2746.964   4.643408   398018.1   26.86499
  977.7470   253.2460   875.5148   2746.178   4.653732   386768.1   26.86537
  996.6290   253.7670   878.5233   2745.348   4.666019   375393.8   26.86613
  1015.099   254.2630   881.2268   2744.543   4.677167   365395.9   26.86727
  1034.680   254.8230   884.3437   2743.713   4.688251   354265.0   26.86847
  1055.667   255.3200   887.3939   2742.795   4.699588   343456.0   26.86758
  1074.433   255.8420   890.5215   2742.015   4.711622   334004.3   26.86885
  1094.221   256.3710   893.1522   2741.204   4.723277   324505.7   26.86967
  1113.479   256.8800   896.3235   2740.412   4.735058   315491.2   26.87018
  1130.788   257.3700   899.0150   2739.791   4.744115   307263.8   26.87151
  1151.700   257.8970   902.2637   2738.885   4.756275   297494.0   26.87253
  1171.636   258.4160   905.1935   2738.176   4.767233   289488.3   26.87309
  1187.583   258.8550   907.5478   2737.510   4.775974   282757.5   26.87303
  1207.952   259.3880   910.7191   2736.699   4.789274   274476.8   26.87379
  1227.222   259.9020   913.7288   2736.009   4.800865   267241.7   26.87424
  1247.885   260.4330   916.6638   2735.223   4.812140   259125.7   26.87430
  1267.340   260.9360   919.7578   2734.551   4.823920   252042.7   26.87538
  1287.477   261.4810   922.9209   2733.772   4.834751   244874.7   26.87557
  1305.647   261.9960   925.7753   2733.145   4.845708   238562.1   26.87677
  1326.031   262.5160   928.8230   2732.403   4.857109   231607.1   26.87690
  1346.069   263.0270   931.5551   2731.713   4.869207   225113.3   26.87709
  1365.380   263.5490   935.0814   2731.048   4.880100   219107.5   26.87810
  1384.947   264.0630   937.6708   2730.407   4.891058   213056.0   26.87880
  1404.763   264.5920   940.7331   2729.711   4.902142   207258.0   26.87981
  1425.008   265.1060   943.8792   2729.014   4.914746   201484.1   26.88013
  1442.941   265.6140   946.7678   2728.399   4.925133   196435.0   26.88044
  1465.245   266.1380   949.8295   2727.746   4.937421   190709.3   26.88101
  1480.636   266.5940   952.2242   2727.252   4.945591   186547.4   26.88032
  1501.412   267.0940   955.4812   2726.568   4.957689   181288.0   26.88089
  1520.705   267.6140   958.3495   2725.978   4.969280   176718.0   26.88203
  1541.219   268.1500   961.4512   2725.351   4.980301   171804.6   26.88165
  1560.835   268.6690   964.7258   2724.762   4.991701   167280.3   26.88317
  1579.724   269.1870   967.4363   2724.210   5.002785   163095.6   26.88304
  1601.666   269.7120   970.6439   2723.564   5.015136   158464.8   26.88405
  1620.504   270.2400   973.7714   2723.019   5.026094   154214.2   26.88405
  1641.607   270.7770   976.6728   2722.385   5.036987   150039.6   26.88431
  1662.420   271.2910   979.7034   2721.809   5.048389   145971.5   26.88437
  1682.653   271.8080   982.8950   2721.315   5.060613   142239.2   26.88532
  1702.287   272.3790   986.0588   2720.738   5.071823   138561.5   26.88551
  1724.249   272.8930   989.1363   2720.162   5.084870   134768.3   26.88564
  1744.708   273.4320   992.3767   2719.585   5.095385   131100.7   26.88640
  1765.379   273.9890   995.5563   2719.065   5.107229   127510.4   26.88697
  1787.120   274.5100   998.7537   2718.508   5.120593   123975.8   26.88659
  1807.767   275.0350   1001.866   2718.001   5.130284   120793.6   26.88709
  1828.681   275.5560   1005.026   2717.519   5.142634   117374.2   26.88842
  1847.204   276.0480   1007.726   2717.063   5.152579   114669.3   26.88830
  1868.522   276.5890   1010.732   2716.537   5.164170   111680.8   26.88931
  1889.874   277.1140   1013.957   2716.037   5.176837   108682.6   26.88842
  1909.460   277.6120   1016.940   2715.606   5.187605   105984.9   26.88811
  1929.398   278.1300   1019.701   2715.137   5.197548   103452.2   26.88887
  1949.903   278.6480   1022.802   2714.675   5.209899   100881.9   26.88931
  1971.626   279.1720   1026.026   2714.244   5.221110   98190.12   26.88956
  1990.692   279.6610   1028.797   2713.832   5.231244   95980.55   26.88975
  2010.279   280.1590   1031.522   2713.395   5.242771   93600.02   26.89026
  2028.940   280.6330   1034.308   2713.008   5.252843   91533.70   26.89032
  2048.565   281.1400   1037.141   2712.609   5.263167   89381.69   26.89058
  2068.633   281.8380   1039.966   2712.222   5.274821   87250.91   26.89045
  2096.283   282.3230   1044.344   2711.671   5.291226   84370.87   26.89102
  2116.605   282.8480   1046.991   2711.304   5.300537   82388.77   26.89153
  2134.447   283.3180   1049.514   2710.968   5.310607   80642.83   26.89134
  2157.191   283.8450   1052.696   2710.562   5.322894   78558.23   26.89102
  2178.011   284.3740   1055.679   2710.163   5.334042   76642.59   26.89146
  2199.725   284.9030   1058.877   2709.808   5.345823   74726.82   26.89153
  2220.314   285.4210   1061.557   2709.441   5.357413   72912.27   26.89146
  2241.028   285.9560   1064.558   2709.118   5.369447   71187.55   26.89121
  2262.570   286.4810   1067.518   2708.757   5.379962   69364.53   26.89210
  2284.313   287.0190   1070.281   2708.440   5.391616   67704.90   26.89203
  2305.801   287.5410   1073.476   2708.085   5.403270   66023.72   26.89159
  2327.008   288.0470   1076.352   2707.762   5.415684   64442.68   26.89216
  2347.572   288.5600   1078.871   2707.458   5.426135   62994.07   26.89254
  2368.580   289.0780   1081.739   2707.154   5.437852   61493.08   26.89311
  2389.256   289.5950   1084.542   2706.868   5.447986   60056.16   26.89324
  2409.863   290.0900   1087.229   2706.602   5.458057   58675.40   26.89311
  2430.736   290.6130   1090.054   2706.323   5.470217   57322.20   26.89235
  2451.893   291.1380   1092.711   2706.076   5.481238   55967.54   26.89317
  2473.814   291.6660   1095.391   2705.766   5.492259   54630.82   26.89311
  2495.784   292.1980   1098.090   2705.519   5.503597   53353.61   26.89298
  2516.744   292.6970   1100.749   2705.278   5.516264   52133.78   26.89191
  2537.970   293.2230   1103.293   2705.037   5.526398   50949.07   26.89235
  2560.180   293.7540   1105.888   2704.771   5.538432   49748.70   26.89286
  2581.683   294.2680   1108.477   2704.575   5.550086   48617.77   26.89248
  2601.759   294.7660   1110.865   2704.391   5.561044   47545.21   26.89324
  2624.314   295.2950   1113.234   2704.156   5.572571   46427.60   26.89260
  2645.295   295.8040   1115.727   2703.935   5.583908   45385.18   26.89235
  2666.192   296.3190   1118.030   2703.751   5.594803   44384.33   26.89254
  2688.059   296.8450   1120.309   2703.599   5.605760   43364.59   26.89298
  2708.762   297.3480   1122.534   2703.428   5.617224   42424.27   26.89311
  2731.502   297.8860   1124.752   2703.238   5.629448   41450.91   26.89229
  2752.592   298.3950   1126.936   2703.060   5.640279   40538.57   26.89273
  2774.549   298.9080   1129.171   2702.915   5.651807   39609.50   26.89159
  2794.661   299.3840   1130.929   2702.756   5.661560   38789.35   26.89216
  2815.272   299.8890   1132.854   2702.623   5.673151   37987.84   26.89254
  2837.603   300.4220   1134.858   2702.471   5.683665   37124.28   26.89286
  2859.682   300.9560   1136.731   2702.395   5.695446   36279.68   26.89235
  2880.948   301.4510   1138.526   2702.250   5.709064   35489.29   26.89254
  2902.692   301.9720   1140.175   2702.142   5.718248   34729.48   26.89248
  2924.134   302.4800   1141.791   2702.034   5.729205   33978.32   26.89172
  2945.881   303.0010   1143.327   2701.945   5.740162   33231.77   26.89140
  2967.184   303.4970   1144.793   2701.863   5.751879   32520.61   26.89146
  2987.415   303.9970   1146.033   2701.781   5.762583   31875.66   26.89241
  3009.549   304.5080   1147.348   2701.705   5.773605   31160.58   26.89146
  3031.738   305.0310   1148.545   2701.647   5.785259   30473.68   26.89203
  3053.844   305.5440   1149.646   2701.578   5.796406   29828.41   26.89172
  3074.898   306.0530   1150.605   2701.514   5.807553   29211.64   26.89127
  3096.301   306.5610   1151.466   2701.495   5.819017   28590.70   26.89039
  3117.433   307.0670   1152.172   2701.419   5.829341   28031.93   26.89064
  3139.365   307.5670   1152.804   2701.432   5.839982   27438.72   26.89070
  3161.396   308.0990   1153.344   2701.432   5.851193   26870.22   26.89020
  3184.000   308.6110   1153.745   2701.400   5.862848   26269.88   26.89058
  3206.231   309.1260   1154.022   2701.400   5.874502   25722.16   26.89032
  3228.139   309.6660   1154.155   2701.413   5.885269   25194.04   26.88988
  3250.940   310.1820   1154.135   2701.400   5.897429   24646.95   26.89039
  3273.278   310.7060   1153.981   2701.426   5.907881   24130.01   26.88988
  3296.210   311.2320   1153.691   2701.458   5.919851   23620.77   26.88868
  3318.736   311.7400   1153.213   2701.495   5.931948   23131.62   26.88937
  3340.756   312.2440   1152.617   2701.540   5.941512   22655.24   26.88804
  3362.150   312.7540   1151.878   2701.597   5.952470   22218.91   26.88861
  3385.985   313.2760   1150.850   2701.667   5.964758   21743.54   26.88804
  3408.526   313.7970   1149.795   2701.705   5.976032   21297.67   26.88836
  3431.479   314.3030   1148.492   2701.761   5.987495   20854.33   26.88804
  3453.318   314.8300   1147.115   2701.863   5.997693   20441.38   26.88690
  3475.545   315.3320   1145.472   2701.958   6.009663   20029.19   26.88684
  3498.739   315.8600   1143.541   2702.028   6.021444   19620.98   26.88735
  3521.657   316.3680   1141.607   2702.123   6.031578   19226.23   26.88589
  3544.960   316.8870   1139.377   2702.262   6.043992   18835.45   26.88583
  3567.203   317.4140   1136.966   2702.370   6.054633   18465.97   26.88576
  3590.277   317.9250   1134.320   2702.496   6.066541   18090.05   26.88526
  3613.650   318.4350   1131.667   2702.617   6.076421   17727.39   26.88532
  3636.068   318.9560   1128.615   2702.762   6.088202   17385.20   26.88519
  3657.649   319.4310   1125.649   2702.921   6.099096   17061.53   26.88475
  3680.839   319.9320   1122.254   2703.079   6.110560   16722.56   26.88393
  3702.325   320.4420   1118.823   2703.257   6.120188   16415.00   26.88462
  3725.460   320.9510   1115.160   2703.409   6.132032   16094.10   26.88317
  3749.149   321.4680   1111.046   2703.573   6.143686   15768.85   26.88323
  3771.422   321.9740   1106.935   2703.764   6.153883   15474.87   26.88279
  3795.530   322.4870   1102.457   2703.966   6.166297   15157.89   26.88260
  3818.926   322.9990   1097.929   2704.182   6.177191   14871.17   26.88253
  3842.127   323.5210   1093.207   2704.365   6.188086   14590.97   26.88120
  3865.659   324.0450   1088.097   2704.600   6.199107   14308.87   26.88095
  3889.374   324.5620   1082.632   2704.860   6.210824   14025.25   26.88146
  3912.553   325.0840   1077.524   2705.062   6.221401   13759.07   26.88101
  3937.733   325.6160   1071.650   2705.316   6.233752   13484.23   26.88025
  3961.772   326.1430   1065.562   2705.595   6.244772   13214.45   26.88013
  3985.914   326.6470   1059.239   2705.861   6.256870   12964.82   26.87899
  4007.767   327.1480   1053.217   2706.115   6.267067   12726.25   26.87905
  4031.971   327.6610   1047.047   2706.362   6.277961   12491.40   26.87797
  4055.281   328.2110   1040.231   2706.678   6.289425   12249.23   26.87835
  4081.377   328.7390   1033.056   2706.995   6.302032   11960.89   26.87791
  4105.791   329.2580   1025.706   2707.306   6.313242   11726.94   26.87791
  4129.936   329.7710   1018.705   2707.610   6.324643   11513.42   26.87766
  4154.184   330.2850   1011.315   2707.946   6.335094   11300.18   26.87652
  4174.849   330.7330   1004.698   2708.243   6.345291   11118.37   26.87639
  4199.269   331.2570   997.2133   2708.598   6.357136   10912.20   26.87544
  4224.519   331.7670   988.8447   2708.966   6.368917   10701.93   26.87563
  4247.653   332.2610   981.5588   2709.333   6.379050   10517.79   26.87436
  4271.370   332.7780   973.5078   2709.675   6.389121   10327.91   26.87430
  4295.396   333.2750   965.2178   2710.068   6.401408   10135.63   26.87386
  4319.736   333.7870   957.4304   2710.448   6.411923   9960.629   26.87329
  4343.143   334.2910   949.0345   2710.866   6.423197   9784.802   26.87265
  4368.747   334.8150   940.4485   2711.272   6.434344   9607.263   26.87227
  4393.466   335.3450   931.9760   2711.716   6.446252   9428.805   26.87215
  4418.658   335.8610   922.7884   2712.178   6.457146   9253.224   26.87145
  4443.209   336.3790   914.1941   2712.615   6.468609   9087.077   26.87094
  4467.614   336.8730   905.4382   2713.065   6.479377   8926.640   26.87094
  4492.612   337.3860   896.2791   2713.528   6.490841   8764.624   26.86993
  4517.673   337.9230   887.1771   2713.971   6.501672   8612.133   26.86936
  4542.949   338.4080   877.7563   2714.497   6.513516   8455.471   26.86815
  4566.254   338.9390   869.6729   2714.928   6.524917   8309.562   26.86847
  4592.445   339.4600   859.6575   2715.448   6.535368   8158.242   26.86809
  4618.226   339.9880   850.3634   2715.967   6.546705   8010.274   26.86777
  4642.977   340.5010   840.9083   2716.455   6.557409   7870.619   26.86714
  4668.010   341.0080   831.3671   2716.968   6.569126   7732.415   26.86537
  4693.827   341.5280   822.3506   2717.526   6.580021   7594.395   26.86568
  4719.112   342.0390   812.6280   2718.058   6.592435   7463.186   26.86518
  4744.203   342.5420   803.2832   2718.584   6.602126   7331.273   26.86455
  4769.516   343.0730   793.9289   2719.135   6.613843   7207.060   26.86423
  4794.986   343.5940   784.4637   2719.705   6.625623   7078.968   26.86341
  4819.992   344.0870   775.4872   2720.250   6.637341   6957.770   26.86366
