# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:38:51.915 PM 5/24/2018 ; Start Temp: 298.9860 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  0.000000   298.9860   1128.824   2703.073   5.654530   39352.16   26.89254
  1.255000   298.9870   1128.826   2703.086   5.653896   39352.80   26.89292
  2.388000   298.9840   1128.823   2703.098   5.654404   39352.80   26.89216
  3.811000   298.9840   1128.823   2703.086   5.653516   39353.87   26.89286
  5.311000   298.9860   1128.823   2703.086   5.654783   39351.79   26.89305
  6.811000   298.9840   1128.824   2703.086   5.653643   39352.61   26.89191
  8.309000   298.9850   1128.823   2703.098   5.654910   39353.30   26.89248
  9.809000   298.9840   1128.824   2703.079   5.654150   39353.37   26.89229
  11.31000   298.9850   1128.822   2703.067   5.654846   39354.44   26.89279
  12.88200   298.9850   1128.822   2703.079   5.654530   39354.70   26.89311
  14.31000   298.9860   1128.824   2703.105   5.653643   39353.30   26.89203
  15.88200   298.9850   1128.819   2703.079   5.654023   39355.01   26.89279
  17.30900   298.9850   1128.820   2703.092   5.653706   39356.46   26.89153
  18.81100   298.9850   1128.819   2703.067   5.653897   39356.21   26.89222
  20.30900   298.9840   1128.821   2703.111   5.653263   39354.63   26.89286
  21.81000   298.9830   1128.817   2703.111   5.653960   39356.97   26.89305
  23.38100   298.9840   1128.820   2703.092   5.653517   39357.09   26.89254
  24.88200   298.9840   1128.822   2703.086   5.653390   39356.78   26.89248
  26.30900   298.9840   1128.819   2703.079   5.653200   39357.41   26.89273
  27.80900   298.9830   1128.823   2703.079   5.654023   39355.89   26.89260
  29.31100   298.9830   1128.818   2703.105   5.653453   39356.59   26.89305
  30.81100   298.9840   1128.820   2703.067   5.654149   39356.09   26.89267
  32.30900   298.9840   1128.823   2703.092   5.653960   39356.34   26.89222
  33.81000   298.9840   1128.820   2703.098   5.653833   39357.66   26.89349
  35.30900   298.9820   1128.820   2703.105   5.653643   39357.66   26.89286
  37.18900   298.9830   1128.822   2703.086   5.653706   39357.35   26.89235
  38.31700   298.9830   1128.821   2703.105   5.653770   39356.97   26.89267
  39.80900   298.9810   1128.821   2703.092   5.653897   39358.23   26.89248
  41.31700   298.9820   1128.818   2703.079   5.654023   39358.11   26.89210
  42.80800   298.9820   1128.820   2703.092   5.653769   39358.86   26.89273
  44.30200   298.9810   1128.816   2703.086   5.653960   39358.17   26.89222
  45.81000   298.9820   1128.821   2703.092   5.653200   39358.68   26.89191
  47.30800   298.9810   1128.820   2703.086   5.653643   39358.61   26.89267
  48.80900   298.9830   1128.817   2703.092   5.653517   39358.11   26.89279
  50.30800   298.9800   1128.821   2703.098   5.653643   39358.93   26.89241
  51.81300   298.9820   1128.817   2703.105   5.653326   39358.86   26.89184
  53.30700   298.9820   1128.818   2703.067   5.654086   39358.93   26.89210
  54.80900   298.9800   1128.819   2703.086   5.653897   39360.00   26.89159
  56.30800   298.9810   1128.819   2703.105   5.654340   39359.81   26.89184
  57.80800   298.9800   1128.819   2703.098   5.654150   39360.06   26.89216
  59.30700   298.9800   1128.819   2703.086   5.653960   39358.80   26.89248
  60.80800   298.9800   1128.819   2703.079   5.653579   39361.58   26.89203
  62.30000   298.9810   1128.818   2703.098   5.653706   39361.96   26.89235
  63.80900   298.9800   1128.819   2703.105   5.654277   39361.27   26.89235
  65.30800   298.9800   1128.818   2703.092   5.653706   39361.71   26.89279
  66.80700   298.9790   1128.817   2703.067   5.654213   39361.45   26.89172
  68.30800   298.9800   1128.817   2703.079   5.653453   39359.68   26.89241
  69.80800   298.9790   1128.817   2703.086   5.654276   39361.96   26.89254
  71.30800   298.9810   1128.816   2703.079   5.653200   39362.40   26.89279
  72.80800   298.9790   1128.816   2703.073   5.653897   39362.15   26.89260
  74.30000   298.9790   1128.816   2703.079   5.653960   39362.84   26.89267
  75.80000   298.9790   1128.817   2703.067   5.653073   39363.66   26.89241
  77.30800   298.9780   1128.814   2703.086   5.653707   39363.29   26.89267
  78.80800   298.9780   1128.817   2703.073   5.653897   39363.10   26.89305
  80.30800   298.9780   1128.814   2703.067   5.653834   39363.48   26.89241
  81.81600   298.9780   1128.816   2703.092   5.654150   39364.43   26.89229
  83.80800   298.9790   1128.813   2703.105   5.653643   39365.62   26.89210
  85.30700   298.9770   1128.814   2703.111   5.653516   39364.43   26.89267
  86.80700   298.9770   1128.816   2703.105   5.654403   39365.94   26.89254
  88.30700   298.9780   1128.815   2703.092   5.654087   39365.05   26.89134
  89.80800   298.9770   1128.816   2703.092   5.653200   39365.62   26.89184
  91.30000   298.9770   1128.813   2703.092   5.654213   39365.81   26.89229
  92.80700   298.9770   1128.814   2703.079   5.653453   39366.64   26.89248
  94.30000   298.9780   1128.813   2703.086   5.653769   39366.32   26.89311
  95.80100   298.9770   1128.813   2703.098   5.653326   39366.13   26.89267
  97.30600   298.9780   1128.815   2703.073   5.654213   39366.51   26.89260
  98.84000   298.9760   1128.814   2703.105   5.653073   39367.27   26.89286
  100.3120   298.9770   1128.813   2703.086   5.653326   39367.46   26.89229
  101.8200   298.9760   1128.813   2703.086   5.653833   39367.46   26.89273
  103.3780   298.9750   1128.812   2703.092   5.654719   39368.40   26.89241
  104.8080   298.9760   1128.812   2703.098   5.654657   39368.09   26.89197
  106.3060   298.9760   1128.813   2703.105   5.653706   39368.40   26.89241
  107.8080   298.9760   1128.811   2703.067   5.654150   39367.77   26.89165
  109.3070   298.9750   1128.814   2703.098   5.653896   39368.15   26.89172
  110.8070   298.9750   1128.811   2703.111   5.653579   39368.47   26.89241
  112.3070   298.9770   1128.811   2703.073   5.653707   39367.64   26.89260
  114.3810   298.9760   1128.811   2703.105   5.653833   39369.41   26.89241
  115.8760   298.9760   1128.811   2703.092   5.653960   39369.10   26.89260
  117.3050   298.9760   1128.809   2703.067   5.654150   39368.47   26.89197
  118.8060   298.9750   1128.811   2703.098   5.654213   39369.67   26.89222
  120.3070   298.9750   1128.809   2703.067   5.653770   39369.92   26.89254
  121.8050   298.9770   1128.811   2703.098   5.654213   39370.23   26.89229
  123.3770   298.9760   1128.811   2703.092   5.653009   39369.86   26.89260
  125.0410   298.9750   1128.811   2703.105   5.653834   39369.29   26.89267
  126.3850   298.9750   1128.810   2703.105   5.653643   39368.47   26.89254
  127.8070   298.9740   1128.810   2703.098   5.654340   39368.85   26.89330
  129.3050   298.9740   1128.805   2703.067   5.653327   39369.41   26.89260
  130.8050   298.9760   1128.804   2703.067   5.654530   39368.28   26.89216
  132.3050   298.9740   1128.809   2703.092   5.653516   39370.30   26.89222
  133.8000   298.9750   1128.808   2703.067   5.654213   39370.87   26.89241
  135.4950   298.9750   1128.807   2703.105   5.653643   39370.74   26.89197
  136.8070   298.9730   1128.809   2703.086   5.652946   39370.68   26.89286
  138.3050   298.9740   1128.808   2703.079   5.654086   39370.87   26.89229
  139.8060   298.9730   1128.806   2703.105   5.653643   39371.37   26.89178
  141.3050   298.9730   1128.807   2703.073   5.653897   39371.06   26.89260
  142.8060   298.9720   1128.808   2703.067   5.653327   39370.36   26.89260
  144.3040   298.9720   1128.805   2703.111   5.654086   39369.92   26.89197
  145.8060   298.9730   1128.803   2703.098   5.653010   39370.68   26.89216
  147.3040   298.9700   1128.807   2703.098   5.654276   39371.37   26.89279
  148.7980   298.9730   1128.805   2703.098   5.653706   39371.50   26.89229
  150.2980   298.9730   1128.806   2703.086   5.653137   39372.26   26.89267
  151.8070   298.9730   1128.803   2703.086   5.654910   39372.83   26.89248
  153.3040   298.9720   1128.806   2703.079   5.654529   39372.26   26.89235
  154.8060   298.9720   1128.805   2703.092   5.653579   39372.83   26.89260
  156.6060   298.9720   1128.804   2703.079   5.653136   39374.09   26.89241
  157.8150   298.9710   1128.807   2703.111   5.653010   39374.28   26.89260
  159.2980   298.9730   1128.805   2703.079   5.653453   39374.60   26.89267
  160.8050   298.9710   1128.804   2703.048   5.653769   39373.33   26.89241
  162.3040   298.9710   1128.804   2703.079   5.653643   39374.03   26.89298
  163.8040   298.9720   1128.805   2703.092   5.653580   39374.22   26.89254
  165.3030   298.9720   1128.802   2703.079   5.653960   39373.84   26.89241
  166.8050   298.9710   1128.804   2703.105   5.653200   39374.66   26.89336
  168.3060   298.9720   1128.803   2703.092   5.653389   39374.98   26.89235
  169.8040   298.9710   1128.804   2703.086   5.653960   39375.48   26.89235
  171.2960   298.9710   1128.804   2703.086   5.653897   39375.92   26.89197
  172.7980   298.9700   1128.797   2703.111   5.654467   39376.81   26.89210
  174.3030   298.9700   1128.798   2703.105   5.653580   39376.49   26.89298
  175.8040   298.9710   1128.800   2703.079   5.653263   39376.11   26.89273
  177.3030   298.9700   1128.802   2703.086   5.653706   39376.49   26.89286
  178.8040   298.9700   1128.802   2703.079   5.653897   39376.55   26.89260
  180.3020   298.9710   1128.800   2703.092   5.653263   39376.43   26.89203
  181.7970   298.9700   1128.800   2703.092   5.654087   39376.87   26.89279
  183.2960   298.9690   1128.800   2703.098   5.653390   39377.69   26.89229
  184.7970   298.9700   1128.801   2703.067   5.653707   39378.07   26.89298
  186.2960   298.9700   1128.800   2703.073   5.653453   39377.69   26.89254
  187.7960   298.9690   1128.800   2703.092   5.653263   39379.46   26.89273
  189.2950   298.9700   1128.802   2703.105   5.653516   39379.59   26.89229
  190.8050   298.9690   1128.800   2703.098   5.653073   39378.57   26.89254
  192.6140   298.9690   1128.795   2703.067   5.653263   39379.59   26.89191
  193.8250   298.9680   1128.799   2703.105   5.653326   39378.95   26.89292
  195.3030   298.9680   1128.799   2703.073   5.654150   39379.59   26.89203
  196.8050   298.9680   1128.799   2703.073   5.653390   39379.71   26.89241
  198.3030   298.9670   1128.800   2703.105   5.653833   39379.96   26.89229
  199.8030   298.9690   1128.796   2703.117   5.653770   39380.03   26.89210
  201.2960   298.9680   1128.790   2703.092   5.653389   39379.34   26.89248
  203.1020   298.9670   1128.798   2703.048   5.653769   39379.59   26.89216
  204.3080   298.9680   1128.800   2703.098   5.654213   39378.89   26.89229
  205.8020   298.9690   1128.797   2703.092   5.653580   39379.65   26.89235
