# 435.955
# Spectrum #00035	3:26:06 PM 4/26/2018
# Narrow scan: start 871.57nm, end 872.82nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
871.57               0.047008
871.577717           0.04815
871.585435           0.047212
871.593152           0.046641
871.600869           0.047498
871.608587           0.050185
871.616304           0.050753
871.624021           0.049721
871.631739           0.051629
871.639456           0.051759
871.647173           0.054498
871.65489            0.053648
871.662608           0.053771
871.670325           0.054083
871.678042           0.05358
871.685759           0.053317
871.693476           0.056731
871.701193           0.058792
871.70891            0.059217
871.716627           0.057416
871.724345           0.057221
871.732062           0.05749
871.739779           0.058237
871.747496           0.060603
871.755213           0.062696
871.76293            0.068742
871.770647           0.080857
871.778364           0.092219
871.786081           0.13046
871.793797           0.193589
871.801514           0.299662
871.809231           0.427627
871.816948           0.581225
871.824665           0.739309
871.832382           0.906469
871.840099           1.07325
871.847815           1.23158
871.855532           1.394521
871.863249           1.565184
871.870966           1.762367
871.878682           1.98272
871.886399           2.19456
871.894116           2.35878
871.901833           2.500153
871.909549           2.587636
871.917266           2.640698
871.924983           2.7083
871.932699           2.777203
871.940416           2.885031
871.948132           3.032768
871.955849           3.147275
871.963566           3.234937
871.971282           3.213442
871.978999           3.119728
871.986715           2.947453
871.994432           2.701796
872.002148           2.382644
872.009865           2.018663
872.017581           1.654559
872.025297           1.338739
872.033014           1.054313
872.04073            0.813167
872.048447           0.624603
872.056163           0.489734
872.063879           0.388287
872.071596           0.310482
872.079312           0.254333
872.087028           0.213892
872.094744           0.180708
872.102461           0.155342
872.110177           0.13549
872.117893           0.122723
872.125609           0.116475
872.133326           0.106376
872.141042           0.097048
872.148758           0.090811
872.156474           0.086803
872.16419            0.083226
872.171906           0.08061
872.179622           0.076288
872.187338           0.070628
872.195054           0.071176
872.202771           0.072241
872.210487           0.069076
872.218203           0.068015
872.225919           0.068577
872.233635           0.070725
872.24135            0.070968
872.249066           0.071241
872.256782           0.068473
872.264498           0.068979
872.272214           0.06757
872.27993            0.064938
872.287646           0.063819
872.295362           0.06586
872.303078           0.065409
872.310793           0.061901
872.318509           0.060304
872.326225           0.059681
872.333941           0.06155
872.341656           0.062754
872.349372           0.063504
872.357088           0.062576
872.364804           0.06021
872.372519           0.058892
872.380235           0.058146
872.387951           0.057484
872.395666           0.057179
872.403382           0.056565
872.411097           0.058652
872.418813           0.0554
872.426528           0.054524
872.434244           0.054057
872.44196            0.054556
872.449675           0.055287
872.457391           0.055491
872.465106           0.05295
872.472821           0.052132
872.480537           0.050263
872.488252           0.054053
872.495968           0.049338
872.503683           0.048721
872.511399           0.051674
872.519114           0.050247
872.526829           0.048562
872.534545           0.04829
872.54226            0.045748
872.549975           0.04668
872.55769            0.045547
872.565406           0.048215
872.573121           0.047981
872.580836           0.048994
872.588551           0.050973
872.596267           0.050649
872.603982           0.049399
872.611697           0.049432
872.619412           0.05122
872.627127           0.051918
872.634842           0.049354
872.642557           0.048189
872.650272           0.047848
872.657988           0.049516
872.665703           0.048819
872.673418           0.045648
872.681133           0.045314
872.688848           0.048169
872.696563           0.047423
872.704278           0.047322
872.711993           0.048238
872.719707           0.048903
872.727422           0.047193
872.735137           0.050318
872.742852           0.052548
872.750567           0.053317
872.758282           0.051408
872.765997           0.049997
872.773711           0.046722
872.781426           0.045223
872.789141           0.045898
872.796856           0.043035
872.804571           0.04273
872.812285           0.04101
872.82               0.042652
