# H820
# Spectrum #00087	5:36:29 PM 4/26/2018
# Narrow scan: start 819.96nm, end 821.21nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 35um, exit 35um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 1V max, -1V min. Sampling: 400 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
819.96               0.109211
819.967863           0.103791
819.975726           0.10833
819.983589           0.110537
819.991451           0.11193
819.999314           0.108096
820.007177           0.107615
820.01504            0.100996
820.022903           0.103324
820.030765           0.10179
820.038628           0.103429
820.046491           0.110391
820.054353           0.106948
820.062216           0.106306
820.070079           0.112652
820.077941           0.108401
820.085804           0.105746
820.093667           0.111017
820.101529           0.106429
820.109392           0.112719
820.117254           0.107834
820.125117           0.107063
820.13298            0.104831
820.140842           0.111101
820.148705           0.107137
820.156567           0.10512
820.16443            0.107502
820.172292           0.104985
820.180154           0.100326
820.188017           0.099879
820.195879           0.097532
820.203742           0.101931
820.211604           0.097191
820.219466           0.099303
820.227329           0.101408
820.235191           0.103271
820.243053           0.105601
820.250916           0.117229
820.258778           0.118048
820.26664            0.119495
820.274503           0.1272
820.282365           0.14443
820.290227           0.13838
820.298089           0.149851
820.305951           0.163668
820.313814           0.173303
820.321676           0.17783
820.329538           0.182729
820.3374             0.188029
820.345262           0.192674
820.353124           0.179764
820.360986           0.18022
820.368848           0.169289
820.376711           0.162753
820.384573           0.165755
820.392435           0.159916
820.400297           0.144106
820.408159           0.129729
820.416021           0.126556
820.423883           0.120382
820.431745           0.119791
820.439606           0.121059
820.447468           0.127608
820.45533            0.122617
820.463192           0.119241
820.471054           0.116092
820.478916           0.112509
820.486778           0.112918
820.49464            0.115366
820.502501           0.129698
820.510363           0.126668
820.518225           0.123195
820.526087           0.131997
820.533948           0.137274
820.54181            0.144845
820.549672           0.141102
820.557534           0.140792
820.565395           0.140102
820.573257           0.140497
820.581119           0.142043
820.58898            0.132341
820.596842           0.125608
820.604703           0.124812
820.612565           0.114768
820.620427           0.116684
820.628288           0.108887
820.63615            0.103609
820.644011           0.107817
820.651873           0.108607
820.659734           0.108292
820.667596           0.109365
820.675457           0.102976
820.683319           0.105809
820.69118            0.107285
820.699041           0.103142
820.706903           0.096513
820.714764           0.093717
820.722626           0.099595
820.730487           0.104978
820.738348           0.108044
820.74621            0.111438
820.754071           0.10603
820.761932           0.108144
820.769793           0.104293
820.777655           0.095399
820.785516           0.091512
820.793377           0.091255
820.801238           0.099883
820.8091             0.092173
820.816961           0.092898
820.824822           0.096667
820.832683           0.104923
820.840544           0.110861
820.848405           0.105662
820.856266           0.106261
820.864128           0.11067
820.871989           0.111043
820.87985            0.115403
820.887711           0.116303
820.895572           0.115506
820.903433           0.111958
820.911294           0.111208
820.919155           0.10418
820.927016           0.105694
820.934877           0.107368
820.942738           0.112938
820.950599           0.116057
820.958459           0.114594
820.96632            0.102098
820.974181           0.111077
820.982042           0.111322
820.989903           0.108801
820.997764           0.107345
821.005625           0.102876
821.013485           0.103866
821.021346           0.103499
821.029207           0.099245
821.037068           0.100544
821.044928           0.101159
821.052789           0.105364
821.06065            0.105738
821.06851            0.103875
821.076371           0.10444
821.084232           0.106574
821.092092           0.103216
821.099953           0.1011
821.107814           0.109535
821.115674           0.109575
821.123535           0.100992
821.131395           0.106677
821.139256           0.102282
821.147116           0.104456
821.154977           0.106938
821.162837           0.10493
821.170698           0.108027
821.178558           0.10053
821.186419           0.103065
821.194279           0.100068
821.20214            0.107956
821.21               0.104547
