# Spectrum H, 20 nm slit
# Spectrum #00053	4:16:37 PM 4/26/2018
# Wide scan: start 750nm, end 1249.7nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 20um, exit 20um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
750                  0.163069
750.38               0.155774
750.76               0.156728
751.14               0.14866
751.52               0.154167
751.9                0.148154
752.28               0.146064
752.66               0.159947
753.04               0.160911
753.42               0.158526
753.8                0.170547
754.18               0.159921
754.56               0.158802
754.94               0.17546
755.32               0.166191
755.7                0.162044
756.08               0.168658
756.46               0.165964
756.84               0.160642
757.22               0.160957
757.6                0.151691
757.98               0.159535
758.36               0.156754
758.74               0.15454
759.12               0.156063
759.5                0.148731
759.88               0.156066
760.26               0.165711
760.64               0.150834
761.02               0.158484
761.4                0.166389
761.78               0.167038
762.16               0.160788
762.54               0.166136
762.92               0.155693
763.3                0.15233
763.68               0.155388
764.06               0.146696
764.44               0.151331
764.82               0.170248
765.2                0.164773
765.58               0.161687
765.96               0.152567
766.34               0.150656
766.72               0.163306
767.1                0.172228
767.48               0.165439
767.86               0.154398
768.24               0.153145
768.62               0.151795
769                  0.162631
769.38               0.157461
769.76               0.1638
770.14               0.161541
770.52               0.174785
770.9                0.16106
771.28               0.158033
771.66               0.160944
772.04               0.156566
772.42               0.153505
772.8                0.14412
773.18               0.152434
773.56               0.153265
773.94               0.160768
774.32               0.156043
774.7                0.158558
775.08               0.159743
775.46               0.159665
775.84               0.163027
776.22               0.157867
776.6                0.159986
776.98               0.155985
777.36               0.33295
777.74               0.867268
778.12               0.841019
778.5                0.556473
778.88               0.396624
779.26               0.302819
779.64               0.244616
780.02               0.215612
780.4                0.188727
780.78               0.177271
781.16               0.162109
781.54               0.176544
781.92               0.162706
782.3                0.157406
782.68               0.16463
783.06               0.161729
783.44               0.162157
783.82               0.158058
784.2                0.151315
784.58               0.160911
784.96               0.155076
785.34               0.14433
785.72               0.156384
786.1                0.155537
786.48               0.159292
786.86               0.158123
787.24               0.150584
787.62               0.152363
788                  0.150779
788.38               0.145771
788.76               0.151727
789.14               0.154317
789.52               0.162495
789.9                0.155459
790.28               0.15197
790.66               0.154158
791.04               0.157182
791.42               0.158617
791.8                0.158493
792.18               0.155514
792.56               0.16341
792.94               0.160162
793.32               0.15764
793.7                0.154687
794.08               0.161083
794.46               0.159989
794.84               0.155504
795.22               0.158464
795.6                0.163975
795.98               0.161447
796.36               0.158422
796.74               0.158188
797.12               0.148734
797.5                0.147936
797.88               0.147083
798.26               0.148942
798.64               0.165533
799.02               0.161099
799.4                0.159415
799.78               0.160314
800.16               0.155306
800.54               0.159506
800.92               0.158458
801.3                0.151993
801.68               0.152457
802.06               0.151477
802.44               0.155456
802.82               0.15591
803.2                0.159464
803.58               0.162138
803.96               0.154213
804.34               0.157799
804.72               0.153106
805.1                0.159009
805.48               0.154638
805.86               0.155235
806.24               0.161576
806.62               0.167275
807                  0.152947
807.38               0.153677
807.76               0.161291
808.14               0.154381
808.52               0.152541
808.9                0.161132
809.28               0.160149
809.66               0.151571
810.04               0.149708
810.42               0.151152
810.8                0.155887
811.18               0.151863
811.56               0.154988
811.94               0.153534
812.32               0.154466
812.7                0.167061
813.08               0.165656
813.46               0.151045
813.84               0.153888
814.22               0.148222
814.6                0.151483
814.98               0.156316
815.36               0.146888
815.74               0.151977
816.12               0.150727
816.5                0.157448
816.88               0.170881
817.26               0.171949
817.64               0.15762
818.02               0.153038
818.4                0.149572
818.78               0.149273
819.16               0.152139
819.54               0.153778
819.92               0.152713
820.3                0.159438
820.68               0.160181
821.06               0.162144
821.44               0.161258
821.82               0.15235
822.2                0.144707
822.58               0.149698
822.96               0.161171
