# Spectrum H, 50 nm slit
# Spectrum #00054	4:22:18 PM 4/26/2018
# Wide scan: start 750nm, end 1249.7nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
750                  0.452779
750.38               0.450819
750.76               0.454269
751.14               0.452847
751.52               0.43305
751.9                0.445019
752.28               0.452231
752.66               0.440554
753.04               0.448596
753.42               0.455431
753.8                0.447794
754.18               0.462434
754.56               0.465274
754.94               0.462859
755.32               0.474984
755.7                0.475578
756.08               0.466673
756.46               0.478074
756.84               0.472855
757.22               0.481027
757.6                0.467851
757.98               0.471362
758.36               0.465628
758.74               0.448901
759.12               0.444205
759.5                0.454678
759.88               0.44969
760.26               0.429493
760.64               0.435816
761.02               0.423795
761.4                0.426939
761.78               0.426732
762.16               0.427283
762.54               0.410622
762.92               0.427864
763.3                0.431324
763.68               0.425476
764.06               0.436977
764.44               0.429331
764.82               0.424356
765.2                0.418037
765.58               0.425294
765.96               0.426332
766.34               0.418436
766.72               0.458666
767.1                0.518862
767.48               0.487829
767.86               0.463904
768.24               0.456638
768.62               0.44918
769                  0.461214
769.38               0.451932
769.76               0.449566
770.14               0.487979
770.52               0.545348
770.9                0.488456
771.28               0.461801
771.66               0.462447
772.04               0.454756
772.42               0.4594
772.8                0.468042
773.18               0.459861
773.56               0.451127
773.94               0.436413
774.32               0.43983
774.7                0.450929
775.08               0.455356
775.46               0.448106
775.84               0.444101
776.22               0.437487
776.6                0.417904
776.98               0.425333
777.36               1.388336
777.74               5.336131
778.12               5.883929
778.5                3.60694
778.88               2.296339
779.26               1.532749
779.64               1.100943
780.02               0.826934
780.4                0.67319
780.78               0.588469
781.16               0.534245
781.54               0.512819
781.92               0.503836
782.3                0.478846
782.68               0.445808
783.06               0.439966
783.44               0.439353
783.82               0.428731
784.2                0.419718
784.58               0.442631
784.96               0.439869
785.34               0.44046
785.72               0.427115
786.1                0.432684
786.48               0.429562
786.86               0.440693
787.24               0.425661
787.62               0.428711
788                  0.422149
788.38               0.422487
788.76               0.4354
789.14               0.436666
789.52               0.433816
789.9                0.429403
790.28               0.427468
790.66               0.419624
791.04               0.430824
791.42               0.430746
791.8                0.41275
792.18               0.415395
792.56               0.412413
792.94               0.408324
793.32               0.416921
793.7                0.409593
794.08               0.425025
794.46               0.439863
794.84               0.414088
795.22               0.426112
795.6                0.444903
795.98               0.457699
796.36               0.440155
796.74               0.417054
797.12               0.42459
797.5                0.430263
797.88               0.440525
798.26               0.444335
798.64               0.438198
799.02               0.426222
799.4                0.42299
799.78               0.432586
800.16               0.42987
800.54               0.4162
800.92               0.414276
801.3                0.420974
801.68               0.407438
802.06               0.412163
802.44               0.40823
802.82               0.418115
803.2                0.414153
803.58               0.423915
803.96               0.422354
804.34               0.415301
804.72               0.433459
805.1                0.433083
805.48               0.423976
805.86               0.425261
806.24               0.427303
806.62               0.417106
807                  0.414769
807.38               0.409025
807.76               0.410258
808.14               0.397942
808.52               0.411219
808.9                0.416914
809.28               0.419676
809.66               0.412575
810.04               0.406198
810.42               0.405345
810.8                0.403439
811.18               0.412809
811.56               0.411855
811.94               0.40343
812.32               0.403183
812.7                0.40574
813.08               0.393742
813.46               0.404387
813.84               0.398863
814.22               0.400158
814.6                0.413672
814.98               0.401262
815.36               0.409155
815.74               0.399048
816.12               0.385836
816.5                0.396267
816.88               0.38855
817.26               0.392733
817.64               0.392525
818.02               0.401826
818.4                0.397374
818.78               0.425099
819.16               0.411186
819.54               0.412569
819.92               0.418436
820.3                0.424791
820.68               0.451926
821.06               0.433378
821.44               0.411722
821.82               0.394505
822.2                0.400648
822.58               0.400499
822.96               0.399009
823.34               0.403125
823.72               0.418716
824.1                0.412387
824.48               0.41794
824.86               0.421448
825.24               0.414101
825.62               0.419004
826                  0.402132
826.38               0.409236
826.76               0.414873
827.14               0.413922
827.52               0.395913
827.9                0.418913
828.28               0.421756
828.66               0.407749
829.04               0.417213
829.42               0.433709
829.8                0.422999
830.18               0.416804
830.56               0.40969
830.94               0.398854
831.32               0.390643
831.7                0.398351
832.08               0.394138
832.46               0.400963
832.84               0.410888
833.22               0.396095
833.6                0.375282
833.98               0.387222
834.36               0.414571
834.74               0.406256
835.12               0.398153
835.5                0.406331
835.88               0.403469
836.26               0.394099
836.64               0.393307
837.02               0.395284
837.4                0.391087
837.78               0.394093
838.16               0.403524
838.54               0.41314
838.92               0.392759
839.3                0.392538
839.68               0.399152
840.06               0.411193
840.44               0.389413
840.82               0.409697
841.2                0.400944
841.58               0.399999
841.96               0.40244
842.34               0.392519
842.72               0.382841
843.1                0.383406
843.48               0.384298
843.86               0.405854
844.24               0.397195
844.62               0.402654
845                  4.122443
845.38               7.048236
845.76               4.263705
846.14               2.657678
846.52               1.72633
846.9                1.181545
847.28               0.860446
847.66               0.677847
848.04               0.555587
848.42               0.495787
848.8                0.470574
849.18               0.450066
849.56               0.439879
849.94               0.421734
850.32               0.422759
850.7                0.417054
851.08               0.419735
851.46               0.398377
851.84               0.395209
852.22               0.379167
852.6                0.385213
852.98               0.389462
853.36               0.396861
853.74               0.412465
854.12               0.390451
854.5                0.397153
854.88               0.411855
855.26               0.417976
855.64               0.402657
856.02               0.389429
856.4                0.383006
856.78               0.386713
857.16               0.388952
857.54               0.379385
857.92               0.38116
858.3                0.380793
858.68               0.376697
859.06               0.387031
859.44               0.370512
859.82               0.381153
860.2                0.378628
860.58               0.368169
860.96               0.375445
861.34               0.37021
861.72               0.38337
862.1                0.374539
862.48               0.382464
862.86               0.383578
863.24               0.382218
863.62               0.376519
864                  0.379991
864.38               0.388472
864.76               0.390617
865.14               0.375552
865.52               0.371807
865.9                0.38399
866.28               0.378645
866.66               0.379524
867.04               0.370181
867.42               0.368386
867.8                0.369635
868.18               0.513549
868.56               0.621663
868.94               0.524827
869.32               0.474987
869.7                0.428692
870.08               0.404153
870.46               0.386719
870.84               0.386953
871.22               0.373241
871.6                0.374033
871.98               0.376045
872.36               0.372018
872.74               0.38029
873.12               0.388683
873.5                0.378898
873.88               0.389845
874.26               0.397445
874.64               0.382052
875.02               0.374163
875.4                0.373092
875.78               0.374721
876.16               0.377311
876.54               0.371365
876.92               0.368363
877.3                0.367581
877.68               0.373449
878.06               0.373407
878.44               0.388047
878.82               0.390081
879.2                0.385496
879.58               0.373449
879.96               0.371381
880.34               0.359854
880.72               0.375915
881.1                0.384009
881.48               0.382679
881.86               0.378226
882.24               0.365339
882.62               0.35952
883                  0.354194
883.38               0.36491
883.76               0.375107
884.14               0.373819
884.52               0.358945
884.9                0.357686
885.28               0.357267
885.66               0.367987
886.04               0.351468
886.42               0.370044
886.8                0.376626
887.18               0.376704
887.56               0.37674
887.94               0.37782
888.32               0.382481
888.7                0.387952
889.08               0.377986
889.46               0.381939
889.84               0.380095
890.22               0.393836
890.6                0.388881
890.98               0.395952
891.36               0.381718
891.74               0.387641
892.12               0.387079
892.5                0.38068
892.88               0.388021
893.26               0.389267
893.64               0.380069
894.02               0.370317
894.4                0.37047
894.78               0.379479
895.16               0.395521
895.54               0.378249
895.92               0.379326
896.3                0.398305
896.68               0.39837
897.06               0.376746
897.44               0.38963
897.82               0.387573
898.2                0.388378
898.58               0.396871
898.96               0.377957
899.34               0.389351
899.72               0.397607
900.1                0.389653
900.48               0.388309
900.86               0.39221
901.24               0.40328
901.62               0.395401
902                  0.389819
902.38               0.382357
902.76               0.364407
903.14               0.367373
903.52               0.373403
903.9                0.375393
904.28               0.382192
904.66               0.380731
905.04               0.37265
905.42               0.373588
905.8                0.370839
906.18               0.376928
906.56               0.365919
906.94               0.364371
907.32               0.378434
907.7                0.382786
908.08               0.397117
908.46               0.378875
908.84               0.383675
909.22               0.380449
909.6                0.365358
909.98               0.373244
910.36               0.366072
910.74               0.364936
911.12               0.365459
911.5                0.372452
911.88               0.38078
912.26               0.368642
912.64               0.359354
913.02               0.365118
913.4                0.37659
913.78               0.391328
914.16               0.388949
914.54               0.380819
914.92               0.385317
915.3                0.374731
915.68               0.389647
916.06               0.385194
916.44               0.385457
916.82               0.379161
917.2                0.378129
917.58               0.378362
917.96               0.376373
918.34               0.36443
918.72               0.353912
919.1                0.376623
919.48               0.392892
919.86               0.463784
920.24               0.540441
920.62               0.513238
921                  0.496878
921.38               0.564671
921.76               0.651251
922.14               0.626976
922.52               0.558332
922.9                0.516665
923.28               0.507944
923.66               0.474166
924.04               0.462412
924.42               0.464255
924.8                0.618807
925.18               0.676559
925.56               0.715033
925.94               0.831591
926.32               0.767212
926.7                0.666501
927.08               0.576176
927.46               0.629491
927.84               0.641635
928.22               0.595596
928.6                0.561039
928.98               0.548995
929.36               0.587184
929.74               0.607172
930.12               0.593444
930.5                0.627914
930.88               0.5706
931.26               0.575082
931.64               0.568477
932.02               0.617074
932.4                0.653809
932.78               0.576455
933.16               0.531714
933.54               0.488771
933.92               0.538733
934.3                0.598082
934.68               0.580998
935.06               0.59669
935.44               0.622611
935.82               0.573034
936.2                0.507954
936.58               0.500496
936.96               0.469675
937.34               0.458056
937.72               0.47292
938.1                0.468448
938.48               0.458965
938.86               0.486502
939.24               0.513896
939.62               0.513702
940                  0.501493
940.38               0.537864
940.76               0.556051
941.14               0.521078
941.52               0.522529
941.9                0.527715
942.28               0.513523
942.66               0.529617
943.04               0.516158
943.42               0.52052
943.8                0.564453
944.18               0.54109
944.56               0.530415
944.94               0.54107
945.32               0.528627
945.7                0.49582
946.08               0.487982
946.46               0.481004
946.84               0.447849
947.22               0.436478
947.6                0.450371
947.98               0.483575
948.36               0.458004
948.74               0.452834
949.12               0.464615
949.5                0.446889
949.88               0.448576
950.26               0.420978
950.64               0.411482
951.02               0.441475
951.4                0.460179
951.78               0.470703
952.16               0.431785
952.54               0.42543
952.92               0.434719
953.3                0.44511
953.68               0.423139
954.06               0.415064
954.44               0.426417
954.82               0.456369
955.2                0.449388
955.58               0.446123
955.96               0.452834
956.34               0.447869
956.72               0.443718
957.1                0.449196
957.48               0.43428
957.86               0.424911
958.24               0.423012
958.62               0.415064
959                  0.414091
959.38               0.420069
959.76               0.40884
960.14               0.412773
960.52               0.416979
960.9                0.416444
961.28               0.422023
961.66               0.415217
962.04               0.400756
962.42               0.401255
962.8                0.387375
963.18               0.385048
963.56               0.404721
963.94               0.406175
964.32               0.413127
964.7                0.427154
