# H777
# Spectrum #00056	4:27:49 PM 4/26/2018
# Narrow scan: start 777nm, end 778.24nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
777                  0.123936
777.00795            0.122768
777.0159             0.118302
777.02385            0.116579
777.031799           0.11752
777.039749           0.114168
777.047699           0.11014
777.055649           0.116628
777.063599           0.116913
777.071548           0.120746
777.079498           0.128717
777.087448           0.138544
777.095397           0.140777
777.103347           0.136301
777.111297           0.133598
777.119246           0.134383
777.127196           0.136963
777.135146           0.136778
777.143095           0.13266
777.151045           0.132319
777.158994           0.132021
777.166944           0.123693
777.174894           0.124362
777.182843           0.125835
777.190793           0.130044
777.198742           0.133368
777.206692           0.130245
777.214641           0.125721
777.222591           0.119575
777.23054            0.119769
777.23849            0.120613
777.246439           0.114934
777.254388           0.114453
777.262338           0.122327
777.270287           0.123047
777.278236           0.119669
777.286186           0.120227
777.294135           0.124537
777.302084           0.136623
777.310034           0.158575
777.317983           0.18345
777.325932           0.224755
777.333882           0.240787
777.341831           0.266578
777.34978            0.29592
777.357729           0.334663
777.365678           0.372605
777.373628           0.412345
777.381577           0.443871
777.389526           0.47834
777.397475           0.509833
777.405424           0.51993
777.413373           0.515337
777.421322           0.517496
777.429272           0.510466
777.437221           0.487067
777.44517            0.460409
777.453119           0.433823
777.461068           0.422636
777.469017           0.388183
777.476966           0.35039
777.484915           0.31449
777.492864           0.279336
777.500813           0.250724
777.508762           0.229097
777.51671            0.210978
777.524659           0.194206
777.532608           0.196559
777.540557           0.189153
777.548506           0.212678
777.556455           0.235756
777.564404           0.263216
777.572352           0.27967
777.580301           0.297718
777.58825            0.302972
777.596199           0.324891
777.604148           0.350283
777.612096           0.37539
777.620045           0.401109
777.627994           0.410573
777.635942           0.416982
777.643891           0.421685
777.65184            0.420303
777.659788           0.418725
777.667737           0.415444
777.675686           0.417382
777.683634           0.420932
777.691583           0.404079
777.699531           0.398429
777.70748            0.37822
777.715429           0.359857
777.723377           0.351912
777.731326           0.339963
777.739274           0.324505
777.747223           0.310637
777.755171           0.315113
777.76312            0.314091
777.771068           0.303906
777.779016           0.309073
777.786965           0.294969
777.794913           0.270472
777.802862           0.261914
777.81081            0.243769
777.818758           0.238489
777.826707           0.231476
777.834655           0.219792
777.842603           0.201858
777.850552           0.190389
777.8585             0.182039
777.866448           0.167989
777.874396           0.159824
777.882345           0.155313
777.890293           0.145694
777.898241           0.139729
777.906189           0.135597
777.914137           0.139936
777.922086           0.143237
777.930034           0.138466
777.937982           0.13167
777.94593            0.130077
777.953878           0.133556
777.961826           0.128587
777.969774           0.136149
777.977722           0.137629
777.98567            0.133523
777.993618           0.135204
778.001566           0.132936
778.009514           0.1237
778.017462           0.126744
778.02541            0.127889
778.033358           0.130064
778.041306           0.133183
778.049254           0.133961
778.057202           0.139696
778.06515            0.13722
778.073098           0.13241
778.081046           0.126773
778.088994           0.135016
778.096941           0.137561
778.104889           0.14052
778.112837           0.136058
778.120785           0.130641
778.128733           0.128717
778.13668            0.129963
778.144628           0.124306
778.152576           0.131102
778.160524           0.134361
778.168471           0.133864
778.176419           0.139673
778.184367           0.135948
778.192314           0.132459
778.200262           0.13439
778.20821            0.135159
778.216157           0.133507
778.224105           0.130249
778.232052           0.123774
778.24               0.119172
