# other specrum h
# Spectrum #00065	4:39:53 PM 4/26/2018
# Wide scan: start 750nm, end 1249.8nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 100um, exit 100um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
750                  1.023683
750.42               1.03252
750.84               1.0378
751.26               1.020087
751.68               1.034756
752.1                1.03043
752.52               1.019853
752.94               1.014599
753.36               1.011065
753.78               1.031209
754.2                1.041958
754.62               1.017926
755.04               1.01012
755.46               1.002474
755.88               0.998268
756.3                1.014992
756.72               1.031907
757.14               1.053531
757.56               1.027876
757.98               1.040166
758.4                1.037456
758.82               1.014301
759.24               0.9971
759.66               0.963293
760.08               0.942233
760.5                0.912291
760.92               0.868001
761.34               0.861504
761.76               0.878987
762.18               0.88268
762.6                0.903097
763.02               0.911237
763.44               0.883644
763.86               0.874515
764.28               0.869251
764.7                0.878341
765.12               0.848536
765.54               0.880509
765.96               0.879954
766.38               0.869598
766.8                1.023105
767.22               1.114155
767.64               1.046284
768.06               0.996104
768.48               0.983593
768.9                0.961599
769.32               0.938972
769.74               0.932896
770.16               1.011428
770.58               1.049331
771                  0.989869
771.42               0.98149
771.84               0.960618
772.26               0.943996
772.68               0.946306
773.1                0.952557
773.52               0.942853
773.94               0.943045
774.36               0.940354
774.78               0.945537
775.2                0.933065
775.62               0.916981
776.04               0.927431
776.46               0.928651
776.88               0.933724
777.3                1.821401
777.72               10.318056
778.14               10.632169
778.56               8.36387
778.98               5.1969
779.4                3.431416
779.82               2.409642
780.24               1.803983
780.66               1.423305
781.08               1.242286
781.5                1.091138
781.92               1.032514
782.34               0.995812
782.76               0.967366
783.18               0.953229
783.6                0.910104
784.02               0.879097
784.44               0.886607
784.86               0.896545
785.28               0.905924
785.7                0.891177
786.12               0.8865
786.54               0.871442
786.96               0.871123
787.38               0.864243
787.8                0.877423
788.22               0.866499
788.64               0.892676
789.06               0.886623
789.48               0.870507
789.9                0.86951
790.32               0.857246
790.74               0.850489
791.16               0.860122
791.58               0.855409
792                  0.880237
792.42               0.884699
792.84               0.879993
793.26               0.876949
793.68               0.873749
794.1                0.873272
794.52               0.894263
794.94               0.883651
795.36               0.871046
795.78               0.839536
796.2                0.855101
796.62               0.859972
797.04               0.836768
797.46               0.865334
797.88               0.882372
798.3                0.89624
798.72               0.894805
799.14               0.879613
799.56               0.901737
799.98               0.894172
800.4                0.876147
800.82               0.862906
801.24               0.854098
801.66               0.854179
802.08               0.849834
802.5                0.867531
802.92               0.847614
803.34               0.837952
803.76               0.844365
804.18               0.881424
804.6                0.874817
805.02               0.87849
805.44               0.870367
805.86               0.854887
806.28               0.848717
806.7                0.863052
807.12               0.851424
807.54               0.828781
807.96               0.820424
808.38               0.83851
808.8                0.862075
809.22               0.845121
809.64               0.821174
810.06               0.835765
810.48               0.844015
810.9                0.833331
811.32               0.84751
811.74               0.861335
812.16               0.847763
812.58               0.851473
813                  0.834655
813.42               0.836648
813.84               0.833363
814.26               0.835995
814.68               0.844699
815.1                0.845102
815.52               0.842191
815.94               0.844544
816.36               0.828768
816.78               0.806891
817.2                0.792202
817.62               0.791309
818.04               0.787519
818.46               0.803989
818.88               0.84037
819.3                0.826541
819.72               0.841568
820.14               0.837686
820.56               0.830072
820.98               0.842262
821.4                0.836151
821.82               0.818655
822.24               0.818159
822.66               0.818697
823.08               0.79793
823.5                0.814582
823.92               0.823478
824.34               0.828236
824.76               0.832042
825.18               0.841282
825.6                0.81136
826.02               0.789508
826.44               0.78673
826.86               0.78589
827.28               0.799689
827.7                0.794727
828.12               0.786013
828.54               0.802078
828.96               0.806099
829.38               0.810996
829.8                0.795937
830.22               0.793464
830.64               0.801932
831.06               0.794532
831.48               0.785559
831.9                0.780898
832.32               0.798248
832.74               0.77863
833.16               0.756165
833.58               0.761377
834                  0.773934
834.42               0.784069
834.84               0.780408
835.26               0.796765
835.68               0.80298
836.1                0.796914
836.52               0.803288
836.94               0.798677
837.36               0.809383
837.78               0.802457
838.2                0.777195
838.62               0.793062
839.04               0.798274
839.46               0.795087
839.88               0.778308
840.3                0.792202
840.72               0.80052
841.14               0.79853
841.56               0.795097
841.98               0.801266
842.4                0.76903
842.82               0.775316
843.24               0.775663
843.66               0.778471
844.08               0.786026
844.5                0.777938
844.92               3.285341
845.34               5.376202
845.76               3.423371
846.18               2.314224
846.6                1.644433
847.02               1.283438
847.44               1.063585
847.86               0.950782
848.28               0.863029
848.7                0.810895
849.12               0.781012
849.54               0.777958
849.96               0.76091
850.38               0.766083
850.8                0.773031
851.22               0.770977
851.64               0.749327
852.06               0.723968
852.48               0.708305
852.9                0.725847
853.32               0.714984
853.74               0.724123
854.16               0.740749
854.58               0.739318
855                  0.736362
855.42               0.732853
855.84               0.737764
856.26               0.740182
856.68               0.735245
857.1                0.750197
857.52               0.750525
857.94               0.74836
858.36               0.723026
858.78               0.72746
859.2                0.719271
859.62               0.747188
