# Weird 508
# Spectrum #00112	5:58:39 PM 4/26/2018
# Narrow scan: start 1014.4nm, end 1015.64nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 20um, exit 20um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 400 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
1014.4               0.012826
1014.407128          0.013754
1014.414256          0.014003
1014.421384          0.014939
1014.428512          0.014541
1014.43564           0.014866
1014.442768          0.014177
1014.449896          0.014361
1014.457024          0.014075
1014.464152          0.014715
1014.47128           0.01548
1014.478408          0.016601
1014.485536          0.016483
1014.492664          0.016698
1014.499792          0.016441
1014.50692           0.016596
1014.514047          0.015565
1014.521175          0.01548
1014.528303          0.016021
1014.535431          0.016412
1014.542558          0.016187
1014.549686          0.016007
1014.556814          0.016485
1014.563942          0.017118
1014.571069          0.016613
1014.578197          0.016603
1014.585325          0.016984
1014.592452          0.017308
1014.59958           0.017872
1014.606707          0.018291
1014.613835          0.019362
1014.620962          0.019535
1014.62809           0.020761
1014.635217          0.020629
1014.642345          0.021298
1014.649472          0.022012
1014.6566            0.023212
1014.663727          0.024399
1014.670855          0.025414
1014.677982          0.027372
1014.685109          0.031177
1014.692237          0.040102
1014.699364          0.056372
1014.706491          0.074684
1014.713618          0.095324
1014.720746          0.124562
1014.727873          0.159552
1014.735             0.198069
1014.742127          0.236369
1014.749255          0.28298
1014.756382          0.340256
1014.763509          0.409433
1014.770636          0.503437
1014.777763          0.610415
1014.78489           0.720093
1014.792017          0.806568
1014.799144          0.949889
1014.806271          1.15759
1014.813398          1.422925
1014.820525          1.781112
1014.827652          2.178379
1014.834779          2.67424
1014.841906          3.260452
1014.849033          3.85178
1014.85616           4.311257
1014.863287          4.56551
1014.870414          4.495837
1014.877541          4.108171
1014.884667          3.471757
1014.891794          2.756168
1014.898921          2.096446
1014.906048          1.621004
1014.913174          1.198813
1014.920301          0.816378
1014.927428          0.543325
1014.934554          0.364355
1014.941681          0.252495
1014.948808          0.180827
1014.955934          0.138018
1014.963061          0.112075
1014.970188          0.09293
1014.977314          0.081254
1014.984441          0.067925
1014.991567          0.062747
1014.998694          0.0549
1015.00582           0.049814
1015.012947          0.046432
1015.020073          0.044123
1015.0272            0.041206
1015.034326          0.040169
1015.041452          0.038981
1015.048579          0.035975
1015.055705          0.034435
1015.062831          0.03451
1015.069958          0.030674
1015.077084          0.030481
1015.08421           0.029397
1015.091337          0.027932
1015.098463          0.027532
1015.105589          0.027674
1015.112715          0.025823
1015.119841          0.023747
1015.126968          0.023272
1015.134094          0.022061
1015.14122           0.022343
1015.148346          0.021224
1015.155472          0.021112
1015.162598          0.021274
1015.169724          0.02127
1015.17685           0.021273
1015.183976          0.02153
1015.191102          0.01976
1015.198228          0.019434
1015.205354          0.019992
1015.21248           0.020621
1015.219606          0.018505
1015.226732          0.018423
1015.233858          0.017543
1015.240983          0.018327
1015.248109          0.018662
1015.255235          0.018412
1015.262361          0.017536
1015.269487          0.017235
1015.276612          0.018008
1015.283738          0.017814
1015.290864          0.016822
1015.297989          0.015852
1015.305115          0.015165
1015.312241          0.014982
1015.319366          0.015386
1015.326492          0.015699
1015.333618          0.015805
1015.340743          0.015746
1015.347869          0.014896
1015.354994          0.015286
1015.36212           0.015338
1015.369245          0.014374
1015.376371          0.01487
1015.383496          0.015328
1015.390622          0.015148
1015.397747          0.01437
1015.404873          0.014348
1015.411998          0.014539
1015.419123          0.014916
1015.426249          0.014267
1015.433374          0.013656
1015.440499          0.014522
1015.447625          0.013647
1015.45475           0.014331
1015.461875          0.014561
1015.469             0.015142
1015.476126          0.014726
1015.483251          0.014402
1015.490376          0.013953
1015.497501          0.015023
1015.504626          0.014193
1015.511751          0.014004
1015.518876          0.013236
1015.526001          0.013658
1015.533126          0.01325
1015.540252          0.012788
1015.547377          0.013305
1015.554502          0.013594
1015.561627          0.012608
1015.568751          0.014086
1015.575876          0.0135
1015.583001          0.013303
1015.590126          0.013433
1015.597251          0.013611
1015.604376          0.012606
1015.611501          0.013674
1015.618626          0.013195
1015.62575           0.01225
1015.632875          0.013653
1015.64              0.011765
