Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	258.63
Live Time Elapsed:	257.8
Start Time:	04/12/2018 15:39:34
Stop Time:	04/12/2018 15:43:52

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	12
1	21
2	29
3	31
4	31
5	17
6	13
7	5
8	7
9	4
10	2
11	1
12	3
13	85
14	81
15	105
16	111
17	137
18	115
19	118
20	110
21	121
22	146
23	141
24	119
25	134
26	135
27	152
28	167
29	159
30	192
31	196
32	230
33	204
34	227
35	231
36	253
37	244
38	305
39	275
40	295
41	288
42	340
43	340
44	382
45	364
46	388
47	432
48	403
49	402
50	442
51	447
52	462
53	437
54	420
55	446
56	446
57	478
58	430
59	418
60	437
61	425
62	443
63	465
64	444
65	460
66	455
67	411
68	430
69	419
70	412
71	419
72	428
73	455
74	415
75	401
76	419
77	398
78	412
79	399
80	373
81	418
82	395
83	368
84	393
85	403
86	355
87	341
88	368
89	357
90	347
91	358
92	348
93	355
94	347
95	319
96	296
97	334
98	328
99	315
100	348
101	277
102	295
103	326
104	313
105	280
106	271
107	281
108	289
109	287
110	238
111	259
112	279
113	252
114	301
115	278
116	255
117	257
118	224
119	255
120	231
121	252
122	213
123	226
124	235
125	260
126	239
127	257
128	199
129	200
130	216
131	220
132	190
133	208
134	216
135	179
136	174
137	211
138	192
139	174
140	219
141	206
142	201
143	200
144	192
145	173
146	167
147	193
148	176
149	178
150	166
151	183
152	191
153	167
154	198
155	167
156	172
157	160
158	167
159	178
160	174
161	160
162	173
163	157
164	166
165	169
166	137
167	154
168	162
169	139
170	140
171	164
172	129
173	136
174	128
175	136
176	128
177	127
178	114
179	110
180	104
181	106
182	121
183	95
184	109
185	113
186	96
187	99
188	92
189	95
190	95
191	103
192	72
193	120
194	79
195	101
196	98
197	76
198	86
199	80
200	89
201	94
202	117
203	85
204	84
205	74
206	93
207	86
208	78
209	78
210	82
211	71
212	61
213	88
214	66
215	90
216	72
217	62
218	91
219	79
220	68
221	75
222	59
223	83
224	82
225	73
226	78
227	71
228	58
229	71
230	63
231	66
232	74
233	74
234	72
235	65
236	61
237	61
238	56
239	64
240	64
241	71
242	66
243	69
244	65
245	62
246	71
247	77
248	56
249	61
250	61
251	64
252	48
253	65
254	52
255	50
256	45
257	53
258	51
259	45
260	57
261	49
262	49
263	57
264	51
265	50
266	38
267	38
268	51
269	48
270	41
271	45
272	55
273	32
274	42
275	51
276	45
277	46
278	34
279	55
280	45
281	44
282	44
283	31
284	41
285	42
286	41
287	36
288	36
289	45
290	34
291	30
292	35
293	31
294	48
295	25
296	41
297	38
298	36
299	26
300	25
301	45
302	36
303	39
304	34
305	43
306	42
307	32
308	31
309	42
310	27
311	31
312	38
313	29
314	34
315	37
316	31
317	29
318	34
319	35
320	34
321	25
322	28
323	26
324	31
325	40
326	35
327	25
328	26
329	24
330	33
331	26
332	22
333	23
334	23
335	21
336	23
337	31
338	25
339	30
340	32
341	26
342	33
343	23
344	20
345	26
346	35
347	18
348	27
349	24
350	21
351	29
352	25
353	19
354	21
355	27
356	24
357	23
358	23
359	32
360	38
361	25
362	29
363	25
364	28
365	37
366	15
367	24
368	17
369	22
370	20
371	22
372	24
373	24
374	23
375	17
376	16
377	14
378	24
379	23
380	19
381	22
382	21
383	30
384	19
385	27
386	14
387	22
388	25
389	24
390	35
391	34
392	25
393	24
394	28
395	26
396	31
397	31
398	17
399	31
400	33
401	37
402	17
403	25
404	29
405	22
406	23
407	24
408	34
409	29
410	17
411	23
412	22
413	18
414	28
415	32
416	21
417	17
418	24
419	23
420	14
421	27
422	27
423	21
424	22
425	19
426	21
427	16
428	23
429	13
430	20
431	27
432	20
433	12
434	19
435	17
436	13
437	23
438	12
439	23
440	19
441	18
442	15
443	25
444	21
445	19
446	9
447	16
448	17
449	19
450	17
451	23
452	21
453	16
454	17
455	19
456	19
457	24
458	22
459	19
460	21
461	27
462	19
463	18
