Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	1004.14
Live Time Elapsed:	837.5
Start Time:	04/12/2018 14:18:22
Stop Time:	04/12/2018 14:35:06

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	11
1	10
2	29
3	44
4	58
5	82
6	79
7	82
8	79
9	94
10	116
11	3745
12	107466
13	196648
14	280125
15	453826
16	769379
17	1208348
18	1655598
19	1813009
20	1649188
21	1229635
22	797046
23	463284
24	264683
25	156977
26	104827
27	84382
28	82550
29	87967
30	99679
31	111463
32	124513
33	135080
34	142825
35	142362
36	139352
37	135852
38	136350
39	140267
40	151543
41	163740
42	178356
43	182129
44	180933
45	175517
46	167492
47	158877
48	156757
49	165000
50	187375
51	221635
52	274379
53	340015
54	415865
55	480916
56	527638
57	543523
58	523183
59	460660
60	378889
61	288753
62	209790
63	143941
64	100141
65	73938
66	60064
67	52854
68	49718
69	50288
70	50617
71	50676
72	52188
73	53961
74	57361
75	60228
76	65208
77	71136
78	79034
79	84906
80	92194
81	96418
82	99394
83	96870
84	91853
85	84694
86	76568
87	66282
88	57921
89	50801
90	45690
91	41563
92	39280
93	38193
94	38442
95	37936
96	38499
97	39450
98	40152
99	40670
100	41682
101	42386
102	44031
103	44351
104	45430
105	46281
106	47771
107	47773
108	49192
109	49765
110	51031
111	51406
112	51270
113	51843
114	51578
115	50862
116	50257
117	49553
118	48719
119	47867
120	46899
121	45796
122	45108
123	43957
124	42711
125	42452
126	41816
127	41383
128	40124
129	40106
130	39913
131	39221
132	39253
133	38506
134	38987
135	38521
136	37962
137	37744
138	37218
139	36585
140	35847
141	35266
142	34693
143	33773
144	33056
145	32261
146	32096
147	30978
148	30491
149	29943
150	29803
151	29313
152	29044
153	28809
154	28910
155	28410
156	28182
157	27832
158	27926
159	27269
160	26883
161	26854
162	26871
163	26166
164	25566
165	25370
166	25306
167	24469
168	24508
169	23894
170	24624
171	23847
172	24062
173	23834
174	24147
175	24160
176	24111
177	24575
178	25608
179	25716
180	26737
181	27643
182	28565
183	30565
184	31558
185	33765
186	35857
187	37911
188	39358
189	41622
190	43823
191	45973
192	47353
193	48984
194	51041
195	51418
196	52407
197	54174
198	56442
199	57102
200	58470
201	60251
202	62578
203	64243
204	66800
205	69953
206	73290
207	75255
208	77991
209	80581
210	83316
211	84413
212	85911
213	87172
214	89138
215	87956
216	86843
217	86496
218	85511
219	82570
220	79092
221	75823
222	73067
223	69738
224	66141
225	63678
226	62078
227	60018
228	58361
229	58994
230	60627
231	62090
232	65767
233	70181
234	76842
235	81889
236	90006
237	97835
238	108319
239	117734
240	126894
241	137047
242	147770
243	155189
244	164883
245	173725
246	182390
247	188065
248	192457
249	198558
250	202958
251	202566
252	202089
253	202346
254	200778
255	196073
256	188690
257	183871
258	179038
259	166762
260	161211
261	151046
262	144600
263	134242
264	126517
265	119817
266	114606
267	107391
268	102886
269	97585
270	95667
271	91829
272	89432
273	86324
274	85450
275	82343
276	80146
277	77357
278	75549
279	72695
280	70081
281	66933
282	63950
283	60412
284	56674
285	52993
286	50197
287	46268
288	42395
289	39735
290	37296
291	34280
292	32096
293	30144
294	29090
295	27617
296	26778
297	25717
298	25421
299	24792
300	24948
301	24859
302	25183
303	25510
304	25346
305	25641
306	26331
307	26289
308	26758
309	26732
310	27551
311	26906
312	27066
313	26636
314	27045
315	26295
316	25964
317	25568
318	24568
319	23990
320	23036
321	22008
322	21147
323	19746
324	18343
325	17647
326	16484
327	14882
328	13917
329	13010
330	11965
331	11021
332	10115
333	9494
334	8738
335	8191
336	7771
337	7298
338	6824
339	6377
340	6208
341	5903
342	5736
343	5558
344	5216
345	4961
346	4898
347	4646
348	4531
349	4349
350	4104
351	3857
352	3646
353	3478
354	3398
355	3258
356	3046
357	3017
358	2815
359	2628
360	2634
361	2553
362	2443
363	2342
364	2268
365	2191
366	2225
367	2109
368	2133
369	2028
370	2117
371	2028
