Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	840
Conversion Gain:	1024
Course Gain:	16
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	786.18
Live Time Elapsed:	779.87
Start Time:	04/12/2018 13:22:54
Stop Time:	04/12/2018 13:36:01

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	36
1	44
2	50
3	62
4	107
5	125
6	110
7	134
8	131
9	94
10	114
11	93
12	128
13	2310
14	3292
15	4542
16	6605
17	8604
18	10703
19	11934
20	11638
21	10197
22	8139
23	6131
24	4410
25	3341
26	2751
27	2342
28	2203
29	2075
30	2126
31	2161
32	2171
33	2105
34	2329
35	2201
36	2303
37	2286
38	2435
39	2433
40	2475
41	2492
42	2576
43	2569
44	2540
45	2651
46	2640
47	2746
48	2846
49	2838
50	2855
51	2900
52	2987
53	2973
54	2929
55	2885
56	2859
57	2852
58	2964
59	2911
60	2914
61	2878
62	2973
63	2887
64	2875
65	2923
66	2943
67	2872
68	2935
69	2931
70	2896
71	2919
72	2896
73	2838
74	2978
75	2900
76	2954
77	2938
78	2869
79	2892
80	2861
81	2875
82	2940
83	2815
84	2853
85	2829
86	2864
87	2801
88	2860
89	2797
90	2797
91	2842
92	2758
93	2777
94	2752
95	2838
96	2760
97	2740
98	2857
99	2724
100	2732
101	2651
102	2773
103	2725
104	2738
105	2666
106	2684
107	2698
108	2563
109	2618
110	2615
111	2722
112	2627
113	2829
114	2820
115	2776
116	2761
117	2886
118	2939
119	2940
120	3056
121	3127
122	3183
123	3323
124	3425
125	3523
126	3632
127	3638
128	3657
129	3729
130	3730
131	3765
132	3863
133	3743
134	3732
135	3666
136	3556
137	3560
138	3504
139	3393
140	3329
141	3189
142	3250
143	3101
144	3066
145	2948
146	2856
147	2830
148	2887
149	2639
150	2766
151	2586
152	2564
153	2576
154	2553
155	2479
156	2392
157	2418
158	2349
159	2318
160	2193
161	2273
162	2280
163	2147
164	2142
165	2251
166	2119
167	2162
168	2035
169	1982
170	2021
171	1988
172	1975
173	1957
174	1969
175	2029
176	1916
177	1866
178	1850
179	1887
180	1883
181	1864
182	1885
183	1811
184	1755
185	1799
186	1779
187	1800
188	1738
189	1716
190	1787
191	1725
192	1724
193	1729
194	1759
195	1653
196	1710
197	1745
198	1731
199	1654
200	1683
201	1722
202	1731
203	1744
204	1617
205	1646
206	1694
207	1651
208	1639
209	1642
210	1615
211	1655
212	1495
213	1558
214	1614
215	1615
216	1628
217	1570
218	1559
219	1501
220	1579
221	1535
222	1521
223	1529
224	1587
225	1586
226	1631
227	1556
228	1501
229	1597
230	1517
231	1522
232	1532
233	1498
234	1607
235	1507
236	1524
237	1480
238	1497
239	1539
240	1543
241	1496
242	1513
243	1550
244	1471
245	1552
246	1577
247	1421
248	1540
249	1477
250	1505
251	1473
252	1476
253	1550
254	1472
255	1563
256	1569
257	1540
258	1528
259	1466
260	1483
261	1443
262	1515
263	1500
264	1552
265	1505
266	1534
267	1547
268	1482
269	1519
270	1567
271	1540
272	1526
273	1535
274	1454
275	1488
276	1514
277	1569
278	1677
279	1587
280	1593
281	1480
282	1567
283	1642
284	1505
285	1537
286	1518
287	1551
288	1602
289	1604
290	1625
291	1608
292	1560
293	1610
294	1546
295	1529
296	1560
297	1503
298	1475
299	1538
300	1529
301	1444
302	1440
303	1432
304	1411
305	1340
306	1417
307	1224
308	1252
309	1298
310	1201
311	1187
312	1129
313	1106
314	1081
315	1035
316	1005
317	981
318	914
319	917
320	855
321	805
322	809
323	779
324	724
325	682
326	652
327	684
328	645
329	617
330	578
331	533
332	569
333	548
334	507
335	541
336	484
337	470
338	452
339	439
340	453
341	422
342	413
343	388
344	433
345	408
346	381
347	448
348	338
349	356
350	357
351	357
352	352
353	359
354	339
355	347
356	344
357	301
358	319
359	305
360	340
361	273
362	279
363	291
364	258
365	286
366	268
367	262
368	274
369	243
370	261
371	250
372	246
373	269
374	240
375	243
376	239
377	260
378	238
379	230
380	223
381	238
382	242
383	227
384	242
385	253
386	260
387	266
