Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	729.15
Live Time Elapsed:	707.71
Start Time:	04/12/2018 14:05:16
Stop Time:	04/12/2018 14:17:25

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	67
1	60
2	55
3	77
4	60
5	67
6	53
7	39
8	30
9	25
10	17
11	17
12	479
13	5452
14	6900
15	9278
16	14324
17	23527
18	36811
19	48053
20	52879
21	47036
22	36408
23	24546
24	16032
25	11002
26	8086
27	6380
28	5827
29	5530
30	5517
31	5389
32	5342
33	5299
34	5481
35	5363
36	5430
37	5470
38	5457
39	5413
40	5453
41	5588
42	5582
43	5638
44	5537
45	5617
46	5704
47	5919
48	5876
49	5979
50	6216
51	6058
52	5968
53	5959
54	6144
55	5784
56	5883
57	6015
58	5975
59	5899
60	5852
61	5966
62	5954
63	5958
64	5727
65	5774
66	5814
67	5705
68	5700
69	5825
70	5750
71	5831
72	5669
73	5687
74	5867
75	5684
76	5745
77	5616
78	5810
79	5706
80	5778
81	5713
82	5918
83	5707
84	5735
85	5771
86	5677
87	5833
88	5745
89	5847
90	5709
91	5737
92	5651
93	5709
94	5802
95	5838
96	5775
97	5660
98	5825
99	5598
100	5606
101	5678
102	5870
103	5785
104	5626
105	5622
106	5530
107	5641
108	5786
109	5695
110	5738
111	5781
112	5697
113	5748
114	5810
115	5893
116	5821
117	5790
118	5912
119	6141
120	6061
121	6164
122	6510
123	6504
124	6703
125	7042
126	7090
127	7656
128	7613
129	7906
130	7928
131	7990
132	8117
133	8211
134	8145
135	8073
136	7893
137	7900
138	7820
139	7716
140	7389
141	7447
142	7491
143	7396
144	7154
145	6974
146	7013
147	6932
148	6878
149	6699
150	6788
151	6704
152	6572
153	6457
154	6669
155	6412
156	6283
157	6364
158	6450
159	6409
160	6217
161	6214
162	6286
163	6142
164	6160
165	5993
166	6107
167	5833
168	5960
169	5836
170	5884
171	5840
172	5814
173	5767
174	5759
175	5754
176	5680
177	5564
178	5616
179	5604
180	5456
181	5334
182	5442
183	5293
184	5335
185	5424
186	5336
187	5264
188	5276
189	5255
190	5295
191	5122
192	5090
193	5311
194	5232
195	5105
196	5026
197	5095
198	5037
199	5133
200	5055
201	5037
202	5079
203	4982
204	4992
205	5001
206	4968
207	4891
208	4964
209	4846
210	4902
211	4967
212	4739
213	4890
214	4930
215	4911
216	4862
217	4918
218	4917
219	4783
220	4954
221	4772
222	4741
223	4786
224	4828
225	4875
226	4883
227	4710
228	4661
229	4777
230	4681
231	4774
232	4741
233	4760
234	4903
235	4765
236	4801
237	4657
238	4569
239	4889
240	4740
241	4657
242	4630
243	4673
244	4683
245	4647
246	4750
247	4711
248	4735
249	4655
250	4736
251	4716
252	4662
253	4651
254	4751
255	4580
256	4720
257	4695
258	4788
259	4715
260	4672
261	4594
262	4768
263	4875
264	4730
265	4769
266	4757
267	4707
268	4732
269	4866
270	4833
271	4847
272	4732
273	4885
274	4818
275	4898
276	4780
277	4855
278	4826
279	4866
280	4850
281	4843
282	4970
283	4898
284	4846
285	4811
286	5078
287	5020
288	5009
289	5111
290	5071
291	4872
292	4915
293	5077
294	5041
295	5032
296	5078
297	4935
298	5087
299	5071
300	5059
301	5046
302	4951
303	5032
304	4969
305	5002
306	5014
307	5060
308	4928
309	4890
310	4828
311	4765
312	4609
313	4658
314	4771
315	4513
316	4291
317	4203
318	4145
319	4070
320	3984
321	3889
322	3683
323	3510
324	3395
325	3291
326	3154
327	2931
328	3020
329	2775
330	2775
331	2646
332	2489
333	2350
334	2270
335	2145
336	2135
337	2030
338	1949
339	1875
340	1839
341	1747
342	1638
343	1651
344	1607
345	1540
346	1590
347	1518
348	1442
349	1368
350	1331
351	1288
352	1289
353	1324
354	1257
355	1191
356	1208
357	1142
358	1058
359	1104
360	1047
361	1064
362	993
363	1033
364	959
365	997
366	947
367	913
368	904
369	900
370	840
371	927
372	843
373	833
374	815
375	785
