Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	2138.93
Live Time Elapsed:	2135.44
Start Time:	04/12/2018 15:03:19
Stop Time:	04/12/2018 15:38:57

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	183
1	185
2	228
3	217
4	200
5	164
6	142
7	73
8	65
9	34
10	17
11	12
12	18
13	775
14	816
15	913
16	994
17	1094
18	1115
19	1186
20	1206
21	1187
22	1205
23	1229
24	1231
25	1258
26	1276
27	1344
28	1344
29	1454
30	1584
31	1598
32	1660
33	1811
34	1855
35	1970
36	2155
37	2115
38	2196
39	2454
40	2523
41	2589
42	2783
43	2737
44	2804
45	2930
46	3049
47	3177
48	3300
49	3464
50	3476
51	3593
52	3630
53	3620
54	3846
55	3901
56	3793
57	3869
58	3995
59	4005
60	4102
61	4167
62	4183
63	4187
64	4215
65	4179
66	4273
67	4187
68	4124
69	4020
70	4097
71	4114
72	4183
73	4121
74	4162
75	4098
76	4318
77	4627
78	5051
79	5414
80	6010
81	6816
82	8141
83	9200
84	10199
85	10897
86	11583
87	11479
88	11032
89	9990
90	9028
91	7766
92	6727
93	5767
94	5081
95	4438
96	4097
97	3998
98	3746
99	3489
100	3431
101	3090
102	2909
103	2786
104	2622
105	2569
106	2528
107	2451
108	2345
109	2280
110	2268
111	2169
112	2162
113	2186
114	2078
115	2096
116	2044
117	2076
118	2020
119	2093
120	2019
121	2020
122	1970
123	1954
124	1880
125	1861
126	1836
127	1795
128	1758
129	1795
130	1787
131	1757
132	1788
133	1753
134	1708
135	1690
136	1653
137	1622
138	1658
139	1620
140	1553
141	1581
142	1518
143	1501
144	1513
145	1485
146	1523
147	1344
148	1403
149	1430
150	1398
151	1377
152	1396
153	1277
154	1438
155	1395
156	1382
157	1337
158	1404
159	1367
160	1316
161	1353
162	1379
163	1314
164	1342
165	1293
166	1360
167	1295
168	1250
169	1243
170	1224
171	1192
172	1048
173	1130
174	1110
175	1049
176	1091
177	1025
178	1006
179	973
180	963
181	895
182	906
183	867
184	877
185	850
186	930
187	843
188	785
189	823
190	820
191	815
192	832
193	806
194	830
195	736
196	777
197	752
198	798
199	743
200	764
201	774
202	727
203	713
204	698
205	733
206	693
207	704
208	641
209	655
210	654
211	643
212	663
213	649
214	657
215	647
216	602
217	581
218	622
219	609
220	612
221	583
222	609
223	587
224	566
225	590
226	564
227	521
228	547
229	545
230	533
231	545
232	554
233	560
234	570
235	561
236	461
237	499
238	576
239	516
240	537
241	521
242	516
243	536
244	447
245	483
246	485
247	452
248	487
249	477
250	455
251	461
252	414
253	474
254	429
255	445
256	426
257	410
258	401
259	386
260	369
261	391
262	383
263	389
264	419
265	368
266	403
267	398
268	357
269	325
270	322
271	339
272	334
273	370
274	317
275	349
276	338
277	343
278	355
279	300
280	328
281	311
282	304
283	324
284	298
285	330
286	293
287	304
288	302
289	302
290	311
291	330
292	267
293	324
294	305
295	271
296	284
297	252
298	307
299	263
300	282
301	276
302	281
303	268
304	290
305	266
306	293
307	276
308	265
309	281
310	261
311	282
312	262
313	289
314	251
315	289
316	263
317	244
318	231
319	238
320	239
321	259
322	256
323	254
324	218
325	255
326	238
327	218
328	247
329	237
330	213
331	227
332	206
333	236
334	214
335	235
336	210
337	225
338	225
339	245
340	246
341	221
342	234
343	207
344	212
345	245
346	216
347	227
348	194
349	240
350	213
351	242
352	230
353	213
354	247
355	205
356	223
357	198
358	199
359	228
360	197
361	222
362	225
363	186
364	222
365	188
366	195
367	189
368	178
369	193
370	193
371	162
372	194
373	199
374	188
375	185
376	158
377	161
378	182
379	177
380	192
381	186
382	198
383	169
384	180
385	168
386	200
387	178
388	202
389	198
390	212
391	176
392	203
393	208
394	179
395	199
396	210
397	207
398	197
399	192
400	174
401	228
402	208
403	220
404	202
405	223
406	211
407	206
408	201
409	187
410	179
411	193
412	206
413	197
414	222
415	191
416	189
417	182
418	192
419	185
420	188
421	214
422	185
