Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	759.3
Live Time Elapsed:	754.16
Start Time:	04/12/2018 14:49:39
Stop Time:	04/12/2018 15:02:18

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	69
1	74
2	76
3	96
4	55
5	70
6	49
7	46
8	26
9	15
10	5
11	7
12	30
13	698
14	812
15	797
16	851
17	857
18	917
19	953
20	830
21	930
22	874
23	865
24	872
25	929
26	923
27	971
28	1004
29	964
30	1069
31	1054
32	1042
33	1113
34	1112
35	1212
36	1231
37	1204
38	1249
39	1336
40	1330
41	1408
42	1369
43	1388
44	1431
45	1524
46	1489
47	1630
48	1548
49	1672
50	1599
51	1793
52	1755
53	1714
54	1697
55	1713
56	1737
57	1716
58	1697
59	1770
60	1695
61	1749
62	1771
63	1766
64	1792
65	1707
66	1736
67	1733
68	1683
69	1737
70	1737
71	1672
72	1707
73	1702
74	1693
75	1624
76	1633
77	1633
78	1592
79	1553
80	1565
81	1555
82	1601
83	1541
84	1549
85	1533
86	1510
87	1570
88	1534
89	1481
90	1556
91	1469
92	1502
93	1498
94	1369
95	1447
96	1522
97	1405
98	1416
99	1381
100	1388
101	1423
102	1340
103	1303
104	1348
105	1299
106	1349
107	1289
108	1297
109	1349
110	1338
111	1281
112	1239
113	1255
114	1255
115	1188
116	1194
117	1254
118	1230
119	1191
120	1177
121	1212
122	1172
123	1134
124	1120
125	1153
126	1111
127	1160
128	1134
129	1102
130	1148
131	1045
132	1071
133	1055
134	1102
135	1052
136	1076
137	1037
138	1073
139	1119
140	1072
141	1050
142	1058
143	1048
144	1067
145	1132
146	1132
147	1070
148	1112
149	1124
150	1100
151	1073
152	1120
153	1142
154	1148
155	1120
156	1114
157	1123
158	1163
159	1107
160	1157
161	1140
162	1153
163	1045
164	1042
165	1088
166	1069
167	1082
168	1022
169	1051
170	989
171	1080
172	1012
173	1029
174	979
175	973
176	912
177	887
178	919
179	855
180	873
181	921
182	896
183	873
184	910
185	925
186	934
187	859
188	853
189	870
190	884
191	850
192	847
193	778
194	767
195	848
196	773
197	796
198	865
199	739
200	789
201	828
202	721
203	826
204	806
205	758
206	798
207	797
208	750
209	782
210	799
211	735
212	784
213	687
214	756
215	712
216	767
217	763
218	741
219	725
220	654
221	696
222	721
223	755
224	656
225	689
226	730
227	720
228	718
229	672
230	682
231	743
232	667
233	726
234	673
235	724
236	750
237	693
238	706
239	682
240	696
241	646
242	659
243	654
244	640
245	702
246	624
247	655
248	578
249	670
250	639
251	627
252	700
253	662
254	617
255	646
256	641
257	562
258	641
259	573
260	627
261	584
262	615
263	615
264	620
265	626
266	586
267	629
268	588
269	605
270	594
271	597
272	540
273	597
274	608
275	550
276	606
277	536
278	616
279	567
280	531
281	535
282	582
283	618
284	564
285	549
286	588
287	549
288	535
289	553
290	550
291	549
292	545
293	541
294	548
295	535
296	568
297	523
298	547
299	534
300	513
301	552
302	572
303	521
304	546
305	557
306	571
307	550
308	545
309	523
310	538
311	570
312	512
313	590
314	542
315	529
316	525
317	540
318	549
319	521
320	515
321	495
322	533
323	530
324	493
325	514
326	614
327	551
328	551
329	542
330	543
331	520
332	492
333	513
334	531
335	512
336	550
337	525
338	516
339	518
340	547
341	549
342	538
343	517
344	510
345	505
346	485
347	553
348	530
349	557
350	541
351	516
352	499
353	509
354	535
355	523
356	499
357	484
358	543
359	499
360	458
361	550
362	533
363	545
364	490
365	513
366	473
367	507
368	487
369	504
370	516
371	495
372	485
373	489
374	531
375	501
376	475
377	488
378	523
379	509
380	524
381	492
382	517
383	487
384	560
385	511
386	495
387	495
388	530
389	522
390	533
391	500
392	501
393	475
394	492
395	517
396	495
397	502
398	508
399	498
400	522
401	516
402	519
403	546
404	523
405	524
406	535
407	521
408	557
409	537
410	532
411	501
412	528
413	558
414	500
415	561
416	478
417	539
418	496
419	483
420	497
421	533
422	520
423	516
424	489
425	514
426	533
427	505
