Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	1393.61
Live Time Elapsed:	1330.01
Start Time:	04/12/2018 13:41:10
Stop Time:	04/12/2018 14:04:23

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	90
1	115
2	123
3	125
4	164
5	134
6	105
7	90
8	65
9	64
10	38
11	36
12	617
13	6383
14	6893
15	7037
16	7404
17	7463
18	7696
19	7602
20	7537
21	7523
22	7549
23	7546
24	7521
25	7499
26	7716
27	7538
28	7453
29	7416
30	7754
31	7654
32	7372
33	7540
34	7680
35	7589
36	7583
37	7594
38	7605
39	7716
40	7746
41	7749
42	8062
43	7804
44	7842
45	7969
46	8044
47	7989
48	8287
49	8156
50	8443
51	8288
52	8474
53	8430
54	8529
55	8483
56	8219
57	8311
58	8490
59	8398
60	8168
61	8381
62	8476
63	8383
64	8311
65	8409
66	8268
67	8350
68	8120
69	8241
70	8279
71	8201
72	8220
73	8022
74	8122
75	8086
76	8013
77	8162
78	8204
79	8090
80	8014
81	8034
82	8167
83	8128
84	7993
85	7974
86	7992
87	8054
88	7922
89	8088
90	8179
91	7838
92	7911
93	7938
94	8090
95	7901
96	7962
97	8035
98	7872
99	7984
100	7873
101	7929
102	7867
103	7806
104	7819
105	7785
106	7771
107	7833
108	7787
109	7708
110	7626
111	7618
112	7511
113	7675
114	7668
115	7497
116	7390
117	7527
118	7562
119	7407
120	7502
121	7482
122	7387
123	7482
124	7396
125	7308
126	7514
127	7403
128	7322
129	7330
130	7402
131	7322
132	7577
133	7421
134	7539
135	7685
136	7409
137	7683
138	7700
139	7519
140	7846
141	7911
142	8145
143	8190
144	8444
145	8467
146	8839
147	9020
148	9184
149	9143
150	9640
151	9754
152	9607
153	9664
154	10105
155	10069
156	10030
157	9913
158	10190
159	10144
160	9900
161	9828
162	9878
163	9631
164	9682
165	9571
166	9667
167	9520
168	9303
169	9310
170	9130
171	9079
172	9037
173	8942
174	8799
175	8742
176	8675
177	8711
178	8632
179	8381
180	8456
181	8235
182	8386
183	8281
184	8297
185	7980
186	8299
187	7889
188	7912
189	7871
190	7906
191	7932
192	7685
193	7846
194	7700
195	7697
196	7678
197	7663
198	7737
199	7404
200	7616
201	7603
202	7546
203	7589
204	7393
205	7540
206	7314
207	7374
208	7254
209	7352
210	7429
211	7522
212	7249
213	7295
214	7448
215	7432
216	7409
217	7315
218	7425
219	7370
220	7161
221	7288
222	7244
223	7268
224	7144
225	7090
226	6954
227	7116
228	6945
229	7064
230	7022
231	6927
232	6751
233	6748
234	6875
235	6800
236	6760
237	6755
238	6777
239	6839
240	6778
241	6557
242	6689
243	6691
244	6842
245	6669
246	6846
247	6541
248	6626
249	6459
250	6579
251	6509
252	6486
253	6580
254	6601
255	6525
256	6336
257	6327
258	6549
259	6353
260	6522
261	6370
262	6505
263	6288
264	6564
265	6379
266	6327
267	6228
268	6317
269	6190
270	6372
271	6236
272	6335
273	6289
274	6353
275	6232
276	6418
277	5948
278	6212
279	6261
280	6318
281	6175
282	6249
283	6120
284	6343
285	6185
286	6323
287	6169
288	6028
289	6285
290	6312
291	6098
292	6150
293	6154
294	6113
295	6207
296	6196
297	6074
298	6215
299	6187
300	6085
301	6172
302	6121
303	6046
304	6221
305	6070
306	6170
307	6113
308	6132
309	5851
310	6079
311	6039
312	5969
313	6246
314	6128
315	6025
316	6134
317	6270
318	5939
319	6048
320	5965
321	5980
322	6140
323	6002
324	5962
325	6039
326	6134
327	6017
328	5857
329	6110
330	5937
331	5893
332	6022
333	5917
334	6221
335	5963
336	5940
337	5890
338	5903
339	6061
340	6040
341	5940
342	6008
343	5956
344	5955
345	6091
346	6104
347	6004
348	5929
349	6040
350	6066
351	6013
352	5998
353	5942
354	6112
355	5932
356	5964
357	6036
358	6247
359	5994
360	5954
361	6006
362	5938
363	5967
364	6045
365	5836
366	5863
367	6035
368	5998
369	5888
370	6151
371	5983
372	5949
