Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	920
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.15
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	650.45
Live Time Elapsed:	648.97
Start Time:	04/12/2018 14:36:48
Stop Time:	04/12/2018 14:47:47

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	50
1	60
2	76
3	80
4	50
5	68
6	54
7	38
8	22
9	12
10	8
11	5
12	14
13	416
14	462
15	496
16	498
17	569
18	624
19	577
20	550
21	539
22	579
23	566
24	601
25	634
26	624
27	618
28	616
29	677
30	664
31	679
32	740
33	748
34	771
35	792
36	788
37	849
38	890
39	900
40	942
41	947
42	1037
43	1024
44	1055
45	1116
46	1211
47	1155
48	1161
49	1293
50	1246
51	1306
52	1296
53	1312
54	1299
55	1315
56	1275
57	1322
58	1280
59	1306
60	1302
61	1289
62	1287
63	1278
64	1296
65	1304
66	1302
67	1223
68	1234
69	1265
70	1247
71	1245
72	1273
73	1203
74	1253
75	1332
76	1166
77	1281
78	1243
79	1158
80	1221
81	1216
82	1220
83	1184
84	1162
85	1131
86	1140
87	1105
88	1113
89	1115
90	1056
91	1093
92	1161
93	1075
94	1079
95	1041
96	992
97	1051
98	1042
99	1033
100	985
101	970
102	1027
103	1009
104	938
105	903
106	1018
107	925
108	897
109	909
110	937
111	850
112	886
113	884
114	872
115	859
116	851
117	817
118	879
119	795
120	796
121	817
122	877
123	781
124	800
125	805
126	830
127	794
128	780
129	793
130	784
131	871
132	821
133	743
134	774
135	805
136	737
137	742
138	753
139	765
140	711
141	715
142	722
143	683
144	691
145	707
146	654
147	668
148	721
149	689
150	677
151	717
152	639
153	653
154	660
155	659
156	668
157	619
158	612
159	594
160	621
161	663
162	695
163	693
164	612
165	645
166	676
167	597
168	638
169	588
170	569
171	571
172	591
173	606
174	587
175	506
176	550
177	546
178	529
179	512
180	521
181	529
182	516
183	514
184	462
185	531
186	506
187	463
188	481
189	448
190	479
191	452
192	483
193	428
194	456
195	464
196	441
197	420
198	452
199	452
200	483
201	445
202	443
203	406
204	426
205	440
206	429
207	416
208	469
209	422
210	369
211	434
212	383
213	422
214	427
215	412
216	368
217	386
218	403
219	393
220	424
221	403
222	420
223	388
224	380
225	372
226	375
227	352
228	323
229	334
230	362
231	346
232	345
233	295
234	296
235	334
236	315
237	297
238	297
239	309
240	281
241	293
242	275
243	268
244	262
245	253
246	268
247	245
248	254
249	252
250	251
251	237
252	220
253	212
254	235
255	237
256	233
257	223
258	200
259	198
260	214
261	202
262	164
263	215
264	200
265	200
266	191
267	205
268	197
269	172
270	189
271	180
272	177
273	162
274	194
275	163
276	151
277	157
278	161
279	186
280	166
281	165
282	162
283	153
284	166
285	164
286	165
287	179
288	157
289	162
290	169
291	167
292	160
293	168
294	156
295	167
296	156
297	167
298	184
299	158
300	173
301	131
302	132
303	150
304	169
305	148
306	136
307	172
308	138
309	169
310	165
311	153
312	160
313	130
314	163
315	167
316	143
317	152
318	156
319	178
320	162
321	146
322	155
323	155
324	182
325	181
326	215
327	182
328	231
329	266
330	273
331	304
332	364
333	405
334	449
335	436
336	512
337	587
338	632
339	651
340	728
341	802
342	926
343	940
344	1055
345	1139
346	1158
347	1229
348	1282
349	1384
350	1456
351	1504
352	1491
353	1486
354	1519
355	1595
356	1639
357	1598
358	1605
359	1537
360	1519
361	1382
362	1423
363	1422
364	1270
365	1136
366	1077
367	980
368	958
369	831
370	809
371	642
372	630
373	564
374	522
375	447
376	395
377	356
378	312
379	269
380	234
381	195
382	182
383	153
384	137
385	125
386	131
387	103
388	118
389	109
390	117
391	104
392	95
393	124
394	85
395	129
396	99
397	110
398	106
399	111
400	113
401	102
402	84
403	83
404	98
405	106
406	99
407	104
408	107
409	122
410	105
411	92
412	121
413	85
414	99
415	88
416	90
417	93
418	91
419	89
420	89
421	90
422	98
423	96
424	90
425	87
426	102
427	100
428	83
429	85
430	107
431	97
432	79
433	100
434	70
435	81
436	95
437	86
438	94
439	89
440	71
441	93
442	89
