Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA
High Voltage:	840
Conversion Gain:	1024
Course Gain:	16
Fine Gain:	1.114
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	94.56
Live Time Elapsed:	86.62
Start Time:	04/12/2018 13:18:20
Stop Time:	04/12/2018 13:19:54

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	2
2	1
3	2
4	3
5	5
6	4
7	6
8	5
9	7
10	2
11	12
12	1523
13	6185
14	6260
15	6361
16	6367
17	6490
18	6617
19	6646
20	6637
21	6471
22	6499
23	6440
24	6359
25	6478
26	6349
27	6161
28	6044
29	6044
30	6171
31	6000
32	5814
33	5859
34	5925
35	5762
36	5798
37	5770
38	5764
39	5744
40	5690
41	5623
42	5846
43	5723
44	5655
45	5654
46	5705
47	5580
48	5535
49	5436
50	5493
51	5531
52	5669
53	5526
54	5824
55	5786
56	5950
57	6268
58	6509
59	6801
60	6913
61	7173
62	7510
63	7520
64	7515
65	7465
66	7367
67	7265
68	7083
69	7058
70	6889
71	6793
72	6782
73	6612
74	6489
75	6370
76	6391
77	6397
78	6274
79	6061
80	6135
81	6088
82	6082
83	5906
84	5975
85	5855
86	5744
87	5595
88	5556
89	5634
90	5681
91	5546
92	5591
93	5537
94	5559
95	5482
96	5479
97	5307
98	5392
99	5284
100	5304
101	5350
102	5376
103	5230
104	5216
105	5372
106	5251
107	5225
108	5225
109	5240
110	5175
111	5150
112	5136
113	5185
114	5244
115	5195
116	5175
117	5067
118	5288
119	5120
120	5177
121	5021
122	5235
123	5311
124	5243
125	5097
126	5106
127	5126
128	5161
129	5138
130	5293
131	5178
132	5225
133	5233
134	5335
135	5270
136	5176
137	5258
138	5310
139	5371
140	5397
141	5451
142	5570
143	5383
144	5543
145	5521
146	5561
147	5617
148	5375
149	5253
150	5480
151	5282
152	5077
153	4885
154	4663
155	4323
156	4191
157	3845
158	3679
159	3250
160	3121
161	2823
162	2702
163	2398
164	2240
165	2145
166	1998
167	1871
168	1715
169	1572
170	1469
171	1451
172	1357
173	1326
174	1271
175	1209
176	1128
177	1088
178	1155
179	1077
180	961
181	943
182	931
183	935
184	916
185	974
186	896
187	945
188	890
189	912
190	969
191	981
192	1016
193	985
194	1024
195	1047
196	1166
197	1177
198	1244
199	1290
200	1410
201	1455
202	1619
203	1748
204	1949
205	2327
206	2688
207	3374
208	4116
209	4946
210	6271
211	7555
212	9286
213	11161
214	13488
215	16048
216	18882
217	21542
218	24407
219	26793
220	29473
221	31715
222	33460
223	34378
224	34589
225	34159
226	33424
227	31600
228	28956
229	26239
230	23503
231	19841
232	16701
233	13806
234	11069
235	8724
236	6653
237	5099
238	3699
239	2689
240	1943
241	1410
242	1030
243	663
244	576
245	402
246	324
247	277
248	278
249	227
250	235
251	211
252	192
253	191
254	177
255	182
256	202
257	201
258	196
259	202
260	183
261	158
262	194
263	193
264	179
265	173
266	175
267	143
268	166
269	173
270	156
271	169
272	178
273	156
274	174
275	182
276	174
277	167
278	164
279	157
280	157
281	177
282	159
283	170
284	151
285	162
286	165
287	135
288	165
289	136
290	137
291	126
292	152
293	149
294	148
295	136
296	150
297	150
298	148
299	130
300	139
301	129
302	138
303	129
304	157
305	128
306	139
307	109
308	117
309	112
310	111
311	121
312	146
313	118
314	114
315	112
316	131
317	123
318	106
319	92
320	120
321	111
322	95
323	114
324	106
325	114
326	109
327	104
328	107
329	99
330	110
331	87
332	91
333	128
334	90
335	112
336	90
337	103
338	85
339	98
340	91
341	94
342	78
343	88
344	75
345	90
346	87
347	103
348	90
349	94
350	77
351	89
352	89
353	69
354	94
355	98
356	65
357	77
358	91
359	71
360	78
361	65
362	77
363	75
364	76
365	66
366	73
367	81
368	67
369	74
370	56
371	72
372	75
373	64
374	65
375	58
376	78
377	56
378	57
379	71
380	67
381	68
382	79
383	46
384	64
385	51
386	58
387	53
388	51
389	62
390	54
391	44
392	55
393	45
394	54
395	47
396	52
397	43
398	56
399	53
400	42
401	45
402	40
403	51
404	44
405	39
406	47
407	45
408	30
