Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	650
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.546
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	635.6
Live Time Elapsed:	632.58
Start Time:	05/17/2018 14:13:11
Stop Time:	05/17/2018 14:23:47

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	12
13	1801
14	2698
15	2701
16	2659
17	2711
18	2719
19	2687
20	2679
21	2672
22	2630
23	2588
24	2614
25	2599
26	2600
27	2561
28	2567
29	2432
30	2395
31	2357
32	2419
33	2371
34	2323
35	2280
36	2207
37	2142
38	2225
39	2122
40	2148
41	2063
42	2074
43	1978
44	1970
45	1953
46	1893
47	1978
48	1922
49	1788
50	1890
51	1746
52	1800
53	1815
54	1886
55	1890
56	1787
57	1839
58	1789
59	1796
60	1878
61	1813
62	1887
63	1842
64	1993
65	1839
66	1886
67	1878
68	1752
69	1826
70	1805
71	1746
72	1682
73	1666
74	1562
75	1610
76	1575
77	1539
78	1523
79	1476
80	1448
81	1438
82	1425
83	1388
84	1431
85	1375
86	1401
87	1296
88	1334
89	1389
90	1307
91	1304
92	1272
93	1266
94	1309
95	1264
96	1271
97	1242
98	1203
99	1212
100	1201
101	1158
102	1178
103	1133
104	1164
105	1165
106	1189
107	1193
108	1141
109	1182
110	1071
111	1047
112	1111
113	1070
114	1106
115	1074
116	1093
117	1091
118	993
119	1050
120	960
121	1013
122	1041
123	949
124	988
125	1038
126	961
127	990
128	1005
129	977
130	985
131	1019
132	981
133	992
134	992
135	950
136	982
137	955
138	998
139	965
140	917
141	973
142	958
143	917
144	948
145	918
146	913
147	922
148	922
149	926
150	899
151	935
152	904
153	896
154	935
155	902
156	974
157	954
158	893
159	890
160	952
161	894
162	894
163	891
164	891
165	917
166	922
167	880
168	906
169	852
170	899
171	887
172	850
173	863
174	860
175	909
176	857
177	837
178	908
179	862
180	910
181	897
182	902
183	885
184	908
185	892
186	904
187	880
188	904
189	826
190	849
191	909
192	929
193	861
194	886
195	894
196	866
197	849
198	883
199	919
200	894
201	878
202	904
203	871
204	884
205	867
206	915
207	950
208	844
209	903
210	922
211	852
212	880
213	941
214	897
215	870
216	923
217	859
218	928
219	908
220	940
221	867
222	890
223	882
224	909
225	927
226	867
227	840
228	858
229	878
230	900
231	876
232	846
233	854
234	928
235	880
236	947
237	834
238	882
239	833
240	883
241	907
242	843
243	871
244	870
245	895
246	874
247	909
248	863
249	898
250	881
251	875
252	884
253	841
254	941
255	924
256	928
257	936
258	913
259	925
260	909
261	866
262	966
263	923
264	894
265	963
266	945
267	935
268	935
269	960
270	999
271	1002
272	964
273	959
274	974
275	966
276	1014
277	978
278	984
279	978
280	993
281	1011
282	1077
283	992
284	1013
285	1038
286	998
287	1050
288	999
289	998
290	1078
291	988
292	1029
293	1038
294	1061
295	1023
296	1052
297	1038
298	1103
299	1005
300	1022
301	1005
302	1023
303	1038
304	1001
305	1022
306	988
307	956
308	965
309	982
310	988
311	984
312	909
313	826
314	863
315	900
316	809
317	818
318	849
319	802
320	833
321	761
322	726
323	770
324	690
325	742
326	705
327	713
328	727
329	680
330	732
331	687
332	716
333	677
334	659
335	677
336	686
337	699
338	673
339	654
340	728
341	624
342	649
343	648
344	619
345	628
346	652
347	631
348	617
349	612
350	640
351	590
352	624
353	607
354	605
355	605
356	592
357	588
358	568
359	601
360	537
361	551
362	554
363	542
364	562
365	568
366	562
367	617
368	582
369	653
370	706
371	711
372	730
373	830
