Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	4
Fine Gain:	1.762
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	326.92
Live Time Elapsed:	247
Start Time:	05/17/2018 13:58:53
Stop Time:	05/17/2018 14:04:20

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	3
11	148
12	16014
13	35654
14	28496
15	23452
16	20762
17	19512
18	18819
19	18445
20	18661
21	18688
22	18777
23	18327
24	18289
25	18636
26	18652
27	18497
28	18205
29	18547
30	18631
31	18880
32	18793
33	18687
34	19087
35	18508
36	18917
37	18749
38	18819
39	18908
40	18603
41	18490
42	18776
43	18770
44	18635
45	18613
46	18674
47	18468
48	18434
49	18188
50	18400
51	18073
52	18121
53	18467
54	18394
55	18308
56	18072
57	18384
58	18229
59	18047
60	18009
61	17949
62	18255
63	17988
64	17894
65	18156
66	18283
67	17825
68	18092
69	18100
70	17856
71	18255
72	18040
73	18255
74	18324
75	18231
76	18197
77	18263
78	18310
79	18133
80	18333
81	18054
82	18317
83	17939
84	18227
85	18375
86	18004
87	18078
88	18095
89	18151
90	18295
91	18182
92	18157
93	18096
94	18218
95	18018
96	18145
97	18151
98	18319
99	18216
100	17979
101	18299
102	18119
103	18112
104	18290
105	18309
106	18773
107	18015
108	18455
109	18348
110	18596
111	18556
112	18722
113	18988
114	19212
115	19311
116	19352
117	19915
118	20260
119	20396
120	21000
121	21658
122	22079
123	22463
124	23252
125	23632
126	23989
127	24256
128	24559
129	24641
130	25385
131	24750
132	25170
133	24912
134	24890
135	24668
136	24698
137	24810
138	24358
139	24043
140	23864
141	23750
142	23323
143	23179
144	23016
145	22768
146	22590
147	22359
148	22266
149	22251
150	21942
151	21752
152	21909
153	21718
154	21468
155	21278
156	20939
157	20943
158	20928
159	21046
160	20601
161	20867
162	20815
163	20268
164	20280
165	20351
166	20103
167	19883
168	19680
169	19934
170	19803
171	19354
172	19396
173	19448
174	19328
175	19184
176	19320
177	19126
178	19345
179	18914
180	18754
181	18784
182	18967
183	18777
184	18569
185	18861
186	18468
187	18518
188	18116
189	18385
190	18550
191	18161
192	18214
193	18069
194	18327
195	17919
196	18023
197	17937
198	17868
199	18029
200	18004
201	17532
202	17810
203	17550
204	17800
205	17421
206	17761
207	17283
208	17564
209	17470
210	17568
211	17583
212	17367
213	17523
214	17431
215	17353
216	17418
217	17457
218	17284
219	17169
220	17394
221	17334
222	17327
223	17065
224	17162
225	17314
226	17367
227	16903
228	17110
229	17153
230	17343
231	17140
232	17045
233	17229
234	17033
235	16831
236	17078
237	16972
238	17339
239	17078
240	17056
241	16946
242	17177
243	16877
244	16898
245	16994
246	17401
247	16881
248	17342
249	17007
250	17143
251	16960
252	17007
253	16926
254	17144
255	16971
256	17063
257	17084
258	17268
259	16946
260	17248
261	17223
262	16958
263	17082
264	16988
265	17259
266	17199
267	17356
268	17238
269	17328
270	17102
271	17171
272	17437
273	17295
274	17316
275	17098
276	17406
277	17072
278	17161
279	17292
280	17072
281	17185
282	17386
283	17191
284	17524
285	17246
286	17569
287	17443
288	17430
289	17323
290	17684
291	17290
292	17652
293	17438
294	17532
295	17495
296	17720
297	17810
298	17887
299	17640
300	17718
301	17900
302	17978
303	17576
304	17569
305	17778
306	17634
307	17640
308	17490
309	17401
310	17630
311	17602
312	17138
313	17448
314	17095
315	16553
316	16461
317	16181
318	16137
319	15458
320	15427
321	15089
322	14782
323	14203
324	13981
325	13638
326	13151
327	12664
