Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.498
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	183.12
Live Time Elapsed:	151.45
Start Time:	05/17/2018 13:31:57
Stop Time:	05/17/2018 13:34:59

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	3
12	694
13	3928
14	4445
15	5238
16	6267
17	7973
18	10091
19	12832
20	15983
21	20104
22	23823
23	27249
24	29709
25	30976
26	30216
27	28008
28	25345
29	21995
30	18644
31	15211
32	12239
33	9872
34	8117
35	6564
36	5654
37	4840
38	4418
39	3893
40	3669
41	3525
42	3482
43	3317
44	3378
45	3346
46	3404
47	3319
48	3317
49	3208
50	3398
51	3208
52	3401
53	3338
54	3372
55	3431
56	3271
57	3310
58	3408
59	3297
60	3313
61	3368
62	3291
63	3273
64	3241
65	3249
66	3362
67	3286
68	3359
69	3389
70	3300
71	3322
72	3378
73	3401
74	3356
75	3306
76	3340
77	3346
78	3441
79	3391
80	3413
81	3461
82	3424
83	3317
84	3384
85	3485
86	3386
87	3319
88	3442
89	3334
90	3334
91	3262
92	3278
93	3307
94	3455
95	3333
96	3324
97	3254
98	3371
99	3280
100	3242
101	3268
102	3282
103	3217
104	3233
105	3191
106	3341
107	3166
108	3170
109	3356
110	3295
111	3278
112	3248
113	3273
114	3227
115	3188
116	3161
117	3217
118	3247
119	3256
120	3249
121	3292
122	3236
123	3177
124	3223
125	3166
126	3279
127	3121
128	3250
129	3237
130	3222
131	3214
132	3233
133	3147
134	3226
135	3178
136	3224
137	3289
138	3219
139	3385
140	3238
141	3260
142	3310
143	3359
144	3297
145	3257
146	3267
147	3255
148	3183
149	3252
150	3232
151	3177
152	3291
153	3313
154	3268
155	3256
156	3282
157	3238
158	3274
159	3098
160	3277
161	3141
162	3300
163	3205
164	3249
165	3310
166	3240
167	3283
168	3340
169	3243
170	3257
171	3224
172	3124
173	3287
174	3123
175	3222
176	3208
177	3253
178	3339
179	3200
180	3232
181	3214
182	3307
183	3235
184	3144
185	3172
186	3346
187	3162
188	3277
189	3226
190	3313
191	3229
192	3300
193	3314
194	3313
195	3332
196	3389
197	3358
198	3387
199	3318
200	3488
201	3499
202	3475
203	3491
204	3541
205	3554
206	3579
207	3647
208	3683
209	3820
210	3982
211	3887
212	4074
213	4140
214	4250
215	4189
216	4387
217	4519
218	4396
219	4489
220	4560
221	4653
222	4678
223	4708
224	4769
225	4823
226	4785
227	4843
228	4723
229	4670
230	4678
231	4799
232	4603
233	4682
234	4772
235	4473
236	4569
237	4587
238	4521
239	4486
240	4450
241	4492
242	4381
243	4331
244	4290
245	4194
246	4135
247	4120
248	4245
249	4055
250	4124
251	4038
252	3964
253	3912
254	3983
255	3864
256	4073
257	3903
258	3935
259	3773
260	3877
261	3778
262	3820
263	3844
264	3847
265	3740
266	3853
267	3755
268	3745
269	3699
270	3820
271	3622
272	3662
273	3691
274	3729
275	3689
276	3730
277	3537
278	3635
279	3471
280	3504
281	3642
282	3550
283	3560
284	3512
285	3623
286	3510
287	3496
288	3546
289	3460
290	3402
291	3470
292	3402
293	3461
294	3479
295	3493
296	3429
297	3386
298	3421
299	3345
300	3464
301	3367
302	3316
303	3425
304	3282
305	3362
306	3370
307	3372
308	3417
309	3431
310	3334
311	3333
312	3401
313	3323
314	3260
315	3375
316	3343
317	3317
318	3293
319	3264
320	3290
321	3300
322	3368
323	3202
324	3096
325	3197
326	3261
327	3251
