Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.432
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	0
Live Time Elapsed:	0
Start Time:	05/17/2018 14:42:59
Stop Time:	

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	496
13	2300
14	2915
15	3116
16	3928
17	5044
18	6603
19	8074
20	10295
21	12630
22	14784
23	16843
24	17563
25	17766
26	16928
27	15294
28	13751
29	11649
30	9645
31	7793
32	6260
33	5041
34	4193
35	3441
36	2961
37	2633
38	2325
39	2209
40	2045
41	2008
42	1925
43	1968
44	1908
45	1960
46	1893
47	1970
48	1947
49	1904
50	1908
51	1955
52	1968
53	1931
54	2000
55	1904
56	1810
57	1945
58	1972
59	1940
60	1860
61	1991
62	1899
63	1936
64	2005
65	1962
66	1983
67	1919
68	1929
69	2007
70	1927
71	1929
72	1996
73	1901
74	1881
75	1972
76	1927
77	2028
78	1951
79	1973
80	1941
81	2015
82	2037
83	2026
84	2023
85	2003
86	1979
87	1980
88	1958
89	2043
90	1985
91	1896
92	1871
93	1983
94	1851
95	1901
96	1863
97	1882
98	2023
99	1864
100	1934
101	1874
102	2026
103	1878
104	1846
105	1890
106	1950
107	1870
108	1910
109	1803
110	1906
111	1822
112	1861
113	1777
114	1827
115	1937
116	1901
117	1882
118	1854
119	1754
120	1856
121	1778
122	1894
123	1826
124	1826
125	1889
126	1862
127	1807
128	1804
129	1863
130	1917
131	1978
132	2004
133	1978
134	1861
135	1881
136	1854
137	1932
138	1872
139	1909
140	1984
141	1956
142	1939
143	1949
144	1932
145	1892
146	1925
147	1896
148	1911
149	1898
150	1975
151	1911
152	1807
153	1889
154	1874
155	1896
156	1892
157	1856
158	1815
159	1936
160	1887
161	1837
162	1823
163	1820
164	1797
165	1934
166	1969
167	1865
168	1766
169	1813
170	1862
171	1817
172	1921
173	1933
174	1847
175	1885
176	1920
177	1860
178	1904
179	1860
180	1881
181	1888
182	1935
183	1875
184	1929
185	1909
186	1929
187	1857
188	1940
189	1892
190	1904
191	1944
192	1872
193	1936
194	1887
195	1922
196	1919
197	1938
198	1842
199	1933
200	2001
201	2009
202	2030
203	2058
204	2144
205	2242
206	2088
207	2212
208	2240
209	2234
210	2352
211	2318
212	2405
213	2428
214	2514
215	2532
216	2493
217	2625
218	2654
219	2641
220	2662
221	2737
222	2819
223	2635
224	2735
225	2678
226	2743
227	2581
228	2739
229	2640
230	2766
231	2660
232	2670
233	2732
234	2574
235	2543
236	2577
237	2482
238	2579
239	2452
240	2491
241	2466
242	2492
243	2323
244	2373
245	2434
246	2350
247	2432
248	2382
249	2363
250	2211
251	2309
252	2266
253	2313
254	2193
255	2284
256	2146
257	2251
258	2214
259	2222
260	2267
261	2135
262	2264
263	2141
264	2225
265	2119
266	2131
267	2215
268	2134
269	2123
270	2096
271	2081
272	2018
273	2134
274	2122
275	2126
276	2114
277	2092
278	2044
279	1981
280	2068
281	2110
282	2045
283	2082
284	2018
285	1968
286	1996
287	2066
288	2040
289	1937
290	2002
291	2022
292	2022
293	1970
294	1953
295	1993
296	1952
297	1992
298	2024
299	1994
300	2020
301	1939
302	1851
303	1961
304	1945
305	1870
306	1895
307	1944
308	1900
309	1900
310	1846
311	1880
312	1940
313	1826
314	1835
315	1855
316	1797
317	1819
318	1916
319	1904
320	1892
321	1947
322	1947
323	1753
324	1843
325	1875
326	1872
327	1917
328	1899
329	1908
330	1940
