Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.432
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	702.26
Live Time Elapsed:	571.89
Start Time:	05/17/2018 14:45:01
Stop Time:	05/17/2018 14:56:43

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	5
12	3336
13	16532
14	19768
15	23025
16	27652
17	34498
18	45064
19	56797
20	71979
21	87580
22	103663
23	116338
24	124252
25	127683
26	124918
27	113806
28	101171
29	86747
30	72082
31	58377
32	47303
33	38444
34	31581
35	25659
36	22023
37	19333
38	17383
39	15888
40	14853
41	14426
42	14242
43	13922
44	13830
45	13926
46	13925
47	13785
48	14063
49	13953
50	13835
51	13608
52	13805
53	13878
54	14105
55	13974
56	13952
57	13707
58	13973
59	13601
60	13874
61	13860
62	14032
63	14234
64	14049
65	13793
66	13960
67	14028
68	13847
69	14253
70	14111
71	14025
72	14122
73	14039
74	14322
75	13973
76	14009
77	14126
78	14377
79	14259
80	14431
81	14182
82	14505
83	13942
84	14255
85	13919
86	14309
87	14068
88	13949
89	14019
90	14115
91	13773
92	13773
93	13882
94	13804
95	13668
96	13990
97	13862
98	13847
99	13694
100	13866
101	13994
102	13673
103	13555
104	13477
105	13789
106	13617
107	13479
108	13622
109	13540
110	13501
111	13444
112	13401
113	13628
114	13520
115	13242
116	13460
117	13434
118	13643
119	13350
120	13539
121	13390
122	13579
123	13302
124	13526
125	13242
126	13612
127	13487
128	13703
129	13314
130	13859
131	13255
132	13577
133	13493
134	13611
135	13457
136	13567
137	13455
138	13561
139	13569
140	13675
141	13391
142	13695
143	13589
144	13586
145	13506
146	13661
147	13408
148	13535
149	13798
150	13554
151	13750
152	13297
153	13315
154	13684
155	13567
156	13402
157	13444
158	13392
159	13348
160	13478
161	13417
162	13363
163	13382
164	13377
165	13385
166	13503
167	13251
168	13342
169	13274
170	13508
171	13369
172	13528
173	13386
174	13303
175	13377
176	13349
177	13454
178	13681
179	13239
180	13476
181	13436
182	13587
183	13229
184	13518
185	13434
186	13691
187	13507
188	13580
189	13541
190	13608
191	13638
192	13796
193	13808
194	13931
195	13787
196	14038
197	14047
198	14321
199	14215
200	14255
201	14328
202	14812
203	14688
204	14788
205	15090
206	15464
207	15625
208	16038
209	16214
210	16879
211	16760
212	17191
213	17370
214	17565
215	17857
216	18167
217	18369
218	18870
219	18703
220	19033
221	19442
222	19552
223	19550
224	19527
225	19505
226	19889
227	19459
228	19591
229	19551
230	19698
231	19193
232	19335
233	19023
234	18987
235	18741
236	19050
237	18713
238	18319
239	18102
240	18145
241	17976
242	18024
243	17599
244	17546
245	17518
246	17503
247	17199
248	17220
249	17126
250	17117
251	16783
252	16794
253	16511
254	16519
255	16292
256	16563
257	16331
258	16329
259	16028
260	16212
261	16141
262	15939
263	15908
264	15760
265	15767
266	15807
267	15639
268	15644
269	15359
270	15438
271	15406
272	15427
273	15335
274	15468
275	15020
276	15336
277	15132
278	15061
279	14811
280	15027
281	14802
282	14740
283	14789
284	14907
285	14533
286	14787
287	14670
288	14673
289	14587
290	14297
291	14285
292	14697
293	14678
294	14298
295	14278
296	14414
297	14217
298	14408
299	14097
300	14337
301	14117
302	14306
303	13941
304	14040
305	14062
306	14032
307	13618
308	13772
309	13880
310	14055
311	13753
312	13956
313	13908
314	13870
315	13918
316	13556
317	13658
318	13617
319	13595
320	13721
321	13560
322	13660
323	13377
324	13684
325	13375
326	13770
327	13249
