Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.498
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	176.1
Live Time Elapsed:	150.56
Start Time:	05/17/2018 13:36:32
Stop Time:	05/17/2018 13:39:28

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	262
13	2150
14	2415
15	2480
16	2580
17	2522
18	2549
19	2489
20	2574
21	2668
22	2664
23	2576
24	2636
25	2573
26	2676
27	2455
28	2594
29	2597
30	2695
31	2606
32	2707
33	2666
34	2762
35	2743
36	2856
37	2816
38	2872
39	2933
40	2905
41	2881
42	2990
43	2942
44	2830
45	2928
46	2785
47	2930
48	2831
49	2839
50	2868
51	2808
52	2820
53	2809
54	2867
55	2884
56	2831
57	2764
58	2866
59	2743
60	2818
61	2820
62	2827
63	2821
64	2817
65	2905
66	2943
67	2842
68	2995
69	3077
70	3082
71	3198
72	3446
73	3663
74	3998
75	4058
76	4349
77	4598
78	4966
79	5199
80	5445
81	5596
82	5931
83	5781
84	5864
85	5886
86	5736
87	5692
88	5362
89	5082
90	4993
91	4686
92	4564
93	4341
94	4333
95	4261
96	4213
97	4161
98	4012
99	3873
100	3893
101	3715
102	3643
103	3534
104	3349
105	3217
106	3168
107	2933
108	3002
109	2924
110	2882
111	2824
112	2831
113	2710
114	2716
115	2726
116	2783
117	2697
118	2637
119	2614
120	2701
121	2705
122	2655
123	2772
124	2716
125	2699
126	2722
127	2629
128	2707
129	2642
130	2744
131	2592
132	2576
133	2709
134	2676
135	2592
136	2661
137	2566
138	2591
139	2589
140	2589
141	2639
142	2688
143	2648
144	2673
145	2667
146	2626
147	2654
148	2583
149	2625
150	2653
151	2639
152	2647
153	2669
154	2721
155	2694
156	2650
157	2650
158	2650
159	2589
160	2655
161	2685
162	2655
163	2678
164	2629
165	2623
166	2690
167	2719
168	2668
169	2677
170	2616
171	2631
172	2670
173	2709
174	2689
175	2576
176	2642
177	2600
178	2690
179	2671
180	2717
181	2709
182	2731
183	2727
184	2688
185	2634
186	2563
187	2630
188	2612
189	2723
190	2648
191	2744
192	2663
193	2617
194	2730
195	2614
196	2672
197	2769
198	2675
199	2763
200	2740
201	2749
202	2754
203	2697
204	2775
205	2864
206	2709
207	2928
208	2859
209	2874
210	2912
211	2839
212	3000
213	2985
214	2948
215	2952
216	3003
217	3064
218	3022
219	3092
220	3054
221	3087
222	3149
223	2985
224	2990
225	3059
226	3169
227	3039
228	3062
229	3013
230	2966
231	2979
232	2926
233	3039
234	2994
235	2977
236	3020
237	2943
238	2978
239	3078
240	2955
241	2905
242	2939
243	2908
244	2985
245	2902
246	3022
247	2971
248	2945
249	2983
250	2948
251	2950
252	2804
253	2857
254	2846
255	2878
256	2924
257	2922
258	2977
259	2900
260	2895
261	2898
262	2933
263	2884
264	2916
265	2933
266	2932
267	2828
268	2994
269	2901
270	2917
271	2873
272	3008
273	2943
274	2915
275	2889
276	2957
277	2941
278	2938
279	2844
280	2934
281	2930
282	2979
283	3001
284	2923
285	2908
286	2990
287	3032
288	3132
289	2969
290	2860
291	2945
292	2940
293	2898
294	2947
295	2909
296	2954
297	2930
298	3006
299	2963
300	2935
301	3023
302	2940
303	2901
304	2923
305	3006
306	2969
307	3003
308	3044
309	2893
310	2898
311	2999
312	2895
313	2978
314	2947
315	2998
316	2996
317	3037
318	2985
319	2920
320	2983
321	2895
322	2977
323	2812
324	2918
325	2928
326	2993
327	2896
