Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	650
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.546
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	557.97
Live Time Elapsed:	530.1
Start Time:	05/17/2018 14:28:31
Stop Time:	05/17/2018 14:37:48

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	429
13	15537
14	18747
15	17455
16	16143
17	14960
18	14403
19	13362
20	13104
21	12983
22	12723
23	12900
24	12867
25	12802
26	13081
27	13000
28	13124
29	12933
30	13071
31	13121
32	13110
33	13052
34	12968
35	12853
36	12829
37	13062
38	12827
39	13014
40	12759
41	12686
42	12971
43	12866
44	12977
45	12790
46	12999
47	13252
48	13478
49	13334
50	13320
51	13172
52	13332
53	13319
54	13404
55	13117
56	13448
57	13227
58	13312
59	12799
60	13062
61	12959
62	13039
63	12915
64	12982
65	12771
66	12889
67	12557
68	12630
69	12828
70	12729
71	12646
72	12523
73	12652
74	12527
75	12404
76	12216
77	12376
78	12545
79	12429
80	12560
81	12557
82	12760
83	12604
84	12554
85	12779
86	12795
87	12672
88	12672
89	12847
90	12864
91	12687
92	12930
93	12909
94	13061
95	13079
96	13250
97	13252
98	13406
99	13365
100	13588
101	13887
102	14032
103	13882
104	14146
105	14187
106	14378
107	13941
108	14352
109	14186
110	14225
111	13853
112	13747
113	13159
114	13443
115	13083
116	12956
117	13018
118	12703
119	12535
120	12513
121	12563
122	12439
123	12256
124	12607
125	12224
126	12351
127	11993
128	12430
129	12150
130	12272
131	11958
132	12219
133	12212
134	11947
135	11989
136	11999
137	11762
138	12151
139	11862
140	12123
141	11982
142	12103
143	12247
144	12228
145	11974
146	12499
147	12311
148	12487
149	12528
150	12668
151	12702
152	12821
153	12893
154	13082
155	13385
156	13525
157	13691
158	14194
159	14330
160	14820
161	14934
162	15438
163	15498
164	15565
165	15726
166	15744
167	15868
168	15230
169	14902
170	14718
171	14004
172	13570
173	13538
174	13262
175	12729
176	12712
177	12743
178	13054
179	12990
180	13347
181	13680
182	14382
183	14465
184	15435
185	15659
186	16586
187	16705
188	17374
189	17784
190	17811
191	17693
192	18129
193	17747
194	17630
195	16770
196	16387
197	16313
198	15699
199	14823
200	14110
201	13224
202	12719
203	12097
204	11645
205	11133
206	10688
207	10009
208	9740
209	9049
210	9210
211	8872
212	8321
213	8306
214	8355
215	7962
216	7991
217	7867
218	7855
219	7823
220	7709
221	7562
222	7666
223	7532
224	7600
225	7681
226	7807
227	7547
228	7524
229	7718
230	7838
231	7678
232	7996
233	8053
234	8081
235	8071
236	8072
237	8100
238	8230
239	8137
240	8332
241	8092
242	8338
243	7813
244	8104
245	7893
246	7825
247	7605
248	7606
249	7635
250	7423
251	7273
252	7226
253	7250
254	7289
255	7072
256	7222
257	7216
258	7166
259	6863
260	7058
261	6903
262	6830
263	6702
264	6695
265	6496
266	6634
267	6399
268	6291
269	6232
270	6047
271	6067
272	5983
273	5980
274	5974
275	6033
276	5965
277	5797
278	5997
279	5953
280	6077
281	6023
282	6216
283	6181
284	6454
285	6337
286	6659
287	6744
288	6925
289	7084
290	7455
291	7561
292	7996
293	8244
294	8490
295	8864
296	9172
297	9332
298	9899
299	9635
300	9873
301	10197
302	10372
303	10189
304	10445
305	10321
306	10157
307	9934
308	9950
309	9710
310	9676
311	9159
312	9073
313	9072
314	8953
315	8821
316	8725
317	8481
318	8407
319	8280
320	8031
321	7801
322	8050
323	7404
324	7317
325	6896
326	6852
327	6504
