Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	0
Live Time Elapsed:	0
Start Time:	05/17/2018 15:24:52
Stop Time:	

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	2
13	471
14	744
15	750
16	685
17	752
18	679
19	698
20	678
21	678
22	650
23	641
24	662
25	640
26	642
27	638
28	583
29	624
30	643
31	582
32	637
33	610
34	575
35	588
36	613
37	586
38	535
39	599
40	606
41	599
42	570
43	569
44	556
45	553
46	525
47	566
48	521
49	505
50	517
51	544
52	513
53	521
54	534
55	495
56	507
57	511
58	479
59	468
60	494
61	491
62	473
63	455
64	493
65	476
66	464
67	434
68	439
69	490
70	458
71	455
72	474
73	419
74	475
75	454
76	432
77	451
78	439
79	423
80	444
81	438
82	436
83	426
84	399
85	434
86	412
87	470
88	413
89	424
90	394
91	392
92	380
93	438
94	361
95	376
96	391
97	399
98	378
99	374
100	404
101	374
102	380
103	401
104	387
105	380
106	394
107	373
108	354
109	356
110	382
111	364
112	376
113	361
114	344
115	387
116	363
117	387
118	365
119	350
120	370
121	340
122	359
123	333
124	338
125	335
126	373
127	363
128	326
129	361
130	367
131	331
132	325
133	368
134	336
135	324
136	367
137	379
138	352
139	325
140	303
141	359
142	349
143	354
144	367
145	349
146	358
147	336
148	342
149	377
150	379
151	388
152	353
153	371
154	369
155	323
156	330
157	324
158	367
159	355
160	343
161	325
162	349
163	364
164	346
165	356
166	352
167	378
168	311
169	344
170	335
171	358
172	373
173	347
174	319
175	323
176	344
177	347
178	347
179	341
180	362
181	316
182	323
183	318
184	339
185	334
186	323
187	345
188	345
189	330
190	345
191	350
192	339
193	359
194	359
195	320
196	344
197	324
198	357
199	342
200	345
201	361
202	321
203	309
204	318
205	301
206	323
207	338
208	351
209	296
210	356
211	322
212	318
213	325
214	330
215	338
216	322
217	326
218	326
219	370
220	339
221	320
222	298
223	316
224	316
225	343
226	363
227	338
228	338
229	317
230	358
231	333
232	335
233	341
234	329
235	342
236	331
237	311
238	342
239	336
240	336
241	347
242	367
243	312
244	342
245	364
246	333
247	329
248	341
249	300
250	345
251	340
252	341
253	345
254	336
255	336
256	334
257	325
258	323
259	361
260	311
261	327
262	328
263	318
264	314
265	346
266	325
267	344
268	318
269	331
270	342
271	348
272	325
273	343
274	349
275	348
276	318
277	328
278	366
279	347
280	340
281	358
282	289
283	302
284	365
285	309
286	364
287	312
288	354
289	333
290	337
291	322
292	362
293	323
294	337
295	335
296	367
297	307
298	337
299	327
300	316
301	326
302	346
303	329
304	304
305	322
306	343
307	322
308	361
309	377
310	313
311	327
312	300
313	293
314	325
315	296
316	358
317	349
318	338
319	305
320	345
321	354
322	340
323	331
324	340
325	358
326	317
327	319
328	308
329	328
330	342
331	304
332	322
333	315
334	339
335	311
336	311
337	321
338	351
339	294
340	339
341	332
342	338
343	325
344	331
345	370
346	344
347	349
348	350
349	345
350	346
351	352
352	322
353	322
354	364
355	314
356	315
357	321
358	347
359	328
360	307
361	371
362	336
363	327
364	345
365	335
366	331
367	344
368	347
369	349
370	346
371	295
372	312
373	378
374	317
375	319
376	336
377	354
378	337
379	332
380	325
381	324
382	354
383	347
384	336
385	307
386	312
387	316
388	303
389	330
390	338
391	315
392	325
393	342
394	344
395	339
396	343
397	297
398	360
399	320
400	344
401	328
402	345
403	367
404	348
405	347
406	317
407	321
408	346
409	338
410	359
