Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	60543.3
Live Time Elapsed:	60535.7
Start Time:	05/17/2018 16:02:54
Stop Time:	05/18/2018 08:51:58

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	14
13	7316
14	10760
15	10263
16	10062
17	9865
18	9474
19	9044
20	8840
21	8615
22	8443
23	7921
24	7739
25	7677
26	7521
27	7392
28	7213
29	6954
30	6908
31	6584
32	6651
33	6309
34	6375
35	6102
36	6027
37	5793
38	5740
39	5538
40	5449
41	5479
42	5326
43	5257
44	4988
45	4998
46	5014
47	4675
48	4855
49	4575
50	4620
51	4494
52	4432
53	4402
54	4339
55	4223
56	4127
57	4006
58	3873
59	3900
60	3889
61	3827
62	3703
63	3554
64	3744
65	3491
66	3463
67	3422
68	3405
69	3386
70	3258
71	3223
72	3234
73	3163
74	3198
75	3036
76	3090
77	2916
78	2931
79	2886
80	2820
81	2869
82	2814
83	2672
84	2713
85	2632
86	2632
87	2605
88	2554
89	2643
90	2564
91	2444
92	2523
93	2480
94	2535
95	2375
96	2404
97	2368
98	2401
99	2301
100	2415
101	2173
102	2253
103	2198
104	2226
105	2210
106	2161
107	1998
108	2121
109	2131
110	2063
111	2092
112	2101
113	2034
114	2073
115	1999
116	1985
117	1988
118	2019
119	1874
120	1901
121	1936
122	1969
123	1842
124	1923
125	1857
126	1847
127	1821
128	1793
129	1779
130	1837
131	1713
132	1753
133	1772
134	1671
135	1660
136	1753
137	1603
138	1776
139	1704
140	1725
141	1664
142	1698
143	1628
144	1607
145	1681
146	1661
147	1601
148	1634
149	1602
150	1597
151	1597
152	1546
153	1582
154	1610
155	1559
156	1583
157	1498
158	1513
159	1527
160	1504
161	1505
162	1517
163	1491
164	1415
165	1516
166	1492
167	1451
168	1530
169	1463
170	1484
171	1480
172	1425
173	1425
174	1489
175	1402
176	1448
177	1376
178	1460
179	1385
180	1478
181	1467
182	1457
183	1353
184	1384
185	1372
186	1378
187	1344
188	1415
189	1374
190	1318
191	1337
192	1351
193	1379
194	1365
195	1374
196	1300
197	1330
198	1431
199	1326
200	1352
201	1303
202	1333
203	1285
204	1305
205	1275
206	1341
207	1339
208	1302
209	1332
210	1291
211	1278
212	1309
213	1254
214	1273
215	1278
216	1291
217	1182
218	1367
219	1250
220	1270
221	1309
222	1254
223	1228
224	1273
225	1248
226	1213
227	1154
228	1185
229	1230
230	1207
231	1206
232	1267
233	1184
234	1249
235	1202
236	1184
237	1189
238	1188
239	1204
240	1222
241	1175
242	1130
243	1160
244	1137
245	1167
246	1277
247	1113
248	1192
249	1223
250	1182
251	1050
252	1158
253	1175
254	1192
255	1125
256	1246
257	1174
258	1160
259	1088
260	1140
261	1106
262	1183
263	1129
264	1161
265	1191
266	1091
267	1174
268	1114
269	1097
270	1177
271	1103
272	1116
273	1076
274	1162
275	1108
276	1131
277	1115
278	1147
279	1067
280	1109
281	1031
282	1073
283	1062
284	1112
285	1012
286	1119
287	1064
288	1040
289	1033
290	1115
291	1122
292	1067
293	1042
294	1036
295	1124
296	1051
297	1073
298	1034
299	1005
300	1030
301	1028
302	1026
303	980
304	1049
305	1039
306	1024
307	1016
308	1033
309	958
310	1036
311	983
312	992
313	980
314	1071
315	1013
316	1027
317	946
318	999
319	997
320	981
321	1031
322	999
323	996
324	961
325	950
326	952
327	1016
328	970
329	957
330	994
331	952
