Spectrum Name:	Cs-137
Description:	Plastic
Student ID:	
Detector Used:	Plastic Scintillator
Comments:	Step 7-Plastic
Acquisition Mode:	PHA
High Voltage:	800
Conversion Gain:	1024
Course Gain:	8
Fine Gain:	1.696
ULD:	106.2%
LLD:	0.0%
Calibration Coefficients:
Channels used to calibrate:
Energies used to calibrate:
Real Time Elapsed:	484.5
Live Time Elapsed:	463.7
Start Time:	05/17/2018 15:08:19
Stop Time:	05/17/2018 15:16:24

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	0
12	235
13	9987
14	13044
15	12793
16	12951
17	12815
18	12426
19	12306
20	12138
21	11868
22	11948
23	11723
24	11250
25	11022
26	10900
27	10465
28	10323
29	9926
30	9732
31	9558
32	9387
33	9428
34	9272
35	8852
36	9008
37	8737
38	8569
39	8428
40	8355
41	8146
42	8059
43	8008
44	8079
45	7980
46	7899
47	7906
48	7656
49	7637
50	7673
51	7649
52	7606
53	7648
54	7608
55	7308
56	7280
57	7525
58	7538
59	7347
60	7270
61	7378
62	7359
63	7154
64	7179
65	7146
66	7278
67	7102
68	7020
69	7049
70	7298
71	7069
72	6975
73	6986
74	7057
75	7083
76	7027
77	6926
78	7009
79	6889
80	6915
81	6859
82	7028
83	6742
84	6892
85	6461
86	6702
87	6640
88	6643
89	6489
90	6490
91	6459
92	6513
93	6496
94	6419
95	6315
96	6352
97	6364
98	6346
99	6150
100	6212
101	6188
102	6263
103	6146
104	6219
105	6138
106	6093
107	6062
108	6026
109	6128
110	5984
111	6032
112	5947
113	5902
114	5990
115	5719
116	5979
117	5778
118	5985
119	5745
120	5731
121	5592
122	5732
123	5586
124	5691
125	5607
126	5917
127	5464
128	5607
129	5524
130	5724
131	5511
132	5583
133	5565
134	5436
135	5579
136	5390
137	5432
138	5483
139	5377
140	5396
141	5374
142	5422
143	5380
144	5439
145	5429
146	5419
147	5259
148	5434
149	5461
150	5374
151	5291
152	5365
153	5398
154	5403
155	5274
156	5232
157	5263
158	5386
159	5164
160	5229
161	5256
162	5180
163	5125
164	5031
165	5179
166	5105
167	5153
168	5046
169	5014
170	5101
171	5026
172	5061
173	5062
174	4987
175	4978
176	5109
177	5122
178	5074
179	5040
180	5221
181	4966
182	5120
183	4966
184	5058
185	5115
186	4979
187	4983
188	5006
189	4942
190	5130
191	5022
192	4993
193	4912
194	5062
195	4884
196	4800
197	4942
198	4877
199	4833
200	4762
201	4932
202	4930
203	4808
204	4862
205	4930
206	4960
207	4794
208	4835
209	4844
210	4884
211	4824
212	4929
213	4851
214	4967
215	4852
216	4831
217	4883
218	4844
219	4868
220	4857
221	4881
222	4762
223	4778
224	4870
225	4761
226	4881
227	4744
228	4769
229	4897
230	4844
231	4838
232	4890
233	4746
234	4782
235	4770
236	4729
237	4772
238	4818
239	4730
240	4754
241	4706
242	4759
243	4679
244	4744
245	4811
246	4768
247	4673
248	4754
249	4712
250	4653
251	4775
252	4714
253	4658
254	4624
255	4542
256	4544
257	4658
258	4801
259	4640
260	4729
261	4716
262	4723
263	4504
264	4489
265	4608
266	4627
267	4534
268	4592
269	4784
270	4656
271	4537
272	4532
273	4781
274	4560
275	4607
276	4663
277	4606
278	4728
279	4614
280	4550
281	4527
282	4693
283	4469
284	4488
285	4676
286	4619
287	4553
288	4784
289	4616
290	4616
291	4542
292	4719
293	4689
294	4553
295	4645
296	4550
297	4660
298	4621
299	4565
300	4714
301	4565
302	4662
303	4432
304	4497
305	4614
306	4755
307	4509
308	4600
309	4525
310	4712
311	4563
312	4648
313	4533
314	4652
315	4522
316	4609
317	4667
318	4532
319	4559
320	4650
321	4575
322	4635
323	4561
324	4521
325	4539
326	4646
327	4617
