Spectrum Name:	Cs-137
Description:	sample Compton spectrum from a plastic scintillator

Data:
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	73
13	1331
14	1492
15	1342
16	1347
17	1371
18	1339
19	1206
20	1188
21	1172
22	1111
23	1074
24	1027
25	1022
26	977
27	981
28	958
29	943
30	964
31	976
32	900
33	926
34	954
35	843
36	873
37	871
38	875
39	845
40	862
41	886
42	779
43	827
44	820
45	825
46	856
47	847
48	823
49	787
50	828
51	808
52	843
53	850
54	835
55	752
56	855
57	809
58	813
59	793
60	787
61	745
62	757
63	783
64	799
65	767
66	746
67	738
68	741
69	753
70	812
71	784
72	755
73	788
74	696
75	688
76	705
77	705
78	715
79	681
80	709
81	695
82	725
83	706
84	711
85	665
86	707
87	677
88	656
89	649
90	622
91	676
92	614
93	659
94	663
95	689
96	671
97	647
98	664
99	611
100	618
101	635
102	642
103	571
104	603
105	575
106	653
107	611
108	575
109	598
110	587
111	603
112	604
113	539
114	571
115	612
116	586
117	564
118	535
119	615
120	558
121	593
122	582
123	635
124	600
125	613
126	583
127	551
128	586
129	537
130	576
131	560
132	577
133	577
134	559
135	575
136	554
137	560
138	584
139	569
140	552
141	548
142	555
143	539
144	552
145	553
146	558
147	491
148	545
149	514
150	593
151	492
152	616
153	529
154	552
155	523
156	541
157	553
158	532
159	522
160	550
161	511
162	553
163	576
164	518
165	554
166	554
167	522
168	527
169	551
170	572
171	525
172	554
173	517
174	533
175	531
176	541
177	516
178	540
179	518
180	526
181	554
182	509
183	545
184	518
185	531
186	552
187	518
188	528
189	511
190	576
191	548
192	496
193	535
194	548
195	539
196	515
197	541
198	493
199	527
200	484
201	515
202	522
203	499
204	530
205	512
206	531
207	514
208	508
209	540
210	543
211	591
212	497
213	508
214	513
215	449
216	513
217	510
218	501
219	496
220	480
221	542
222	523
223	498
224	464
225	503
226	480
227	473
228	514
229	501
230	542
231	505
232	533
233	555
234	527
235	450
236	459
237	524
238	517
239	512
240	508
241	528
242	539
243	530
244	523
245	528
246	522
247	536
248	465
249	517
250	511
251	504
252	522
253	521
254	513
255	495
256	484
257	503
258	522
259	501
260	523
261	457
262	498
263	528
264	491
265	516
266	497
267	510
268	499
269	517
270	496
271	487
272	494
273	539
274	515
275	497
276	491
277	539
278	533
279	492
280	507
281	518
282	504
283	489
284	532
285	476
286	512
287	552
288	555
289	480
290	574
291	521
292	520
293	514
294	537
295	539
296	523
297	515
298	565
299	520
300	512
301	524
302	557
303	490
304	518
305	508
306	567
307	530
308	540
309	549
310	509
311	527
312	569
313	538
314	542
315	544
316	535
317	519
318	579
319	567
320	562
321	537
322	509
323	573
324	557
325	514
326	555
327	547
328	553
329	605
330	599
331	571
332	572
333	617
334	581
335	585
336	571
337	624
